<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CAS.US,D,20250123,000000,25.5,25.5356,25.5,25.5356,1046,0
CAS.US,D,20250124,000000,25.65,25.7099,25.59,25.7099,1122,0
CAS.US,D,20250127,000000,25.89,25.89,25.6444,25.6444,425,0
CAS.US,D,20250220,000000,27.1733,27.2157,27.1733,27.1995,201,0
CAS.US,D,20250221,000000,27.65,27.65,27.398,27.398,375,0
CAS.US,D,20250224,000000,27.31,27.31,27.17,27.17,1608,0
CAS.US,D,20250305,000000,22.55,26.5785,22.55,26.5785,842,0
CAS.US,D,20250306,000000,27.1,27.1,26.8742,26.8742,223,0
CAS.US,D,20250311,000000,26.46,26.6297,26.46,26.6297,126,0
CAS.US,D,20250317,000000,27.24,27.4093,27.1,27.4093,40041,0
CAS.US,D,20250327,000000,26.31,26.38,26.31,26.38,2316,0
CAS.US,D,20250328,000000,25.93,25.93,25.6148,25.6148,2542,0
CAS.US,D,20250331,000000,25.16,25.4652,25.16,25.4652,229,0
CAS.US,D,20250403,000000,25,25,24.6777,24.6777,857,0
CAS.US,D,20250404,000000,23.41,24.8202,23.41,24.8202,318,0
