<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INR.US,D,20250131,000000,22.25,23,21,21.07,5877702,0
INR.US,D,20250203,000000,21.22,22.11,21.02,21.89,790148,0
INR.US,D,20250204,000000,21.705,22.0725,20,21.5,535690,0
INR.US,D,20250205,000000,21.42,22,21.01,21.56,397550,0
INR.US,D,20250206,000000,21.56,21.79,20.48,20.69,234245,0
INR.US,D,20250207,000000,20.75,21.45,20.25,21.3,476847,0
INR.US,D,20250210,000000,21.19,22,21.18,21.75,206145,0
INR.US,D,20250211,000000,21.95,21.95,20.75,21.3,185943,0
INR.US,D,20250212,000000,20.7,21.81,20.66,21,294226,0
INR.US,D,20250213,000000,21.02,21.12,20.19,20.25,331283,0
INR.US,D,20250214,000000,20.7,20.74,20.19,20.26,67844,0
INR.US,D,20250218,000000,20.35,21,20.24,20.7,389485,0
INR.US,D,20250219,000000,20.62,21.0815,20.38,20.66,304931,0
INR.US,D,20250220,000000,20.79,21.78,20.38,20.44,187941,0
INR.US,D,20250221,000000,20.4,20.52,19.32,19.68,207008,0
INR.US,D,20250224,000000,19.9301,20,18.47,19.13,542686,0
INR.US,D,20250225,000000,19.58,19.58,18.6,18.9,452823,0
INR.US,D,20250226,000000,19.385,19.6,18.09,18.75,465709,0
INR.US,D,20250227,000000,18.74,18.97,17.82,18.14,230579,0
INR.US,D,20250228,000000,18.68,19.19,17.32,17.98,275623,0
INR.US,D,20250303,000000,18.29,18.29,17.34,17.4,271627,0
INR.US,D,20250304,000000,17.245,17.56,17.01,17.21,308988,0
INR.US,D,20250305,000000,17.18,17.18,16.31,16.87,519747,0
INR.US,D,20250306,000000,16.64,17.07,15.05,15.29,412255,0
INR.US,D,20250307,000000,15.24,15.98,14.8287,15.65,405341,0
INR.US,D,20250310,000000,15.76,16.78,15.3,16.22,385189,0
INR.US,D,20250311,000000,16.11,16.985,15.41,16.39,371156,0
INR.US,D,20250312,000000,16.75,16.89,16.08,16.55,335859,0
INR.US,D,20250313,000000,16.75,17.2,16,16.78,269804,0
INR.US,D,20250314,000000,16.9,17.68,16.46,16.48,357446,0
INR.US,D,20250317,000000,16.765,17.5,16.5,17.23,237908,0
INR.US,D,20250318,000000,16.785,18.2,16.785,17.51,366587,0
INR.US,D,20250319,000000,17.68,18.0889,17.34,17.8,338650,0
INR.US,D,20250320,000000,17.515,17.79,17.475,17.64,481201,0
INR.US,D,20250321,000000,17.15,18.465,17.11,17.55,3080896,0
INR.US,D,20250324,000000,17.36,18.17,17.36,17.88,266294,0
INR.US,D,20250325,000000,17.84,18.381,17.65,18.16,258306,0
INR.US,D,20250326,000000,18.49,18.53,17.99,18.11,155512,0
INR.US,D,20250327,000000,18.0617,18.42,17.97,18.11,197214,0
INR.US,D,20250328,000000,17.21,18.22,16.19,17.98,525349,0
INR.US,D,20250331,000000,18.1,19.04,17.43,18.75,515643,0
INR.US,D,20250401,000000,18.71,18.71,18.0514,18.5,295891,0
INR.US,D,20250402,000000,18.52,19,18.445,18.75,265758,0
INR.US,D,20250403,000000,17.9,18.11,17.27,17.3,606359,0
INR.US,D,20250404,000000,16.905,17.13,14.36,14.74,524881,0
