<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MDST.US,D,20240410,000000,24.975,24.98,24.76,24.866,43693,0
MDST.US,D,20240411,000000,24.87,24.87,24.7,24.7675,66141,0
MDST.US,D,20240412,000000,24.9,24.915,24.47,24.5464,63981,0
MDST.US,D,20240415,000000,24.6,24.6,24.4,24.4,65930,0
MDST.US,D,20240416,000000,24.36,24.36,24.03,24.0409,53338,0
MDST.US,D,20240417,000000,24.2,24.2122,24.06,24.1729,55950,0
MDST.US,D,20240418,000000,24.29,24.3056,24.22,24.3056,42986,0
MDST.US,D,20240419,000000,24.4,24.83,24.4,24.83,63342,0
MDST.US,D,20240422,000000,24.69,24.8038,24.68,24.7059,64331,0
MDST.US,D,20240423,000000,24.75,24.86,24.75,24.82,43299,0
MDST.US,D,20240424,000000,24.8,24.9537,24.75,24.9537,51625,0
MDST.US,D,20240425,000000,24.82,25.06,24.8,25.0203,67962,0
MDST.US,D,20240426,000000,24.8,24.83,24.8,24.8159,61083,0
MDST.US,D,20240429,000000,24.6862,24.775,24.6501,24.775,43347,0
MDST.US,D,20240430,000000,24.76,24.76,24.4,24.6552,68118,0
MDST.US,D,20240501,000000,24.55,24.55,24.1299,24.2258,56945,0
MDST.US,D,20240502,000000,24.5,24.68,24.35,24.4861,44071,0
MDST.US,D,20240503,000000,24.56,24.6576,24.53,24.6576,20327,0
MDST.US,D,20240506,000000,24.77,24.8,24.6,24.7547,32962,0
MDST.US,D,20240507,000000,24.81,24.9108,24.59,24.9108,53832,0
MDST.US,D,20240508,000000,24.9,24.952,24.9,24.952,50029,0
MDST.US,D,20240509,000000,25,25.1898,25,25.13,72272,0
MDST.US,D,20240510,000000,25.2,25.2,25.01,25.0652,3134,0
MDST.US,D,20240513,000000,25.15,25.15,25.0163,25.0163,31047,0
MDST.US,D,20240514,000000,25.01,25.28,25.01,25.28,21932,0
MDST.US,D,20240515,000000,25.16,25.27,25.09,25.223,73608,0
MDST.US,D,20240516,000000,25.49,25.49,25.21,25.22,24743,0
MDST.US,D,20240517,000000,25.21,25.33,25.21,25.33,22658,0
MDST.US,D,20240520,000000,25.47,25.51,25.39,25.4666,31594,0
MDST.US,D,20240521,000000,25.478,25.478,25.365,25.365,22278,0
MDST.US,D,20240522,000000,25.19,25.2,25.01,25.04,34367,0
MDST.US,D,20240523,000000,25.1,25.1,24.8,24.85,24357,0
MDST.US,D,20240524,000000,24.9467,25.04,24.93,25.031,32541,0
MDST.US,D,20240528,000000,25.22,25.22,24.9557,25.0373,33068,0
MDST.US,D,20240529,000000,25.034,25.0397,24.645,24.699,44744,0
MDST.US,D,20240530,000000,24.5471,24.61,24.54,24.5861,30087,0
MDST.US,D,20240531,000000,24.75,25,24.72,24.9983,22069,0
MDST.US,D,20240603,000000,25.03,25.055,24.6679,24.779,65584,0
MDST.US,D,20240604,000000,24.61,24.85,24.55,24.85,8471,0
MDST.US,D,20240605,000000,24.85,25.0083,24.84,25.0083,6280,0
MDST.US,D,20240606,000000,25.12,25.12,24.85,24.9661,10067,0
MDST.US,D,20240607,000000,24.96,24.9699,24.8697,24.8697,8636,0
MDST.US,D,20240610,000000,24.89,25.16,24.89,25.128,8891,0
MDST.US,D,20240611,000000,25.32,25.32,24.97,25.02,3651,0
MDST.US,D,20240612,000000,24.92,25.1588,24.92,25.0617,5068,0
MDST.US,D,20240613,000000,25.25,25.25,24.91,24.99,11139,0
MDST.US,D,20240614,000000,24.83,24.84,24.71,24.738,32406,0
MDST.US,D,20240617,000000,24.72,24.86,24.65,24.77,2605,0
MDST.US,D,20240618,000000,24.975,25.04,24.9417,24.9417,3273,0
MDST.US,D,20240620,000000,25.035,25.1014,25.01,25.1014,2829,0
MDST.US,D,20240621,000000,25.2599,25.2599,25.01,25.0248,639,0
MDST.US,D,20240624,000000,25.1,25.51,25.1,25.44,2580,0
MDST.US,D,20240625,000000,25.37,25.4452,25.37,25.4452,1629,0
MDST.US,D,20240626,000000,25.3799,25.3799,25.22,25.2839,1915,0
MDST.US,D,20240627,000000,25.17,25.18,25.06,25.14,1748,0
MDST.US,D,20240628,000000,25.3,25.3,25.2725,25.2725,872,0
MDST.US,D,20240701,000000,25.27,25.35,25.07,25.2178,5651,0
MDST.US,D,20240702,000000,25.33,25.4,25.254,25.2926,9645,0
MDST.US,D,20240703,000000,25.4,25.57,25.4,25.45,14788,0
MDST.US,D,20240705,000000,25.56,25.56,25.1,25.15,1988,0
MDST.US,D,20240708,000000,25.2815,25.47,25.25,25.25,15218,0
MDST.US,D,20240709,000000,25.44,25.5,25.1925,25.29,24325,0
MDST.US,D,20240710,000000,25.3,25.39,25.29,25.3775,2284,0
MDST.US,D,20240711,000000,25.49,25.49,25.4395,25.46,1723,0
MDST.US,D,20240712,000000,25.55,25.75,25.55,25.75,21967,0
MDST.US,D,20240715,000000,25.84,25.84,25.54,25.54,33270,0
MDST.US,D,20240716,000000,25.65,25.7,25.55,25.56,3935,0
MDST.US,D,20240717,000000,25.72,25.815,25.56,25.56,18839,0
MDST.US,D,20240718,000000,25.74,25.9,25.5,25.71,5041,0
MDST.US,D,20240719,000000,25.74,25.94,25.72,25.8954,6891,0
MDST.US,D,20240722,000000,25.89,26.14,25.87,26.14,7504,0
MDST.US,D,20240723,000000,26.06,26.075,25.75,25.8,19708,0
MDST.US,D,20240724,000000,25.78,25.78,25.32,25.32,6928,0
MDST.US,D,20240725,000000,25.32,25.56,25.24,25.35,8097,0
MDST.US,D,20240726,000000,25.44,25.64,25.4015,25.54,5616,0
MDST.US,D,20240729,000000,25.59,25.59,25.46,25.56,4606,0
MDST.US,D,20240730,000000,25.28,25.44,25.24,25.44,2522,0
MDST.US,D,20240731,000000,25.53,25.6,25.44,25.47,31718,0
MDST.US,D,20240801,000000,25.5229,25.5479,25.3494,25.42,6785,0
MDST.US,D,20240802,000000,25.3647,25.3647,25.02,25.27,5736,0
MDST.US,D,20240805,000000,25.07,25.07,24.75,24.82,10279,0
MDST.US,D,20240806,000000,24.765,25.25,24.765,25.12,4184,0
MDST.US,D,20240807,000000,25.18,25.4,24.82,24.88,7952,0
MDST.US,D,20240808,000000,25.01,25.3059,24.982,25.3059,5824,0
MDST.US,D,20240809,000000,25.4,25.4,25.0121,25.04,7286,0
MDST.US,D,20240812,000000,25.1,25.2,24.95,24.95,3110,0
MDST.US,D,20240813,000000,25.03,25.2399,24.955,25.16,3736,0
MDST.US,D,20240814,000000,25.2,25.5,25.15,25.5,4520,0
MDST.US,D,20240815,000000,25.51,25.64,25.41,25.6,2101,0
MDST.US,D,20240816,000000,25.55,25.68,25.5,25.61,3345,0
MDST.US,D,20240819,000000,25.69,25.98,25.69,25.92,4900,0
MDST.US,D,20240820,000000,25.8192,25.84,25.5,25.55,49618,0
MDST.US,D,20240821,000000,25.66,25.7,25.5752,25.5752,5780,0
MDST.US,D,20240822,000000,25.5,25.68,25.5,25.68,7334,0
MDST.US,D,20240823,000000,25.81,25.95,25.8,25.95,16090,0
MDST.US,D,20240826,000000,25.95,26.1397,25.93,25.9623,2700,0
MDST.US,D,20240827,000000,25.88,25.89,25.74,25.7605,3307,0
MDST.US,D,20240828,000000,25.65,25.86,25.58,25.635,1070,0
MDST.US,D,20240829,000000,25.6,25.99,25.57,25.9494,4671,0
MDST.US,D,20240830,000000,25.9,25.9946,25.78,25.9946,15003,0
MDST.US,D,20240903,000000,25.84,25.91,25.3825,25.8183,5668,0
MDST.US,D,20240904,000000,25.7429,25.7429,25.55,25.5832,6117,0
MDST.US,D,20240905,000000,25.7,25.81,25.7,25.75,2275,0
MDST.US,D,20240906,000000,25.8084,25.86,25.35,25.3829,19398,0
MDST.US,D,20240909,000000,25.3,25.5894,25.3,25.55,9605,0
MDST.US,D,20240910,000000,25.5,25.5,25.3,25.49,4986,0
MDST.US,D,20240911,000000,25.4,25.52,25.2321,25.504,2742,0
MDST.US,D,20240912,000000,25.59,25.72,25.5554,25.7133,1794,0
MDST.US,D,20240913,000000,25.75,25.9132,25.75,25.9132,15957,0
MDST.US,D,20240916,000000,25.95,26.1236,25.95,26.1236,2331,0
MDST.US,D,20240917,000000,26.1,26.1,25.9,25.946,6001,0
MDST.US,D,20240918,000000,26.03,26.03,25.8773,25.8773,4762,0
MDST.US,D,20240919,000000,26,26.0081,25.82,25.82,3874,0
MDST.US,D,20240920,000000,25.7693,26.03,25.7693,26.03,4101,0
MDST.US,D,20240923,000000,26.08,26.33,26.08,26.3076,106971,0
MDST.US,D,20240924,000000,26.34,26.34,26.1385,26.2408,3164,0
MDST.US,D,20240925,000000,26.19,26.19,26.08,26.1108,3661,0
MDST.US,D,20240926,000000,26.3,26.3,25.575,25.6059,17090,0
MDST.US,D,20240927,000000,25.5062,25.66,25.47,25.65,20877,0
MDST.US,D,20240930,000000,25.5214,25.7101,25.5214,25.7096,3514,0
MDST.US,D,20241001,000000,25.77,25.9205,25.77,25.9205,6584,0
MDST.US,D,20241002,000000,25.945,26.1,25.87,26.0717,4623,0
MDST.US,D,20241003,000000,26.21,26.37,26.01,26.3235,6465,0
MDST.US,D,20241004,000000,26.46,26.46,26.28,26.3551,3291,0
MDST.US,D,20241007,000000,26.355,26.36,26.1301,26.1924,10797,0
MDST.US,D,20241008,000000,26.06,26.1362,25.945,26.0404,7917,0
MDST.US,D,20241009,000000,26,26.3397,26,26.3397,10176,0
MDST.US,D,20241010,000000,26.21,26.355,26.17,26.27,13193,0
MDST.US,D,20241011,000000,26.22,26.58,26.22,26.5678,5554,0
MDST.US,D,20241014,000000,26.4084,26.61,26.4084,26.4734,26541,0
MDST.US,D,20241015,000000,26.039,26.2,26.03,26.0977,7044,0
MDST.US,D,20241016,000000,26.29,26.4456,26.29,26.3254,39127,0
MDST.US,D,20241017,000000,26.2001,26.4,26.2001,26.2404,15294,0
MDST.US,D,20241018,000000,26.27,26.33,26.1399,26.3285,7084,0
MDST.US,D,20241021,000000,26.35,26.35,26.1,26.1381,7278,0
MDST.US,D,20241022,000000,26.19,26.31,26.18,26.2741,4689,0
MDST.US,D,20241023,000000,26.2586,26.26,26.119,26.1842,5580,0
MDST.US,D,20241024,000000,26.2999,26.4,26.2601,26.3749,6886,0
MDST.US,D,20241025,000000,26.43,26.43,26.27,26.2837,4297,0
MDST.US,D,20241028,000000,26.19,26.19,26,26.0879,10930,0
MDST.US,D,20241029,000000,26.05,26.15,26.009,26.1073,1872,0
MDST.US,D,20241030,000000,25.99,26.1112,25.99,26.0796,2258,0
MDST.US,D,20241031,000000,26.08,26.13,25.9138,25.9712,6735,0
MDST.US,D,20241101,000000,26.06,27.01,25.77,26.07,26650,0
MDST.US,D,20241104,000000,25.97,26.21,25.905,26.1308,15982,0
MDST.US,D,20241105,000000,26.22,26.72,26.22,26.7104,32545,0
MDST.US,D,20241106,000000,26.89,27.46,26.89,27.3867,9855,0
MDST.US,D,20241107,000000,27.479,27.9999,27.162,27.2047,32349,0
MDST.US,D,20241108,000000,27.42,27.458,27.0419,27.29,18827,0
MDST.US,D,20241111,000000,27.35,27.58,27.23,27.36,31002,0
MDST.US,D,20241112,000000,27.7,27.74,27.1045,27.18,40612,0
MDST.US,D,20241113,000000,27.26,27.36,27.0399,27.11,39173,0
MDST.US,D,20241114,000000,27.3,27.46,27.1751,27.2646,34184,0
MDST.US,D,20241115,000000,27.23,27.84,27.192,27.7078,16272,0
MDST.US,D,20241118,000000,27.91,28,27.38,27.62,35635,0
MDST.US,D,20241119,000000,28.39,28.39,27.56,27.5757,60319,0
MDST.US,D,20241120,000000,28.055,28.24,27.5815,27.7525,29815,0
MDST.US,D,20241121,000000,27.77,27.9882,27.75,27.9241,17389,0
MDST.US,D,20241122,000000,28,28.1,27.75,28,35811,0
