<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DHI.US,D,20050225,000000,28.4115,29.9583,28.1182,29.9583,4197504.1722733,0
DHI.US,D,20050228,000000,29.9583,30.1143,28.6173,29.1252,3835365.9183253,0
DHI.US,D,20050301,000000,29.1332,29.6898,29.1252,29.4492,4130333.7078365,0
DHI.US,D,20050302,000000,29.1162,29.2296,28.654,28.7295,2135564.4622165,0
DHI.US,D,20050303,000000,29.3518,29.486,28.7037,28.7574,2653979.7731684,0
DHI.US,D,20050304,000000,29.486,30.2773,29.2892,30.2773,2568631.4753228,0
DHI.US,D,20050307,000000,30.3091,30.6839,29.8787,29.9979,2598082.1809606,0
DHI.US,D,20050308,000000,29.3518,29.6093,28.9433,28.981,2591923.647694,0
DHI.US,D,20050309,000000,27.9532,28.2345,27.5894,27.6142,5044549.9644553,0
DHI.US,D,20050310,000000,27.7782,28.0387,26.806,27.3031,4989105.0576395,0
DHI.US,D,20050311,000000,27.312,27.7882,27.0725,27.3438,2813410.5384035,0
DHI.US,D,20050314,000000,27.3438,27.4552,26.7901,27.3031,3191629.183444,0
DHI.US,D,20050315,000000,27.6848,28.1182,27.1171,27.1171,3612976.6747343,0
DHI.US,D,20050316,000000,27.7196,27.7434,26.9213,26.9909,2743238.2668337,0
DHI.US,D,20050317,000000,27.7276,27.7276,26.4134,26.8707,3220367.664065,0
DHI.US,D,20050318,000000,27.1549,27.4452,26.7255,26.7901,2617538.59911,0
DHI.US,D,20050321,000000,26.6192,27.2235,26.2404,26.8707,1966931.1059453,0
DHI.US,D,20050322,000000,27.2325,27.8796,26.4134,26.5436,3469096.1556993,0
DHI.US,D,20050323,000000,26.488,26.488,25.7781,25.9004,2818375.9941702,0
DHI.US,D,20050324,000000,26.1221,26.9581,26.1042,26.4502,2377269.2885016,0
DHI.US,D,20050328,000000,26.6192,26.8309,25.9969,26.2225,2040977.3585032,0
DHI.US,D,20050329,000000,26.1778,26.5694,25.5973,25.6231,2547893.4545301,0
DHI.US,D,20050330,000000,25.6231,26.15,25.5714,25.7613,2343912.4109142,0
DHI.US,D,20050331,000000,25.9969,26.488,25.8835,25.9462,2772390.2001128,0
DHI.US,D,20050401,000000,27.0625,27.2772,26.3944,26.7434,3392237.2179055,0
DHI.US,D,20050404,000000,26.8607,27.3697,26.4044,27.1083,2840345.3192292,0
DHI.US,D,20050405,000000,27.1798,27.5168,26.8607,26.8607,2571899.8638532,0
DHI.US,D,20050406,000000,26.8607,26.8607,26.0058,26.0853,2887907.4644185,0
DHI.US,D,20050407,000000,26.0953,26.806,26.0853,26.1778,2901095.6988395,0
DHI.US,D,20050408,000000,26.309,26.4502,25.804,25.8129,2319679.6588951,0
DHI.US,D,20050411,000000,26.132,26.132,25.4233,25.4769,3199070.3253214,0
DHI.US,D,20050412,000000,25.5097,26.6192,25.2106,26.325,4555850.9345712,0
DHI.US,D,20050413,000000,26.5933,26.5933,25.6689,25.7355,2851621.2093609,0
DHI.US,D,20050414,000000,25.9094,25.9094,24.3994,24.6052,3308836.473213,0
DHI.US,D,20050415,000000,24.8478,24.9144,23.8089,23.8775,3135618.9228719,0
DHI.US,D,20050418,000000,24.1349,24.6678,24.0435,24.3656,3536150.9338693,0
DHI.US,D,20050419,000000,24.5286,26.2832,24.5286,25.5267,5017014.6210094,0
DHI.US,D,20050420,000000,25.7355,25.971,25.2861,25.4421,5052064.541963,0
DHI.US,D,20050421,000000,25.5973,26.3418,25.5097,26.2146,3827817.1379213,0
DHI.US,D,20050422,000000,26.3498,26.6281,25.7702,25.9462,3241442.6839828,0
