<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ELCV.US,D,20241002,000000,25.2,25.34,25.16,25.3265,13360,0
ELCV.US,D,20241003,000000,25.4,25.46,25.27,25.3823,14547,0
ELCV.US,D,20241004,000000,26.64,26.64,25.45,25.6244,8040,0
ELCV.US,D,20241007,000000,25.54,25.5501,25.4294,25.4294,12797,0
ELCV.US,D,20241008,000000,25.34,25.4186,25.34,25.3945,4388,0
ELCV.US,D,20241009,000000,25.46,25.51,25.2843,25.4699,19324,0
ELCV.US,D,20241010,000000,25.42,25.43,25.3426,25.3426,10817,0
ELCV.US,D,20241011,000000,26.61,26.61,25.4895,25.5973,18339,0
ELCV.US,D,20241014,000000,26.86,28.19,25.71,25.8091,7042,0
ELCV.US,D,20241015,000000,25.79,25.79,25.4697,25.5377,12325,0
ELCV.US,D,20241016,000000,25.5883,25.8036,25.5883,25.7641,9688,0
ELCV.US,D,20241017,000000,25.859,25.8781,25.71,25.71,8511,0
ELCV.US,D,20241018,000000,25.625,25.78,25.625,25.765,64150,0
ELCV.US,D,20241021,000000,25.8499,25.8499,25.539,25.5598,14644,0
ELCV.US,D,20241022,000000,25.57,25.57,25.36,25.4934,8909,0
ELCV.US,D,20241023,000000,25.57,25.57,25.395,25.5212,2220,0
ELCV.US,D,20241024,000000,25.45,25.5573,25.45,25.5573,408,0
ELCV.US,D,20241025,000000,25.615,25.615,25.3901,25.3901,4436,0
ELCV.US,D,20241028,000000,25.21,25.5,25.21,25.4436,4744,0
ELCV.US,D,20241029,000000,25.19,25.22,25.19,25.2187,1240,0
ELCV.US,D,20241030,000000,25.13,25.3264,25.13,25.2598,207639,0
ELCV.US,D,20241031,000000,25.3238,25.33,25.23,25.2497,10909,0
ELCV.US,D,20241101,000000,25.3088,25.3088,24.94,24.94,4930,0
ELCV.US,D,20241104,000000,24.99,24.99,24.86,24.9268,3633,0
ELCV.US,D,20241105,000000,25.24,25.323,25.24,25.3217,15597,0
ELCV.US,D,20241106,000000,25.66,25.78,25.5516,25.7192,13544,0
ELCV.US,D,20241107,000000,25.57,25.96,25.57,25.8983,16023,0
ELCV.US,D,20241108,000000,26.13,26.24,26.088,26.1649,12664,0
ELCV.US,D,20241111,000000,26.39,26.42,26.33,26.3653,20822,0
ELCV.US,D,20241112,000000,26.31,26.31,26.0453,26.1051,7037,0
ELCV.US,D,20241113,000000,26.17,26.25,26.1,26.1045,20510,0
ELCV.US,D,20241114,000000,26.0448,26.105,25.9956,25.9956,6014,0
ELCV.US,D,20241115,000000,25.97,26.1216,25.97,26.1216,20536,0
ELCV.US,D,20241118,000000,26.4,26.4296,26.2,26.3702,6723,0
ELCV.US,D,20241119,000000,26.195,26.435,26.195,26.422,166134,0
ELCV.US,D,20241120,000000,26.405,26.47,26.355,26.4673,11282,0
ELCV.US,D,20241121,000000,26.75,27.79,26.7,27.0085,177642,0
ELCV.US,D,20241122,000000,27.07,27.16,27.045,27.1024,11851,0
ELCV.US,D,20241125,000000,27.22,27.36,26.86,26.9407,29094,0
ELCV.US,D,20241126,000000,26.9104,27.07,26.88,27.0572,57557,0
ELCV.US,D,20241127,000000,27.02,27.06,26.9,26.9,15510,0
ELCV.US,D,20241129,000000,26.99,27.1,26.97,27.008,3450,0
ELCV.US,D,20241202,000000,26.722,26.8,26.5217,26.5475,62693,0
ELCV.US,D,20241203,000000,26.73,26.75,26.48,26.5155,8374,0
