<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ECCU.US,D,20241223,000000,24.7,24.71,24.66,24.69,16002,0
ECCU.US,D,20241224,000000,24.7,24.7,24.63,24.64,11207,0
ECCU.US,D,20241226,000000,24.75,24.75,24.675,24.675,28180,0
ECCU.US,D,20241227,000000,24.75,24.8,24.63,24.6599,9385,0
ECCU.US,D,20241230,000000,24.7,24.8,24.65,24.8,70844,0
ECCU.US,D,20241231,000000,24.8,24.88,24.67,24.73,119404,0
ECCU.US,D,20250102,000000,25,25,24.8,24.95,48135,0
ECCU.US,D,20250103,000000,24.91,25,24.82,24.94,41236,0
ECCU.US,D,20250106,000000,25,25,24.74,24.88,106677,0
ECCU.US,D,20250107,000000,24.89,24.9,24.74,24.8299,93434,0
ECCU.US,D,20250108,000000,24.83,24.9,24.83,24.85,82719,0
ECCU.US,D,20250110,000000,24.87,25.0899,24.85,24.85,37304,0
ECCU.US,D,20250113,000000,24.9,25.02,24.85,24.9,29188,0
ECCU.US,D,20250114,000000,25,25.05,24.9999,25,8028,0
ECCU.US,D,20250115,000000,25.05,25.23,25.037,25.15,12004,0
ECCU.US,D,20250116,000000,25.16,25.2,25.0609,25.175,10313,0
ECCU.US,D,20250117,000000,25.207,25.31,25.075,25.075,8133,0
ECCU.US,D,20250121,000000,25.092,25.17,25.0677,25.08,19240,0
ECCU.US,D,20250122,000000,25.06,25.1,24.95,24.965,7101,0
ECCU.US,D,20250123,000000,24.965,25.1,24.81,24.9,15496,0
ECCU.US,D,20250124,000000,24.92,24.97,24.92,24.93,8298,0
ECCU.US,D,20250127,000000,24.9144,24.98,24.9144,24.9799,32576,0
ECCU.US,D,20250128,000000,25,25,24.96,24.9657,15267,0
ECCU.US,D,20250129,000000,25.05,25.05,24.96,24.98,5265,0
ECCU.US,D,20250130,000000,25.0201,25.0201,24.85,24.96,30456,0
ECCU.US,D,20250131,000000,24.98,24.98,24.86,24.955,2552,0
ECCU.US,D,20250203,000000,24.97,25,24.95,24.98,29256,0
ECCU.US,D,20250204,000000,24.99,25.03,24.96,25,146285,0
ECCU.US,D,20250205,000000,25.01,25.1,25,25.03,18355,0
ECCU.US,D,20250206,000000,25.0305,25.05,25.01,25.01,11154,0
ECCU.US,D,20250207,000000,25.01,25.08,24.975,25.01,7405,0
ECCU.US,D,20250210,000000,25.0499,25.1,24.98,25.01,30622,0
ECCU.US,D,20250211,000000,25.09,25.2707,25,25.2001,26266,0
ECCU.US,D,20250212,000000,25.1,25.45,25.1,25.15,8985,0
ECCU.US,D,20250213,000000,25.105,25.15,25.03,25.05,15606,0
ECCU.US,D,20250214,000000,25.07,25.15,25.034,25.095,5595,0
ECCU.US,D,20250218,000000,25.18,25.18,25.02,25.04,10955,0
ECCU.US,D,20250219,000000,25.2,25.2,24.99,25.05,20231,0
ECCU.US,D,20250220,000000,25.05,25.05,25,25.02,10545,0
ECCU.US,D,20250221,000000,25.09,25.14,24.97,25,18242,0
ECCU.US,D,20250224,000000,25,25.1,24.99,25.01,8408,0
ECCU.US,D,20250225,000000,25.02,25.049,24.95,24.97,17863,0
ECCU.US,D,20250226,000000,24.93,25,24.93,24.97,13530,0
ECCU.US,D,20250227,000000,24.99,25.18,24.96,25,12696,0
ECCU.US,D,20250228,000000,24.98,25.05,24.91,25.025,13910,0
ECCU.US,D,20250303,000000,25.05,25.05,24.96,25,27716,0
ECCU.US,D,20250304,000000,25,25.09,24.93,25.03,33067,0
ECCU.US,D,20250305,000000,25.05,25.1,25,25.07,23246,0
ECCU.US,D,20250306,000000,25.03,25.09,24.99,25.07,20239,0
ECCU.US,D,20250307,000000,25.07,25.09,25.005,25.02,29823,0
ECCU.US,D,20250310,000000,25.09,25.17,25.005,25.07,40434,0
ECCU.US,D,20250311,000000,25.16,25.16,25,25.03,18525,0
ECCU.US,D,20250312,000000,25.16,25.16,24.96,25.03,23487,0
ECCU.US,D,20250313,000000,25.09,25.09,25,25.04,21765,0
ECCU.US,D,20250314,000000,24.53,24.6225,24.521,24.55,29783,0
ECCU.US,D,20250317,000000,24.6132,24.71,24.53,24.7,47523,0
ECCU.US,D,20250318,000000,24.7,24.715,24.53,24.58,37948,0
ECCU.US,D,20250319,000000,24.58,24.58,24.35,24.4,78738,0
ECCU.US,D,20250320,000000,24.4824,24.5,24.33,24.44,20301,0
ECCU.US,D,20250321,000000,24.47,24.55,24.44,24.47,16705,0
ECCU.US,D,20250324,000000,24.48,24.64,24.47,24.52,18016,0
ECCU.US,D,20250325,000000,24.6,24.66,24.58,24.62,12300,0
ECCU.US,D,20250326,000000,24.6,24.6,24.52,24.57,6447,0
ECCU.US,D,20250327,000000,24.6,24.61,24.5999,24.61,2235,0
ECCU.US,D,20250328,000000,24.6,24.6,24.5,24.51,7162,0
ECCU.US,D,20250331,000000,24.6,24.65,24.51,24.58,44501,0
ECCU.US,D,20250401,000000,24.65,24.68,24.42,24.5,17226,0
ECCU.US,D,20250402,000000,24.55,24.65,24.4,24.44,23099,0
ECCU.US,D,20250403,000000,24.502,24.6399,24.33,24.38,10753,0
ECCU.US,D,20250404,000000,24.4544,24.55,23.9701,23.99,17621,0
