<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LDRI.US,D,20241113,000000,24.9696,25.0699,24.955,24.955,4020,0
LDRI.US,D,20241115,000000,24.9583,24.9583,24.95,24.95,201,0
LDRI.US,D,20241118,000000,25,25.05,24.995,25.014,3302,0
LDRI.US,D,20241119,000000,25.02,25.02,25,25,252,0
LDRI.US,D,20241120,000000,25.0299,25.0299,25.01,25.01,201,0
LDRI.US,D,20241121,000000,25.01,25.01,24.9995,24.9995,400,0
LDRI.US,D,20241122,000000,24.9963,25.06,24.9963,25,703,0
LDRI.US,D,20241125,000000,25.029,25.03,25.0176,25.0176,304,0
LDRI.US,D,20241126,000000,25.024,25.03,25.01,25.01,550,0
LDRI.US,D,20241127,000000,25.01,25.06,25.01,25.04,1014,0
LDRI.US,D,20241129,000000,25.0789,25.08,25.065,25.065,861,0
LDRI.US,D,20241202,000000,25.0544,25.17,25.0544,25.06,581,0
LDRI.US,D,20241203,000000,25.09,25.09,25.0688,25.07,725,0
LDRI.US,D,20241204,000000,25.11,25.1192,25.095,25.095,367,0
LDRI.US,D,20241205,000000,25.1,25.1,25.096,25.096,204,0
LDRI.US,D,20241206,000000,25.0975,25.12,25.0975,25.12,1160,0
LDRI.US,D,20241209,000000,25.11,25.18,25.09,25.09,572,0
LDRI.US,D,20241210,000000,25.0838,25.09,25.0838,25.09,176,0
LDRI.US,D,20241211,000000,25.1191,25.1191,25.0985,25.11,541,0
LDRI.US,D,20241212,000000,25.1195,25.1195,25.1,25.1,1774,0
LDRI.US,D,20241213,000000,25.0788,25.09,25.06,25.06,1719,0
LDRI.US,D,20241216,000000,25.0502,25.07,25.045,25.0581,1179,0
LDRI.US,D,20241217,000000,25.044,25.06,25.04,25.05,1251,0
LDRI.US,D,20241218,000000,25.07,25.08,24.9919,24.997,3156,0
LDRI.US,D,20241219,000000,24.97,24.97,24.924,24.9452,308,0
LDRI.US,D,20241220,000000,24.8,24.8,24.785,24.785,415,0
LDRI.US,D,20241223,000000,24.78,24.83,24.7653,24.77,2095,0
LDRI.US,D,20241224,000000,24.765,24.7813,24.765,24.7813,1436,0
LDRI.US,D,20241226,000000,24.7754,24.8198,24.7754,24.7903,1664,0
LDRI.US,D,20241227,000000,24.78,24.81,24.77,24.79,412,0
LDRI.US,D,20241230,000000,24.8232,24.84,24.8232,24.84,2016,0
LDRI.US,D,20241231,000000,24.8597,24.87,24.81,24.8394,836,0
LDRI.US,D,20250102,000000,24.88,24.88,24.84,24.86,1039,0
LDRI.US,D,20250103,000000,24.87,24.87,24.8529,24.8529,1038,0
LDRI.US,D,20250106,000000,24.845,24.865,24.84,24.84,1516,0
LDRI.US,D,20250107,000000,24.87,24.92,24.8462,24.85,1197,0
LDRI.US,D,20250108,000000,24.89,24.9,24.8662,24.875,3033,0
LDRI.US,D,20250110,000000,24.9,25,24.87,24.87,10504,0
LDRI.US,D,20250113,000000,24.88,24.89,24.8711,24.8802,1189,0
LDRI.US,D,20250114,000000,24.88,24.95,24.88,24.895,2239,0
LDRI.US,D,20250115,000000,24.97,25.02,24.95,24.955,752,0
