<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ABNY.US,D,20240626,000000,16.5806,16.5806,16.425,16.4857,6734.2803289686,0
ABNY.US,D,20240627,000000,16.5553,16.6254,16.525,16.6254,1757.4590847635,0
ABNY.US,D,20240628,000000,16.6502,16.8098,16.6461,16.7749,4731.3387730185,0
ABNY.US,D,20240701,000000,17.2602,17.2602,16.597,16.6934,3276.7635333012,0
ABNY.US,D,20240702,000000,16.9409,17.0064,16.9163,16.9819,5012.2391131823,0
ABNY.US,D,20240703,000000,17.4567,17.4567,16.8508,16.9369,5053.7635112934,0
ABNY.US,D,20240705,000000,16.9818,17.0555,16.859,16.9782,2876.1752221112,0
ABNY.US,D,20240708,000000,17.5141,17.5141,16.8591,16.9581,2871.289998804,0
ABNY.US,D,20240709,000000,17.2193,17.3011,17.0063,17.0063,5536.179312879,0
ABNY.US,D,20240710,000000,17.596,17.596,16.8554,16.9804,3258.4439458992,0
ABNY.US,D,20240711,000000,17.0064,17.0064,16.3708,16.3708,10415.29609094,0
ABNY.US,D,20240712,000000,16.597,16.6707,16.4496,16.4785,10460.484406532,0
ABNY.US,D,20240715,000000,16.949,16.949,16.4742,16.5806,5030.5587005843,0
ABNY.US,D,20240716,000000,16.818,16.9409,16.7485,16.9409,1882.0322790969,0
ABNY.US,D,20240717,000000,16.4168,16.859,16.4168,16.6521,8706.6892392486,0
ABNY.US,D,20240718,000000,17.0146,17.0146,16.5989,16.5989,2900.6013386471,0
ABNY.US,D,20240719,000000,16.8671,16.9,16.6543,16.6969,3435.533290785,0
ABNY.US,D,20240722,000000,16.7116,16.9982,16.6461,16.9217,6676.878955109,0
ABNY.US,D,20240723,000000,16.9233,16.9233,16.8431,16.8591,1958.9745461853,0
ABNY.US,D,20240724,000000,16.7034,16.7034,16.3186,16.4032,6228.6597166739,0
ABNY.US,D,20240725,000000,15.7526,16.0483,15.7455,15.957,6046.6851484809,0
ABNY.US,D,20240726,000000,16.4742,16.4742,15.9771,15.9771,1239.6254142008,0
ABNY.US,D,20240729,000000,16.1786,16.1786,16.0173,16.0173,1557.1649291685,0
ABNY.US,D,20240730,000000,15.8272,15.9128,15.8192,15.9128,1066.1999867954,0
ABNY.US,D,20240731,000000,16.0852,16.0852,15.9844,15.9844,1342.2151036519,0
ABNY.US,D,20240801,000000,15.5572,15.5899,15.2378,15.4626,12771.195030835,0
ABNY.US,D,20240802,000000,14.7383,14.8529,14.7056,14.8355,3047.158037863,0
ABNY.US,D,20240805,000000,14.3699,14.4972,14.3699,14.4972,4131.6776120603,0
ABNY.US,D,20240806,000000,14.8039,15.1968,14.8039,15.0904,15469.059602234,0
ABNY.US,D,20240807,000000,13.075,13.314,12.7584,12.982,34830.242694933,0
ABNY.US,D,20240808,000000,13.152,13.4003,13.152,13.2617,7676.8173487792,0
ABNY.US,D,20240809,000000,13.2462,13.3694,13.1778,13.3694,6518.6919122378,0
ABNY.US,D,20240812,000000,13.289,13.4003,13.2405,13.2405,5036.8523022132,0
ABNY.US,D,20240813,000000,13.49,13.5784,13.49,13.5486,2338.4550943686,0
ABNY.US,D,20240814,000000,13.7081,13.7081,13.5499,13.5499,4188.4173204483,0
ABNY.US,D,20240815,000000,13.9136,13.9136,13.6032,13.6749,3850.6794282581,0
ABNY.US,D,20240816,000000,13.6739,13.7338,13.6483,13.6483,10801.769333957,0
ABNY.US,D,20240819,000000,13.751,13.9221,13.6911,13.9221,878753.09296591,0
