<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AHL_F.US,D,20241205,000000,25.13,25.66,25.13,25.35,231233,0
AHL_F.US,D,20241206,000000,25.44,25.44,25.28,25.35,67524,0
AHL_F.US,D,20241209,000000,25.41,25.44,25.36,25.44,75685,0
AHL_F.US,D,20241210,000000,25.4,25.49,25.36,25.48,36425,0
AHL_F.US,D,20241211,000000,25.49,25.68,25.42,25.6,134570,0
AHL_F.US,D,20241212,000000,25.43,25.65,25.42,25.61,114242,0
AHL_F.US,D,20241213,000000,25.5,25.6,25.4701,25.58,31800,0
AHL_F.US,D,20241216,000000,25.46,25.63,25.43,25.54,7172,0
AHL_F.US,D,20241217,000000,25.48,25.55,25.48,25.53,6539,0
AHL_F.US,D,20241218,000000,25.43,25.53,25.35,25.37,26887,0
AHL_F.US,D,20241219,000000,25.32,25.39,25.1,25.1,169149,0
AHL_F.US,D,20241220,000000,25.21,25.3413,25.14,25.1501,173387,0
AHL_F.US,D,20241223,000000,25.15,25.23,25.12,25.2,14818,0
AHL_F.US,D,20241224,000000,25.2718,25.28,25.18,25.22,5696,0
AHL_F.US,D,20241226,000000,25.205,25.271,25.125,25.23,19295,0
AHL_F.US,D,20241227,000000,25.16,25.2611,25.1414,25.17,15724,0
AHL_F.US,D,20241230,000000,25.14,25.45,25.14,25.26,291949,0
AHL_F.US,D,20241231,000000,25.42,25.49,25.2217,25.43,953973,0
AHL_F.US,D,20250102,000000,25.4,25.49,25.4,25.44,19328,0
AHL_F.US,D,20250103,000000,25.48,25.58,25.47,25.52,47651,0
AHL_F.US,D,20250106,000000,25.57,25.695,25.4625,25.52,46830,0
AHL_F.US,D,20250107,000000,25.54,25.55,25.38,25.45,197968,0
AHL_F.US,D,20250108,000000,25.4,25.45,25.25,25.38,169311,0
AHL_F.US,D,20250110,000000,25.24,25.875,25.0998,25.22,35375,0
AHL_F.US,D,20250113,000000,25.1,25.8337,25.07,25.17,15429,0
AHL_F.US,D,20250114,000000,25.28,25.34,25.14,25.2,7121,0
AHL_F.US,D,20250115,000000,25.36,25.3852,25.21,25.35,27343,0
AHL_F.US,D,20250116,000000,25.33,25.44,25.24,25.24,12262,0
AHL_F.US,D,20250117,000000,25.27,25.4756,25.23,25.23,28523,0
AHL_F.US,D,20250121,000000,25.38,25.42,25.25,25.33,20205,0
AHL_F.US,D,20250122,000000,25.39,25.46,25.25,25.32,11487,0
AHL_F.US,D,20250123,000000,25.35,25.35,25.22,25.35,4918,0
