<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MAVF.US,D,20250228,000000,100.65,102.2778,100.65,102.2778,117,0
MAVF.US,D,20250303,000000,102,102.01,100.7627,100.7627,2006,0
MAVF.US,D,20250304,000000,98.43,99.39,98.43,98.9227,1575,0
MAVF.US,D,20250305,000000,98.65,100.394,98.65,100.394,1089,0
MAVF.US,D,20250311,000000,95.7,95.8517,95.7,95.8517,631,0
MAVF.US,D,20250312,000000,95.44,95.8082,95.44,95.8082,604,0
MAVF.US,D,20250314,000000,96.1204,96.5921,96.1204,96.5921,231,0
MAVF.US,D,20250317,000000,96.62,97.1203,96.62,97.1203,227,0
MAVF.US,D,20250319,000000,97.59,97.59,97.4342,97.4342,262,0
MAVF.US,D,20250320,000000,97.89,97.89,97.2565,97.2565,270,0
MAVF.US,D,20250324,000000,98.69,99.19,98.69,99.1876,303,0
MAVF.US,D,20250325,000000,99.6,99.6,99.5206,99.5206,139,0
MAVF.US,D,20250402,000000,96.51,97.527,96.51,97.527,362,0
MAVF.US,D,20250404,000000,87.8268,88,86.9838,86.9838,567,0
