<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DEXC.US,D,20241119,000000,49.89,50.08,49.89,50.03,22372,0
DEXC.US,D,20241120,000000,49.75,49.78,49.54,49.7725,26166,0
DEXC.US,D,20241121,000000,49.68,49.89,49.6058,49.8194,16450,0
DEXC.US,D,20241122,000000,50.11,50.2324,50.02,50.2324,36706,0
DEXC.US,D,20241125,000000,50.4522,50.5395,50.32,50.475,23479,0
DEXC.US,D,20241126,000000,50.35,50.4,50.295,50.396,41218,0
DEXC.US,D,20241127,000000,50.2567,50.28,49.99,50.0459,30404,0
DEXC.US,D,20241129,000000,49.94,50.18,49.94,50.1772,13768,0
DEXC.US,D,20241202,000000,50.0276,50.27,50.0172,50.24,39980,0
DEXC.US,D,20241203,000000,50.13,50.36,50.13,50.3599,21397,0
DEXC.US,D,20241204,000000,50.54,50.7,50.525,50.6558,19981,0
DEXC.US,D,20241205,000000,50.87,50.8732,50.85,50.86,17170,0
DEXC.US,D,20241206,000000,50.79,50.79,50.5685,50.71,45729,0
DEXC.US,D,20241209,000000,50.75,50.7894,50.6,50.6044,18369,0
DEXC.US,D,20241210,000000,50.53,50.53,50.44,50.44,31091,0
DEXC.US,D,20241211,000000,50.88,51.07,50.8001,50.88,28513,0
DEXC.US,D,20241212,000000,50.61,50.66,50.47,50.47,34949,0
DEXC.US,D,20241213,000000,50.6786,50.6786,50.61,50.6497,17954,0
DEXC.US,D,20241216,000000,50.62,50.74,50.56,50.56,48335,0
DEXC.US,D,20241217,000000,49.9896,50.2,49.9896,50.1445,43266,0
DEXC.US,D,20241218,000000,50.22,50.22,48.85,48.85,40796,0
DEXC.US,D,20241219,000000,49.47,49.475,49.2,49.2,33741,0
DEXC.US,D,20241220,000000,48.88,49.42,48.87,49.26,33823,0
DEXC.US,D,20241223,000000,49.29,49.43,49.23,49.4291,88468,0
DEXC.US,D,20241224,000000,49.2854,49.4859,49.2854,49.4859,38030,0
DEXC.US,D,20241226,000000,49.16,49.28,49.12,49.2644,55344,0
DEXC.US,D,20241227,000000,48.97,49.06,48.88,49.05,61816,0
DEXC.US,D,20241230,000000,48.66,48.88,48.56,48.76,35514,0
DEXC.US,D,20241231,000000,48.785,48.85,48.5956,48.64,27330,0
DEXC.US,D,20250102,000000,49.06,49.13,48.775,48.87,57688,0
DEXC.US,D,20250103,000000,49.16,49.2999,49.1599,49.25,46712,0
DEXC.US,D,20250106,000000,49.68,49.81,49.5,49.5,49859,0
DEXC.US,D,20250107,000000,51.73,51.73,49.2,49.2505,135516,0
DEXC.US,D,20250108,000000,48.95,49.11,48.906,49.08,21603,0
DEXC.US,D,20250110,000000,49,49,48.1004,48.22,118547,0
DEXC.US,D,20250113,000000,47.7,47.73,47.41,47.73,65323,0
DEXC.US,D,20250114,000000,48.1,48.36,47.8267,48.0236,21479,0
DEXC.US,D,20250115,000000,48.5,48.6341,48.45,48.535,31393,0
DEXC.US,D,20250116,000000,48.75,49.26,48.53,48.59,52962,0
DEXC.US,D,20250117,000000,48.91,48.91,48.7468,48.7468,32488,0
DEXC.US,D,20250121,000000,49.61,49.61,48.99,49.17,26989,0
DEXC.US,D,20250122,000000,49.35,49.51,49.27,49.35,33529,0
DEXC.US,D,20250123,000000,49.285,49.5399,49.285,49.53,26213,0
DEXC.US,D,20250124,000000,49.47,49.522,49.37,49.44,32131,0
DEXC.US,D,20250127,000000,48.18,51.3,48.18,48.3,33034,0
DEXC.US,D,20250128,000000,48.16,48.445,47.83,48.43,22488,0
DEXC.US,D,20250129,000000,48.58,48.657,48.14,48.5471,16880,0
DEXC.US,D,20250130,000000,48.93,49.11,48.72,48.9802,31905,0
DEXC.US,D,20250131,000000,48.94,49.1299,48.49,48.49,74254,0
DEXC.US,D,20250203,000000,47.92,48.43,47.72,48.19,36390,0
DEXC.US,D,20250204,000000,48.605,48.93,48.58,48.865,41458,0
DEXC.US,D,20250205,000000,48.69,49.0999,48.69,49.05,32503,0
DEXC.US,D,20250206,000000,48.92,49.08,48.89,49.08,36471,0
DEXC.US,D,20250207,000000,49.08,49.27,48.5927,48.6092,19895,0
DEXC.US,D,20250210,000000,48.93,49.09,48.88,48.9595,18364,0
DEXC.US,D,20250211,000000,48.7,48.81,48.7,48.8,16979,0
DEXC.US,D,20250212,000000,48.36,48.7599,48.36,48.67,52879,0
DEXC.US,D,20250213,000000,48.73,49.14,48.68,49.14,80858,0
DEXC.US,D,20250214,000000,48.92,48.959,48.82,48.9192,20442,0
DEXC.US,D,20250218,000000,49.14,49.22,49.055,49.16,36565,0
DEXC.US,D,20250219,000000,49.16,49.21,49.09,49.2,60867,0
DEXC.US,D,20250220,000000,49.4,49.58,49.35,49.55,85882,0
DEXC.US,D,20250221,000000,49.45,49.465,48.94,49,45508,0
DEXC.US,D,20250224,000000,49.06,49.1067,48.81,48.85,42376,0
DEXC.US,D,20250225,000000,48.92,51.49,48.51,48.6645,51074,0
DEXC.US,D,20250226,000000,48.8,48.95,48.63,48.74,74408,0
DEXC.US,D,20250227,000000,48.23,48.23,47.615,47.615,77590,0
DEXC.US,D,20250228,000000,46.88,47.13,46.81,47.09,46451,0
DEXC.US,D,20250303,000000,47.5,47.54,46.72,46.89,20305,0
DEXC.US,D,20250304,000000,46.94,47.48,46.7378,47.13,22247,0
DEXC.US,D,20250305,000000,47.81,48.27,47.8,48.2232,26906,0
DEXC.US,D,20250306,000000,47.91,48.14,47.735,47.75,24688,0
DEXC.US,D,20250307,000000,47.93,48.1041,47.68,48.06,19265,0
DEXC.US,D,20250310,000000,47.4476,47.4476,46.82,47.16,20081,0
DEXC.US,D,20250311,000000,47.31,47.505,47.11,47.23,21201,0
DEXC.US,D,20250312,000000,47.3962,47.71,47.3962,47.62,30753,0
DEXC.US,D,20250313,000000,47.21,47.42,47.1731,47.26,42788,0
DEXC.US,D,20250314,000000,47.68,47.99,47.68,47.99,15082,0
DEXC.US,D,20250317,000000,48.31,48.5752,48.2527,48.48,24402,0
DEXC.US,D,20250318,000000,48.21,48.45,48.21,48.4,20259,0
DEXC.US,D,20250319,000000,48.48,48.75,48.352,48.56,20036,0
DEXC.US,D,20250320,000000,48.59,48.61,48.4771,48.5537,13373,0
DEXC.US,D,20250321,000000,48.64,48.8,48.58,48.79,15655,0
DEXC.US,D,20250324,000000,49.05,49.07,48.925,49.05,11250,0
DEXC.US,D,20250325,000000,48.8396,48.9494,48.8256,48.8885,10880,0
DEXC.US,D,20250326,000000,48.86,48.86,48.4365,48.54,15493,0
DEXC.US,D,20250327,000000,47.4,48.7038,46.8,48.7,14121,0
DEXC.US,D,20250328,000000,48.29,48.29,47.78,47.86,17291,0
DEXC.US,D,20250331,000000,47.3045,47.676,47.28,47.6743,4560,0
DEXC.US,D,20250401,000000,47.58,47.96,47.56,47.9123,9428,0
DEXC.US,D,20250402,000000,47.86,48.27,47.86,48.13,18629,0
DEXC.US,D,20250403,000000,47.31,47.38,47.07,47.07,13595,0
DEXC.US,D,20250404,000000,45.37,45.39,44.62,44.8188,25055,0
