<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DECM.US,D,20241226,000000,30.8747,30.96,30.855,30.8706,23217,0
DECM.US,D,20241227,000000,30.86,30.86,30.7526,30.81,34741,0
DECM.US,D,20241230,000000,30.7157,30.8,30.7157,30.7675,34114,0
DECM.US,D,20241231,000000,30.7739,30.81,30.73,30.74,60581,0
DECM.US,D,20250102,000000,30.78,30.79,30.7,30.7247,11839,0
DECM.US,D,20250103,000000,30.79,30.845,30.77,30.8002,57755,0
DECM.US,D,20250106,000000,30.83,30.8516,30.8249,30.8249,1674,0
DECM.US,D,20250107,000000,30.84,30.96,30.765,30.765,138318,0
DECM.US,D,20250108,000000,30.8,30.82,30.79,30.8003,39479,0
DECM.US,D,20250110,000000,30.76,30.76,30.65,30.71,37745,0
DECM.US,D,20250113,000000,30.689,30.72,30.65,30.7036,28345,0
DECM.US,D,20250114,000000,30.78,30.78,30.6711,30.7254,23760,0
DECM.US,D,20250115,000000,30.8187,30.89,30.8,30.8404,26048,0
DECM.US,D,20250116,000000,30.87,30.89,30.82,30.8453,190679,0
DECM.US,D,20250117,000000,30.895,30.98,30.89,30.89,28106,0
DECM.US,D,20250121,000000,30.94,30.98,30.9,30.9502,73302,0
DECM.US,D,20250122,000000,31.02,31.02,30.9701,31,4969,0
DECM.US,D,20250123,000000,31.01,31.03,30.9967,31.0066,3085,0
DECM.US,D,20250124,000000,31.05,31.06,31.02,31.0285,31559,0
DECM.US,D,20250127,000000,30.9314,30.97,30.9252,30.9252,12496,0
DECM.US,D,20250128,000000,30.985,31.01,30.9797,30.9797,616,0
DECM.US,D,20250129,000000,30.965,30.98,30.9498,30.9498,3350,0
DECM.US,D,20250130,000000,30.9542,31,30.91,31,19814,0
DECM.US,D,20250131,000000,31.0325,31.07,30.9797,30.9797,290,0
DECM.US,D,20250203,000000,30.96,30.97,30.9348,30.9348,1737,0
DECM.US,D,20250204,000000,30.98,30.99,30.92,30.976,3169,0
DECM.US,D,20250205,000000,30.9816,31.04,30.9816,31.04,1704,0
DECM.US,D,20250206,000000,30.9955,31.0599,30.9955,31.0152,418,0
DECM.US,D,20250207,000000,31.04,31.04,30.9799,30.9799,1882,0
DECM.US,D,20250210,000000,30.983,31.03,30.983,31.0101,405,0
DECM.US,D,20250211,000000,31.03,31.03,31.02,31.0298,1831,0
DECM.US,D,20250212,000000,31,31.0147,31,31.0147,618,0
DECM.US,D,20250214,000000,31.075,31.075,31.0748,31.0748,1259,0
DECM.US,D,20250218,000000,31.09,31.1,31.0683,31.0716,1955,0
DECM.US,D,20250219,000000,31.08,31.08,31.06,31.07,11215,0
DECM.US,D,20250220,000000,31.0635,31.11,31.03,31.11,3927,0
DECM.US,D,20250221,000000,31.03,31.0967,31.03,31.03,3171,0
DECM.US,D,20250224,000000,31.03,31.04,31.017,31.0399,6339,0
DECM.US,D,20250225,000000,30.93,30.96,30.93,30.9497,10969,0
DECM.US,D,20250226,000000,30.97,30.97,30.9448,30.9448,803,0
DECM.US,D,20250227,000000,30.9,30.9,30.8399,30.8399,38379,0
DECM.US,D,20250228,000000,30.8276,30.9312,30.8276,30.9312,2091,0
DECM.US,D,20250303,000000,30.95,30.95,30.8347,30.8347,5614,0
DECM.US,D,20250304,000000,30.78,30.82,30.7797,30.7797,1095,0
DECM.US,D,20250305,000000,30.78,30.8433,30.75,30.8433,1797,0
DECM.US,D,20250306,000000,30.8037,30.8037,30.7391,30.7391,307,0
DECM.US,D,20250307,000000,30.6994,30.78,30.6994,30.7743,1757,0
DECM.US,D,20250310,000000,30.68,30.68,30.59,30.64,2787,0
DECM.US,D,20250311,000000,30.61,30.64,30.537,30.5435,35317,0
DECM.US,D,20250312,000000,30.52,30.57,30.52,30.5299,4270,0
DECM.US,D,20250313,000000,30.49,30.49,30.4751,30.4751,1012,0
DECM.US,D,20250317,000000,30.59,30.6899,30.53,30.6715,6442,0
DECM.US,D,20250318,000000,30.6,30.6,30.5799,30.5799,396,0
DECM.US,D,20250319,000000,30.64,30.676,30.63,30.6548,3668,0
DECM.US,D,20250320,000000,30.66,30.66,30.6324,30.6324,4266,0
DECM.US,D,20250321,000000,30.59,30.63,30.5701,30.6254,2900,0
DECM.US,D,20250325,000000,30.7723,30.78,30.7651,30.7651,1240,0
DECM.US,D,20250326,000000,30.755,30.755,30.6752,30.6752,1964,0
DECM.US,D,20250327,000000,30.7073,30.7073,30.6651,30.6651,1818,0
DECM.US,D,20250328,000000,30.52,30.535,30.52,30.5302,1869,0
DECM.US,D,20250331,000000,30.53,30.57,30.4817,30.57,6290,0
DECM.US,D,20250401,000000,30.57,30.595,30.57,30.595,1200,0
DECM.US,D,20250402,000000,30.57,30.6517,30.57,30.6517,135,0
DECM.US,D,20250403,000000,30.465,30.465,30.3672,30.3672,10789,0
DECM.US,D,20250404,000000,30.27,30.27,30.1798,30.1798,15587,0
