<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CSNR.US,D,20250207,000000,24.85,24.85,24.6991,24.6991,1203,0
CSNR.US,D,20250210,000000,24.97,25.11,24.94,25.0494,72873,0
CSNR.US,D,20250212,000000,24.7899,24.82,24.7045,24.7045,52752,0
CSNR.US,D,20250213,000000,24.73,24.8615,24.73,24.8615,1099,0
CSNR.US,D,20250214,000000,24.99,24.99,24.9085,24.9085,925,0
CSNR.US,D,20250218,000000,25.06,25.13,25.06,25.085,51014,0
CSNR.US,D,20250219,000000,24.92,24.92,24.9025,24.9025,381,0
CSNR.US,D,20250220,000000,25.02,25.0214,24.941,25.0214,51310,0
CSNR.US,D,20250224,000000,24.5,24.55,24.47,24.47,392,0
CSNR.US,D,20250225,000000,24.44,24.4585,24.44,24.4585,257,0
CSNR.US,D,20250227,000000,24.2203,24.2203,24.2184,24.2184,147,0
CSNR.US,D,20250304,000000,23.72,23.72,23.5474,23.5474,1006,0
CSNR.US,D,20250305,000000,23.8136,24.08,23.8136,24.07,10057,0
CSNR.US,D,20250306,000000,24.13,24.13,24.0435,24.0435,165,0
CSNR.US,D,20250307,000000,24.3,24.36,24.24,24.3148,1406,0
CSNR.US,D,20250310,000000,24.125,24.2,23.82,23.9646,2184,0
CSNR.US,D,20250311,000000,24.06,24.0717,24.06,24.0717,502,0
CSNR.US,D,20250312,000000,24.23,24.23,24.1235,24.1235,105,0
CSNR.US,D,20250313,000000,24.14,24.14,24.0612,24.0612,129,0
CSNR.US,D,20250319,000000,25.1601,25.35,25.1601,25.3495,329,0
CSNR.US,D,20250325,000000,25.42,25.42,25.2679,25.2679,170,0
CSNR.US,D,20250326,000000,25.31,25.31,25.3058,25.3058,137,0
CSNR.US,D,20250327,000000,25.2801,25.3361,25.2801,25.3361,202,0
CSNR.US,D,20250328,000000,25.02,25.02,24.78,24.8299,2589,0
CSNR.US,D,20250331,000000,24.59,24.9053,24.59,24.9053,574775,0
CSNR.US,D,20250401,000000,24.71,24.8867,24.635,24.8867,2169,0
CSNR.US,D,20250402,000000,24.65,24.9359,24.6499,24.9359,3487,0
CSNR.US,D,20250403,000000,24.23,24.23,23.9776,23.9776,1886,0
CSNR.US,D,20250404,000000,22.19,22.24,21.951,22.0804,1775,0
