<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FEMR.US,D,20241125,000000,25.3,25.3084,25.3,25.3005,1375,0
FEMR.US,D,20241126,000000,24.9786,24.98,24.9015,24.9345,3763,0
FEMR.US,D,20241127,000000,24.97,25,24.9553,24.9553,1050,0
FEMR.US,D,20241129,000000,24.9199,24.9199,24.8757,24.8757,152,0
FEMR.US,D,20241202,000000,24.98,25.092,24.98,25.092,229,0
FEMR.US,D,20241204,000000,25.215,25.2228,25.13,25.2228,12022,0
FEMR.US,D,20241205,000000,25.3201,25.39,25.3201,25.3812,389,0
FEMR.US,D,20241210,000000,25.5291,25.5291,25.4647,25.4647,355,0
FEMR.US,D,20241213,000000,25.41,25.4686,25.4001,25.4455,645,0
FEMR.US,D,20241217,000000,25.3,25.3434,25.3,25.3434,684,0
FEMR.US,D,20241218,000000,25.3989,25.3989,24.78,24.7839,736,0
FEMR.US,D,20241219,000000,24.91,24.9195,24.91,24.9195,256,0
FEMR.US,D,20241220,000000,24.74,24.9001,24.7399,24.8876,1148,0
FEMR.US,D,20241223,000000,25,25.0287,25,25.0287,230,0
FEMR.US,D,20241224,000000,25.06,25.0799,25.06,25.0799,103,0
FEMR.US,D,20241226,000000,24.58,25.0058,24.58,25.0058,420,0
FEMR.US,D,20241227,000000,24.86,24.8661,24.83,24.8661,602,0
FEMR.US,D,20241230,000000,24.64,24.7039,24.64,24.7039,272,0
FEMR.US,D,20241231,000000,24.675,24.6842,24.5807,24.5807,1786,0
FEMR.US,D,20250102,000000,24.54,24.54,24.46,24.511,936,0
FEMR.US,D,20250103,000000,24.6791,24.6797,24.6688,24.6797,478,0
FEMR.US,D,20250106,000000,24.885,24.885,24.7701,24.7977,529,0
FEMR.US,D,20250107,000000,24.8,24.8,24.6371,24.6371,422,0
FEMR.US,D,20250110,000000,24.41,24.41,24.11,24.1342,2765,0
FEMR.US,D,20250113,000000,23.929,23.96,23.929,23.9595,307,0
FEMR.US,D,20250114,000000,24.17,24.2375,24.17,24.2375,218,0
FEMR.US,D,20250116,000000,24.5,24.539,24.4949,24.4949,6209,0
FEMR.US,D,20250117,000000,24.75,24.7599,24.7358,24.7374,2101,0
FEMR.US,D,20250121,000000,24.94,25.009,24.94,24.9683,264,0
FEMR.US,D,20250122,000000,25.005,25.0899,25.005,25.0193,1428,0
FEMR.US,D,20250123,000000,24.92,24.9918,24.92,24.9918,846,0
FEMR.US,D,20250124,000000,25.2597,25.2597,25.1687,25.1687,480,0
FEMR.US,D,20250127,000000,24.7,24.76,24.6747,24.6747,2239,0
FEMR.US,D,20250128,000000,24.87,24.8988,24.87,24.8988,549,0
FEMR.US,D,20250129,000000,24.96,24.96,24.8684,24.8684,245,0
FEMR.US,D,20250130,000000,25.259,25.2697,25.2315,25.2697,376,0
FEMR.US,D,20250131,000000,25.13,25.13,25.022,25.0228,523,0
FEMR.US,D,20250203,000000,24.6,24.885,24.45,24.7969,625,0
FEMR.US,D,20250206,000000,25.34,25.366,25.34,25.366,119,0
FEMR.US,D,20250207,000000,25.37,25.3716,25.37,25.3716,950,0
FEMR.US,D,20250210,000000,25.52,25.5925,25.52,25.5925,138,0
FEMR.US,D,20250211,000000,25.545,25.63,25.545,25.5798,13517,0
FEMR.US,D,20250212,000000,25.71,25.809,25.6801,25.7408,27281,0
FEMR.US,D,20250213,000000,25.84,25.8566,25.84,25.8566,263,0
FEMR.US,D,20250218,000000,26.235,26.33,26.16,26.2847,10629,0
FEMR.US,D,20250219,000000,26.28,26.4,26.2478,26.2653,8133,0
FEMR.US,D,20250220,000000,26.37,26.3861,26.365,26.3861,1536,0
FEMR.US,D,20250221,000000,26.5301,26.5499,26.2601,26.3461,4169,0
FEMR.US,D,20250224,000000,26.0501,26.1099,26.05,26.05,1304,0
FEMR.US,D,20250225,000000,25.99,26.0299,25.99,26.0203,2002,0
FEMR.US,D,20250226,000000,26.36,26.36,26.16,26.2501,1219,0
FEMR.US,D,20250227,000000,25.9692,25.9692,25.7609,25.7609,2934,0
FEMR.US,D,20250228,000000,25.35,25.44,25.2501,25.3833,1715,0
FEMR.US,D,20250303,000000,25.39,25.39,25.115,25.128,1573,0
FEMR.US,D,20250304,000000,25.2,25.59,25.15,25.5649,5657,0
FEMR.US,D,20250305,000000,26.0117,26.2389,26.0117,26.2352,2625,0
FEMR.US,D,20250306,000000,26.125,26.305,26.0126,26.0126,2848,0
FEMR.US,D,20250307,000000,26.005,26.11,26.005,26.0843,1666,0
FEMR.US,D,20250310,000000,25.4501,25.58,25.355,25.4718,1237,0
FEMR.US,D,20250311,000000,25.548,25.6771,25.54,25.6771,6580,0
FEMR.US,D,20250312,000000,25.735,25.8555,25.67,25.8555,934,0
FEMR.US,D,20250313,000000,25.7688,25.77,25.7209,25.7209,538,0
FEMR.US,D,20250314,000000,26.1,26.22,26.095,26.21,3094,0
FEMR.US,D,20250317,000000,26.425,26.78,25.7,26.71,10669,0
FEMR.US,D,20250318,000000,26.53,26.6199,26.47,26.5668,3025,0
FEMR.US,D,20250319,000000,26.54,26.67,26.5393,26.6332,3298,0
FEMR.US,D,20250320,000000,26.35,26.35,26.2501,26.2907,5570,0
FEMR.US,D,20250321,000000,23.9,26.0348,23.2,26.0348,1764,0
FEMR.US,D,20250324,000000,26.25,26.34,26.16,26.2107,9956,0
FEMR.US,D,20250325,000000,26.0701,26.1062,26.0701,26.1062,297,0
FEMR.US,D,20250326,000000,26.0901,26.0901,26,26.0275,680,0
FEMR.US,D,20250327,000000,26.11,26.18,26.1066,26.1613,3448,0
FEMR.US,D,20250328,000000,25.7613,25.99,25.5719,25.6394,1662,0
FEMR.US,D,20250331,000000,25.2401,25.5649,25.14,25.5649,1788,0
FEMR.US,D,20250401,000000,25.53,25.6954,25.525,25.6954,554,0
FEMR.US,D,20250402,000000,25.6999,25.7144,25.63,25.7144,715,0
FEMR.US,D,20250403,000000,25.249,25.31,25.1304,25.1576,2439,0
FEMR.US,D,20250404,000000,24.22,24.3,23.7555,23.7555,2587,0
