<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JETU.US,D,20230627,000000,25.91,26.7363,25.91,26.7363,540,0
JETU.US,D,20230628,000000,26.78,27.16,26.78,27.107,1280,0
JETU.US,D,20230629,000000,27.3212,27.3212,27.3212,27.3212,1,0
JETU.US,D,20230630,000000,27.8299,28.2829,27.8299,28.2829,214,0
JETU.US,D,20230703,000000,28.6328,28.6328,28.6328,28.6328,30,0
JETU.US,D,20230705,000000,28.1,28.7853,28.1,28.7853,307,0
JETU.US,D,20230706,000000,27.4001,27.7398,27.375,27.7398,326,0
JETU.US,D,20230707,000000,28.4093,28.4093,28.4093,28.4093,1,0
JETU.US,D,20230710,000000,29.3449,29.3449,29.3449,29.3449,1,0
JETU.US,D,20230711,000000,30.4043,30.4043,30.4043,30.4043,1,0
JETU.US,D,20230712,000000,29.8209,29.8209,29.8209,29.8209,51,0
JETU.US,D,20230713,000000,29.2787,29.2787,29.2787,29.2787,1,0
JETU.US,D,20230714,000000,28.27,28.32,27.93,27.93,900,0
JETU.US,D,20230717,000000,27.9045,27.9045,27.8703,27.8703,120,0
JETU.US,D,20230718,000000,28.7677,28.7677,28.7677,28.7677,1,0
JETU.US,D,20230719,000000,28.59,28.8484,28.59,28.8484,309,0
JETU.US,D,20230720,000000,29.0457,29.0457,29.0457,29.0457,14,0
JETU.US,D,20230721,000000,29.0122,29.0122,29.0122,29.0122,53,0
JETU.US,D,20230724,000000,28.5245,28.5245,28.5245,28.5245,43,0
JETU.US,D,20230725,000000,27.12,27.12,27.03,27.03,254,0
JETU.US,D,20230726,000000,27.8925,27.8925,27.8925,27.8925,15,0
JETU.US,D,20230727,000000,26.58,26.58,26.51,26.51,217,0
JETU.US,D,20230728,000000,27.3782,27.3782,27.3782,27.3782,8,0
JETU.US,D,20230731,000000,27.3836,27.3836,27.3836,27.3836,8,0
JETU.US,D,20230801,000000,26.5489,26.5489,26.5489,26.5489,108,0
JETU.US,D,20230802,000000,25.82,25.82,25.4789,25.4789,104,0
JETU.US,D,20230803,000000,24.84,24.84,24.74,24.74,250,0
JETU.US,D,20230804,000000,24.6715,24.6715,24.6715,24.6715,82,0
JETU.US,D,20230807,000000,25.11,25.5287,25.1087,25.5287,441,0
JETU.US,D,20230808,000000,25.8293,25.8293,25.8293,25.8293,8,0
JETU.US,D,20230809,000000,25.1486,25.1486,25.1486,25.1486,2,0
JETU.US,D,20230810,000000,25.2,25.2016,25.2,25.2016,392,0
JETU.US,D,20230811,000000,24.7531,24.7531,24.7531,24.7531,1,0
JETU.US,D,20230814,000000,24.8083,24.8083,24.8083,24.8083,50,0
JETU.US,D,20230815,000000,23.88,23.8891,23.696,23.696,817,0
JETU.US,D,20230816,000000,23.2076,23.2076,23.2076,23.2076,52,0
JETU.US,D,20230817,000000,22.41,22.41,22.3568,22.3568,135,0
JETU.US,D,20230818,000000,22.3201,22.3201,22.3201,22.3201,4,0
JETU.US,D,20230821,000000,22.3077,22.3077,22.3077,22.3077,61,0
JETU.US,D,20230822,000000,21.9851,21.9851,21.9851,21.9851,53,0
JETU.US,D,20230823,000000,22.4152,22.4152,22.4152,22.4152,51,0
JETU.US,D,20230824,000000,21.4195,21.4195,21.4195,21.4195,5,0
JETU.US,D,20230825,000000,20.71,21.5292,20.71,21.5292,133,0
JETU.US,D,20230828,000000,22.2,22.2,22.0202,22.0202,206,0
JETU.US,D,20230829,000000,21.96,22.88,21.96,22.83,319,0
JETU.US,D,20230830,000000,22.67,22.7283,22.67,22.7283,105,0
JETU.US,D,20230831,000000,22.2971,22.2971,22.2971,22.2971,50,0
JETU.US,D,20230901,000000,22.29,22.2949,22.1054,22.1054,204,0
JETU.US,D,20230905,000000,20.96,20.9646,20.9389,20.9389,1828,0
JETU.US,D,20230906,000000,20.3264,20.3264,20.3264,20.3264,153,0
JETU.US,D,20230907,000000,19.84,19.84,19.8164,19.8164,177,0
JETU.US,D,20230908,000000,19.56,19.56,19.4011,19.4011,315,0
JETU.US,D,20230911,000000,19.2572,19.2572,19.2572,19.2572,84,0
JETU.US,D,20230912,000000,19.0607,19.0607,19.0607,19.0607,144,0
JETU.US,D,20230913,000000,18.3388,18.3388,18.3388,18.3388,88,0
JETU.US,D,20230914,000000,18.6465,18.6465,18.6465,18.6465,46,0
JETU.US,D,20230915,000000,18.774,18.774,18.718,18.718,255,0
JETU.US,D,20230918,000000,18.0317,18.0317,18.0317,18.0317,4,0
JETU.US,D,20230919,000000,18.0976,18.0976,18.0976,18.0976,20,0
JETU.US,D,20230920,000000,18.67,18.67,17.7086,17.7086,298,0
JETU.US,D,20230921,000000,17.2999,17.2999,17.2959,17.2959,199,0
JETU.US,D,20230922,000000,17.29,17.29,16.63,16.6382,1456,0
JETU.US,D,20230925,000000,16.68,16.6867,16.68,16.6867,213,0
JETU.US,D,20230926,000000,16.028,16.028,16.028,16.028,182,0
JETU.US,D,20230927,000000,16.02,16.02,16.02,16.02,146,0
JETU.US,D,20230928,000000,16.63,16.63,16.3745,16.3745,176,0
JETU.US,D,20230929,000000,16.05,16.2038,16.05,16.2038,235,0
JETU.US,D,20231002,000000,15.7401,15.7401,15.7401,15.7401,38,0
JETU.US,D,20231003,000000,15.19,15.245,14.943,14.943,1874,0
JETU.US,D,20231004,000000,15.22,15.424,15.22,15.424,488,0
JETU.US,D,20231005,000000,15.2913,15.2913,15.2913,15.2913,27,0
JETU.US,D,20231006,000000,15.73,15.73,15.6495,15.6495,407,0
