<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CURB.US,D,20241003,000000,22,22.87,21.5475,22.6,2605384,0
CURB.US,D,20241004,000000,22.37,23.6,21.54,23.44,2690675,0
CURB.US,D,20241007,000000,23.49,24.34,23.21,23.82,3371792,0
CURB.US,D,20241008,000000,24.35,24.35,23.25,24,1832088,0
CURB.US,D,20241009,000000,24,25.15,23.78,24.24,1858026,0
CURB.US,D,20241010,000000,24.34,24.34,23.245,23.69,1411665,0
CURB.US,D,20241011,000000,23.8,23.8,23.08,23.65,760596,0
CURB.US,D,20241014,000000,23.46,23.99,22.925,23.35,772278,0
CURB.US,D,20241015,000000,23.3,24.29,23,23.33,760188,0
CURB.US,D,20241016,000000,22.83,23.48,22.44,23.15,903813,0
CURB.US,D,20241017,000000,23.12,23.27,22.66,23,645004,0
CURB.US,D,20241018,000000,23,23.46,22.85,23.23,502317,0
CURB.US,D,20241021,000000,23.28,23.28,22.48,22.87,263033,0
CURB.US,D,20241022,000000,22.95,23.26,22.42,23.01,507629,0
CURB.US,D,20241023,000000,23,23.1389,22.65,23,737150,0
CURB.US,D,20241024,000000,23.16,23.4,22.75,23.1,608483,0
CURB.US,D,20241025,000000,23.32,23.34,22.81,22.85,697579,0
CURB.US,D,20241028,000000,23.1,23.26,22.78,23.2,440483,0
CURB.US,D,20241029,000000,23.07,23.245,22.68,23.22,1345877,0
CURB.US,D,20241030,000000,23.19,23.78,22.98,23.41,503696,0
CURB.US,D,20241031,000000,23.6,23.6,22.62,22.63,493353,0
CURB.US,D,20241101,000000,22.63,23.08,22.48,22.5,646479,0
CURB.US,D,20241104,000000,22.41,23.21,22.41,22.94,589043,0
CURB.US,D,20241105,000000,22.82,23.625,22.82,23.62,382199,0
CURB.US,D,20241106,000000,24.32,24.53,23.74,24.22,751351,0
CURB.US,D,20241107,000000,24.22,24.53,23.82,24.15,408056,0
CURB.US,D,20241108,000000,24.38,24.7,24.09,24.34,910892,0
CURB.US,D,20241111,000000,24.55,24.92,24.46,24.59,392714,0
CURB.US,D,20241112,000000,24.41,24.8,24.09,24.22,324778,0
CURB.US,D,20241113,000000,24.25,24.74,24.07,24.15,291769,0
CURB.US,D,20241114,000000,24.14,24.24,23.69,23.88,298066,0
CURB.US,D,20241115,000000,24,24.06,23.65,23.75,376589,0
CURB.US,D,20241118,000000,23.85,23.85,23.41,23.58,744937,0
CURB.US,D,20241119,000000,23.53,24.27,23.275,24,307240,0
CURB.US,D,20241120,000000,24.05,24.14,23.65,23.87,268180,0
CURB.US,D,20241121,000000,24.16,24.34,23.8635,23.94,204816,0
CURB.US,D,20241122,000000,24.06,24.33,23.61,23.68,471337,0
CURB.US,D,20241125,000000,23.91,24.065,23.67,23.95,901843,0
CURB.US,D,20241126,000000,24.15,24.66,23.89,24.35,645229,0
CURB.US,D,20241127,000000,24.72,25,24.34,24.43,526716,0
CURB.US,D,20241129,000000,24.49,24.8,24.17,24.26,319423,0
CURB.US,D,20241202,000000,24.14,24.42,23.99,24.11,463372,0
CURB.US,D,20241203,000000,24.2,25.35,24.165,24.26,532757,0
CURB.US,D,20241204,000000,24.1,24.35,23.845,24.07,545848,0
CURB.US,D,20241205,000000,24.025,24.19,23.64,23.8,329699,0
CURB.US,D,20241206,000000,23.7,24.13,23.7,24,336217,0
CURB.US,D,20241209,000000,24.33,24.93,24.2,24.34,418604,0
CURB.US,D,20241210,000000,24.195,24.46,23.735,24.04,543043,0
CURB.US,D,20241211,000000,24.03,24.25,23.82,23.88,294280,0
CURB.US,D,20241212,000000,23.5475,24.17,23.2542,24.07,261697,0
CURB.US,D,20241213,000000,24,24.14,23.68,23.7,583413,0
CURB.US,D,20241216,000000,23.85,23.92,23.61,23.68,898342,0
CURB.US,D,20241217,000000,23.635,23.83,23.15,23.18,1064811,0
CURB.US,D,20241218,000000,23.25,23.27,21.88,22.02,2157614,0
CURB.US,D,20241219,000000,21.615,22.27,21.61,21.64,1018730,0
CURB.US,D,20241220,000000,21.68,22.83,21.68,22.51,3164528,0
CURB.US,D,20241223,000000,22.5,23.3299,22.42,23.23,779001,0
CURB.US,D,20241224,000000,23.23,23.75,23.085,23.73,710555,0
CURB.US,D,20241226,000000,23.5,24.02,23.47,23.88,212765,0
CURB.US,D,20241227,000000,23.595,23.81,23.375,23.49,419227,0
CURB.US,D,20241230,000000,23.3,23.44,22.995,23.35,558500,0
CURB.US,D,20241231,000000,23.12,23.75,23.11,23.22,472687,0
CURB.US,D,20250102,000000,23.245,23.46,23.02,23.43,649799,0
CURB.US,D,20250103,000000,23.42,23.62,23.245,23.5,325298,0
CURB.US,D,20250106,000000,23.6,23.6,22.71,22.93,617061,0
CURB.US,D,20250107,000000,22.915,23.63,22.54,22.9,2261283,0
CURB.US,D,20250108,000000,22.29,23.23,22.29,23,482635,0
CURB.US,D,20250110,000000,22.58,23.45,22.57,23.41,1187654,0
CURB.US,D,20250113,000000,23.4,23.64,23.2954,23.42,482148,0
CURB.US,D,20250114,000000,23.55,23.67,23.205,23.45,643801,0
CURB.US,D,20250115,000000,23.82,23.82,23.235,23.53,570655,0
CURB.US,D,20250116,000000,23.55,23.65,23.27,23.53,308223,0
CURB.US,D,20250117,000000,23.575,23.69,23.25,23.54,486490,0
CURB.US,D,20250121,000000,23.49,23.715,23.42,23.66,335741,0
CURB.US,D,20250122,000000,23.51,23.55,22.98,23.54,310681,0
CURB.US,D,20250123,000000,23.45,23.72,23.34,23.71,584019,0
CURB.US,D,20250124,000000,23.495,24.63,23.495,24.52,362290,0
CURB.US,D,20250127,000000,24.715,25.455,24.6,24.95,382995,0
CURB.US,D,20250128,000000,24.845,25.58,24.84,25.25,822444,0
CURB.US,D,20250129,000000,25.22,25.67,24.555,24.58,583004,0
CURB.US,D,20250130,000000,24.57,25.3,24.57,24.75,390257,0
CURB.US,D,20250131,000000,24.695,24.92,24.415,24.47,494205,0
CURB.US,D,20250203,000000,24.05,25,24.04,24.65,569596,0
CURB.US,D,20250204,000000,24.555,24.645,24.34,24.6,283568,0
CURB.US,D,20250205,000000,25.07,25.1,24.67,24.84,287437,0
CURB.US,D,20250206,000000,24.615,24.86,24.535,24.6,254964,0
CURB.US,D,20250207,000000,24.58,24.73,24.34,24.59,366564,0
CURB.US,D,20250210,000000,24.72,24.82,24.49,24.62,540902,0
CURB.US,D,20250211,000000,24.69,25.69,24.47,25.04,516890,0
CURB.US,D,20250212,000000,24.75,25,24.35,24.64,487754,0
CURB.US,D,20250213,000000,24.645,25.24,24.44,25.23,278083,0
CURB.US,D,20250214,000000,25.61,25.61,24.64,24.74,431753,0
CURB.US,D,20250218,000000,24.71,24.825,24.53,24.8,334831,0
CURB.US,D,20250219,000000,24.29,24.74,24.29,24.49,263534,0
CURB.US,D,20250220,000000,24.33,24.645,24.18,24.45,326476,0
CURB.US,D,20250221,000000,24.8,24.8,23.97,24.36,388421,0
CURB.US,D,20250224,000000,24.26,24.615,24.11,24.3,298914,0
CURB.US,D,20250225,000000,24.59,24.93,24.44,24.68,415799,0
CURB.US,D,20250226,000000,24.57,24.86,24.555,24.65,337611,0
CURB.US,D,20250227,000000,24.51,24.78,24.26,24.42,527149,0
CURB.US,D,20250228,000000,24.19,24.72,24.17,24.63,1798331,0
CURB.US,D,20250303,000000,24.775,24.8,24.165,24.38,497027,0
CURB.US,D,20250304,000000,24.19,24.48,24,24.14,496766,0
CURB.US,D,20250305,000000,24.085,24.38,24.01,24.2,457752,0
CURB.US,D,20250306,000000,24.06,24.22,23.6,24.01,342312,0
CURB.US,D,20250307,000000,24.2,24.2,23.504,23.92,792737,0
CURB.US,D,20250310,000000,23.805,24.02,23.32,23.35,890519,0
CURB.US,D,20250311,000000,23.51,24.37,23.51,24.22,1304462,0
CURB.US,D,20250312,000000,24,24.4,23.89,24.19,667499,0
CURB.US,D,20250313,000000,24.095,24.225,23.19,23.24,445154,0
CURB.US,D,20250314,000000,23.215,23.705,23.18,23.36,703449,0
CURB.US,D,20250317,000000,23.32,23.69,23.27,23.64,536985,0
CURB.US,D,20250318,000000,23.58,24.06,23.46,23.89,904198,0
CURB.US,D,20250319,000000,23.92,24.055,23.415,23.72,781496,0
CURB.US,D,20250320,000000,23.555,23.78,23.37,23.58,483542,0
CURB.US,D,20250321,000000,23.72,23.72,23.12,23.3,1635484,0
CURB.US,D,20250324,000000,23.405,23.82,23.31,23.7,422253,0
CURB.US,D,20250325,000000,23.47,23.59,23.28,23.54,965878,0
CURB.US,D,20250326,000000,23.54,23.78,23.43,23.69,436938,0
CURB.US,D,20250327,000000,23.79,24.24,23.73,24.05,653741,0
CURB.US,D,20250328,000000,24.195,24.2,23.7,23.86,420224,0
CURB.US,D,20250331,000000,23.83,24.31,23.8,24.19,537105,0
CURB.US,D,20250401,000000,24.33,24.69,23.94,24.69,1179776,0
CURB.US,D,20250402,000000,24.39,25.17,24.39,24.95,921344,0
CURB.US,D,20250403,000000,23.54,24.595,23.54,24.24,909896,0
CURB.US,D,20250404,000000,23.89,23.92,22.78,23.18,1151425,0
