<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KDEC.US,D,20241203,000000,25,25.02,24.86,24.94,386850,0
KDEC.US,D,20241204,000000,24.95,25.0001,24.8808,24.9501,147225,0
KDEC.US,D,20241205,000000,24.97,24.98,24.7843,24.83,175649,0
KDEC.US,D,20241206,000000,24.9487,24.9487,24.82,24.91,129313,0
KDEC.US,D,20241209,000000,24.9999,24.9999,24.8,24.83,42029,0
KDEC.US,D,20241210,000000,24.7566,25.7799,24.706,24.76,89008,0
KDEC.US,D,20241211,000000,24.81,24.89,24.76,24.83,79037,0
KDEC.US,D,20241212,000000,24.78,24.81,24.61,24.73,351686,0
KDEC.US,D,20241213,000000,24.61,24.8672,24.44,24.58,42994,0
KDEC.US,D,20241216,000000,24.58,24.71,24.54,24.6407,63233,0
KDEC.US,D,20241217,000000,24.61,24.6399,24.4709,24.53,276616,0
KDEC.US,D,20241218,000000,24.6,24.61,23.75,23.95,56557,0
KDEC.US,D,20241219,000000,24.09,24.09,23.825,23.8594,49166,0
KDEC.US,D,20241220,000000,23.83,24.19,23.79,24.03,309919,0
KDEC.US,D,20241223,000000,23.96,24.1178,23.82,23.99,111069,0
KDEC.US,D,20241224,000000,23.95,24.12,23.94,24.0876,44319,0
KDEC.US,D,20241226,000000,24.04,24.2699,24.04,24.24,88340,0
KDEC.US,D,20241227,000000,24.17,24.2,23.92,24.06,76994,0
KDEC.US,D,20241230,000000,24,24.03,23.7915,23.98,412212,0
KDEC.US,D,20241231,000000,24.0608,24.0909,23.9011,23.98,86858,0
KDEC.US,D,20250102,000000,24.05,24.13,23.8393,23.98,26646,0
KDEC.US,D,20250103,000000,23.99,24.21,23.99,24.21,11853,0
KDEC.US,D,20250106,000000,24.3,24.33,24.15,24.2,29955,0
KDEC.US,D,20250107,000000,24.26,24.26,23.9796,24.08,30289,0
KDEC.US,D,20250108,000000,23.99,24.04,23.89,24.04,30814,0
KDEC.US,D,20250110,000000,23.68,23.86,23.6,23.6994,101355,0
KDEC.US,D,20250113,000000,23.6,23.79,23.55,23.79,32820,0
KDEC.US,D,20250114,000000,23.8401,23.95,23.785,23.94,39045,0
KDEC.US,D,20250115,000000,24.2372,24.26,24.1038,24.1979,15342,0
KDEC.US,D,20250116,000000,24.1999,24.23,24.1501,24.1964,23565,0
KDEC.US,D,20250117,000000,24.25,24.329,24.235,24.27,10799,0
KDEC.US,D,20250121,000000,24.4,24.54,24.3771,24.54,33775,0
KDEC.US,D,20250122,000000,24.475,24.48,24.4,24.46,32221,0
KDEC.US,D,20250123,000000,24.3922,24.52,24.39,24.51,15035,0
KDEC.US,D,20250124,000000,24.47,24.609,24.44,24.49,25144,0
KDEC.US,D,20250127,000000,24.44,24.44,24.2818,24.3306,75950,0
KDEC.US,D,20250128,000000,24.4017,24.44,24.301,24.4,11787,0
KDEC.US,D,20250129,000000,24.45,24.459,24.29,24.38,14860,0
KDEC.US,D,20250130,000000,24.5,24.7779,24.47,24.51,8955,0
KDEC.US,D,20250131,000000,24.5187,24.6,24.35,24.39,11024,0
KDEC.US,D,20250203,000000,24.12,24.345,24.12,24.24,10553,0
KDEC.US,D,20250204,000000,24.23,24.43,24.23,24.43,8324,0
KDEC.US,D,20250205,000000,24.49,24.57,24.4308,24.57,143107,0
KDEC.US,D,20250206,000000,24.53,24.53,24.4,24.52,6096,0
KDEC.US,D,20250207,000000,24.45,24.47,24.3201,24.37,19355,0
KDEC.US,D,20250210,000000,24.34,24.425,24.34,24.37,9545,0
KDEC.US,D,20250211,000000,24.29,24.37,24.28,24.37,12285,0
KDEC.US,D,20250212,000000,24.22,24.27,24.15,24.26,25093,0
KDEC.US,D,20250213,000000,24.32,24.4,24.2181,24.4,18284,0
KDEC.US,D,20250214,000000,24.47,24.47,24.342,24.3837,15038,0
KDEC.US,D,20250218,000000,24.3471,24.46,24.3471,24.45,8571,0
KDEC.US,D,20250219,000000,24.36,24.42,24.34,24.42,61362,0
KDEC.US,D,20250220,000000,24.32,24.36,24.2078,24.32,31412,0
KDEC.US,D,20250221,000000,24.23,24.23,23.88,23.88,20328,0
KDEC.US,D,20250224,000000,23.89,23.93,23.78,23.8,87322,0
KDEC.US,D,20250225,000000,23.79,23.8799,23.68,23.76,21884,0
KDEC.US,D,20250226,000000,23.93,23.93,23.7501,23.79,4054,0
