<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BKSY-WS.US,D,20210913,000000,1.78,1.78,1.49,1.63,185301,0
BKSY-WS.US,D,20210914,000000,1.7,1.7001,1.5,1.5618,114582,0
BKSY-WS.US,D,20210915,000000,1.56,1.68,1.49,1.56,318491,0
BKSY-WS.US,D,20210916,000000,1.62,1.95,1.56,1.75,964070,0
BKSY-WS.US,D,20210917,000000,1.84,1.84,1.56,1.73,327963,0
BKSY-WS.US,D,20210920,000000,1.51,1.67,1.45,1.57,115160,0
BKSY-WS.US,D,20210921,000000,1.6101,1.77,1.57,1.63,138343,0
BKSY-WS.US,D,20210922,000000,1.63,1.77,1.61,1.65,104260,0
BKSY-WS.US,D,20210923,000000,1.6,1.8,1.6,1.7136,361887,0
BKSY-WS.US,D,20210924,000000,1.79,1.85,1.68,1.8,207095,0
BKSY-WS.US,D,20210927,000000,1.81,1.95,1.63,1.88,195164,0
BKSY-WS.US,D,20210928,000000,1.82,1.82,1.6008,1.67,81540,0
BKSY-WS.US,D,20210929,000000,1.84,1.9,1.54,1.55,89009,0
BKSY-WS.US,D,20210930,000000,1.69,1.69,1.46,1.58,100582,0
BKSY-WS.US,D,20211001,000000,1.58,1.58,1.3439,1.49,234987,0
BKSY-WS.US,D,20211004,000000,1.38,1.5299,1.36,1.5299,101096,0
BKSY-WS.US,D,20211005,000000,1.41,1.56,1.4,1.5499,67555,0
BKSY-WS.US,D,20211006,000000,1.49,1.54,1.44,1.48,34147,0
BKSY-WS.US,D,20211007,000000,1.49,1.55,1.39,1.39,107398,0
BKSY-WS.US,D,20211008,000000,1.35,1.5,1.35,1.48,37427,0
BKSY-WS.US,D,20211011,000000,1.4,1.47,1.37,1.38,111167,0
BKSY-WS.US,D,20211012,000000,1.36,1.4,1.27,1.35,191743,0
BKSY-WS.US,D,20211013,000000,1.3499,1.38,1.3,1.3,77751,0
BKSY-WS.US,D,20211014,000000,1.32,1.4399,1.29,1.295,279459,0
BKSY-WS.US,D,20211015,000000,1.33,1.38,1.25,1.28,95266,0
BKSY-WS.US,D,20211018,000000,1.28,1.33,1.26,1.31,65341,0
BKSY-WS.US,D,20211019,000000,1.31,1.35,1.2701,1.34,44597,0
BKSY-WS.US,D,20211020,000000,1.34,1.47,1.32,1.43,111338,0
BKSY-WS.US,D,20211021,000000,1.43,1.55,1.38,1.3977,455446,0
BKSY-WS.US,D,20211022,000000,1.45,1.51,1.39,1.4,126202,0
BKSY-WS.US,D,20211025,000000,1.36,1.97,1.32,1.73,909611,0
BKSY-WS.US,D,20211026,000000,1.765,2,1.55,1.83,414911,0
BKSY-WS.US,D,20211027,000000,1.76,1.94,1.71,1.77,147351,0
BKSY-WS.US,D,20211028,000000,1.71,1.89,1.68,1.89,84919,0
BKSY-WS.US,D,20211029,000000,1.74,1.85,1.58,1.84,75972,0
BKSY-WS.US,D,20211101,000000,1.71,1.83,1.6932,1.8,70765,0
BKSY-WS.US,D,20211102,000000,1.7,1.8,1.66,1.79,55773,0
BKSY-WS.US,D,20211103,000000,1.7001,1.89,1.7001,1.83,83281,0
BKSY-WS.US,D,20211104,000000,1.83,1.85,1.75,1.82,104844,0
BKSY-WS.US,D,20211105,000000,1.89,1.92,1.74,1.85,178106,0
BKSY-WS.US,D,20211108,000000,1.85,1.93,1.78,1.79,115106,0
BKSY-WS.US,D,20211109,000000,1.77,1.85,1.73,1.78,134514,0
BKSY-WS.US,D,20211110,000000,1.71,1.83,1.7,1.7,108550,0
BKSY-WS.US,D,20211111,000000,1.71,1.76,1.59,1.6201,182362,0
BKSY-WS.US,D,20211112,000000,1.67,1.67,1.32,1.46,236399,0
BKSY-WS.US,D,20211115,000000,1.58,1.58,1.45,1.49,105731,0
BKSY-WS.US,D,20211116,000000,1.41,1.5552,1.38,1.5,79894,0
BKSY-WS.US,D,20211117,000000,1.5501,1.63,1.36,1.51,212278,0
BKSY-WS.US,D,20211118,000000,1.52,1.535,1.3801,1.43,103131,0
BKSY-WS.US,D,20211119,000000,1.36,1.47,1.36,1.45,90047,0
BKSY-WS.US,D,20211122,000000,1.41,1.4731,1.32,1.35,56802,0
BKSY-WS.US,D,20211123,000000,1.31,1.35,1.15,1.1768,151318,0
