<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HDL.US,D,20240517,000000,27,30,19.8,22.29,669950,0
HDL.US,D,20240520,000000,21.07,21.44,20.38,20.92,174081,0
HDL.US,D,20240521,000000,20,21,19.6,21,187857,0
HDL.US,D,20240522,000000,21.1,21.5,20.13,20.28,60536,0
HDL.US,D,20240523,000000,20.88,20.88,18.555,18.61,216097,0
HDL.US,D,20240524,000000,18.6,19.89,18.0846,19.65,94240,0
HDL.US,D,20240528,000000,20,21,19.75,20.75,140709,0
HDL.US,D,20240529,000000,19.81,20.97,19.37,20.15,25826,0
HDL.US,D,20240530,000000,19.6769,20.385,19.6,20,26633,0
HDL.US,D,20240531,000000,20,20.33,19.7,20.3,79245,0
HDL.US,D,20240603,000000,20.25,20.85,19.8485,19.91,13484,0
HDL.US,D,20240604,000000,19.685,20.335,19.685,20.265,4461,0
HDL.US,D,20240605,000000,19.805,20.3,19.805,20.01,22809,0
HDL.US,D,20240606,000000,19.61,19.69,19.202,19.22,10088,0
HDL.US,D,20240607,000000,19,19.18,18.252,18.84,9692,0
HDL.US,D,20240610,000000,18.79,19.5,18.7,19.255,8266,0
HDL.US,D,20240611,000000,18.9576,18.9576,18.5,18.8,2999,0
HDL.US,D,20240612,000000,18.8,18.81,17.33,17.84,45457,0
HDL.US,D,20240613,000000,18.3,18.5,17.9,18.4,18619,0
HDL.US,D,20240614,000000,18.39,18.5,17.9201,18.07,3369,0
HDL.US,D,20240617,000000,17.93,18.47,17.8,17.92,7139,0
HDL.US,D,20240618,000000,17.5,18.15,16.66,17.28,98711,0
HDL.US,D,20240620,000000,16.49,16.49,15.6,15.96,59990,0
HDL.US,D,20240621,000000,15.95,18.5,15.75,17.98,82188,0
HDL.US,D,20240624,000000,17.7,17.78,17,17.6,46928,0
HDL.US,D,20240625,000000,17.16,18.24,17,17.25,40590,0
HDL.US,D,20240626,000000,18.2,19.46,17.85,19.2,43152,0
HDL.US,D,20240627,000000,18.11,19.41,17.7299,18.8,44498,0
HDL.US,D,20240628,000000,18.65,18.65,17.85,18,54938,0
HDL.US,D,20240701,000000,18,18.2,17.52,17.535,12703,0
HDL.US,D,20240702,000000,17.6,17.6,17.1,17.1,12636,0
HDL.US,D,20240703,000000,17.11,17.62,17.11,17.3,18283,0
HDL.US,D,20240705,000000,17.59,18.29,17.5,18,24786,0
HDL.US,D,20240708,000000,17.56,17.61,17.3101,17.41,4126,0
HDL.US,D,20240709,000000,17.68,17.88,17.5829,17.75,13584,0
HDL.US,D,20240710,000000,17.42,17.99,17.3,17.4,13209,0
HDL.US,D,20240711,000000,17.83,18.29,17.575,17.97,22156,0
HDL.US,D,20240712,000000,18.3,18.38,18,18,7004,0
HDL.US,D,20240715,000000,18.41,18.48,17.9,18.15,3890,0
HDL.US,D,20240716,000000,17.95,18,17.62,17.68,13217,0
HDL.US,D,20240717,000000,17.15,17.71,17.15,17.16,11325,0
HDL.US,D,20240718,000000,17.58,17.58,17,17,18084,0
HDL.US,D,20240719,000000,16.81,17.25,16.69,16.72,5834,0
HDL.US,D,20240722,000000,16.87,16.93,16.54,16.55,6242,0
HDL.US,D,20240723,000000,16.62,16.62,16.22,16.24,4784,0
HDL.US,D,20240724,000000,16.2456,18,15.7501,15.94,11015,0
HDL.US,D,20240725,000000,15.6,15.6,14.5,14.66,27253,0
HDL.US,D,20240726,000000,14.98,15.33,14.85,15.33,23283,0
HDL.US,D,20240729,000000,15.15,15.25,14.9101,15.02,12152,0
HDL.US,D,20240730,000000,15.1,15.35,15,15.35,7213,0
HDL.US,D,20240731,000000,15.98,16.3,15.6701,16.21,7755,0
HDL.US,D,20240801,000000,15.69,15.92,15.05,15.11,14141,0
HDL.US,D,20240802,000000,15.13,16.15,14.6,14.81,39205,0
HDL.US,D,20240805,000000,14.6,14.6,13.94,13.94,15516,0
HDL.US,D,20240806,000000,14.33,14.7,14.1901,14.25,16794,0
HDL.US,D,20240807,000000,14.91,14.99,14.15,14.22,15345,0
HDL.US,D,20240808,000000,14.69,14.69,14.43,14.44,20589,0
HDL.US,D,20240809,000000,14.71,14.94,14.44,14.44,7888,0
HDL.US,D,20240812,000000,14.56,14.56,14,14.09,10052,0
HDL.US,D,20240813,000000,14.1636,14.76,14.1636,14.4,10468,0
HDL.US,D,20240814,000000,14.6332,14.6332,14.18,14.18,4733,0
HDL.US,D,20240815,000000,14.5,14.9267,14.44,14.78,4734,0
HDL.US,D,20240816,000000,14.88,14.98,14.75,14.77,4198,0
HDL.US,D,20240819,000000,15.01,15.18,15,15.02,5687,0
HDL.US,D,20240820,000000,15.1,15.18,15.03,15.08,4268,0
HDL.US,D,20240821,000000,15.45,15.56,15.38,15.56,1631,0
HDL.US,D,20240822,000000,15.41,15.41,15.2862,15.35,2242,0
HDL.US,D,20240823,000000,15.565,15.9645,15.55,15.55,2097,0
HDL.US,D,20240826,000000,15.98,17.69,15.3,16.24,37690,0
HDL.US,D,20240827,000000,16.77,16.77,15.35,15.68,30945,0
HDL.US,D,20240828,000000,15.775,15.9,15.5,15.658,12866,0
HDL.US,D,20240829,000000,16.34,16.38,16.08,16.32,7123,0
HDL.US,D,20240830,000000,16.2,16.3755,15.47,15.54,17951,0
HDL.US,D,20240903,000000,15.93,15.93,14.6,14.85,44846,0
HDL.US,D,20240904,000000,15,15.68,14.75,14.94,45762,0
HDL.US,D,20240905,000000,15.3,15.46,14.775,14.86,40700,0
HDL.US,D,20240906,000000,15,15,14.5,14.8,86665,0
HDL.US,D,20240909,000000,15,15,14.28,14.37,30633,0
HDL.US,D,20240910,000000,14.92,14.92,14.35,14.35,15163,0
HDL.US,D,20240911,000000,14.79,14.91,14.44,14.44,9083,0
HDL.US,D,20240912,000000,14.85,14.99,14.485,14.82,20155,0
HDL.US,D,20240913,000000,15.33,15.33,14.7,14.7,18099,0
HDL.US,D,20240916,000000,14.99,14.99,14.21,14.3,26952,0
HDL.US,D,20240917,000000,14.7,15.36,14.37,14.38,55823,0
HDL.US,D,20240918,000000,14.38,14.6,14.18,14.35,21124,0
HDL.US,D,20240919,000000,14.98,15.35,14.74,14.87,34889,0
HDL.US,D,20240920,000000,15.2,15.67,15.1118,15.66,37146,0
HDL.US,D,20240923,000000,16,17.26,16,16.605,68735,0
HDL.US,D,20240924,000000,17.16,17.82,17.15,17.59,13438,0
HDL.US,D,20240925,000000,17.5,18.475,16.995,17,26205,0
HDL.US,D,20240926,000000,18.55,19.02,17.8,18,69306,0
HDL.US,D,20240927,000000,18,18.0525,17.5,17.55,38351,0
HDL.US,D,20240930,000000,18.34,18.34,17.24,17.34,30405,0
HDL.US,D,20241001,000000,17.35,17.49,17.01,17.26,28593,0
HDL.US,D,20241002,000000,18.01,18.01,16.81,16.81,70450,0
HDL.US,D,20241003,000000,16.82,16.82,15.91,15.92,48675,0
HDL.US,D,20241004,000000,16.2,17.49,16.18,17.49,110142,0
HDL.US,D,20241007,000000,18.25,19.83,18.1,18.47,105347,0
HDL.US,D,20241008,000000,17.94,18.23,17.55,17.8,30592,0
HDL.US,D,20241009,000000,17.99,18,17.738,17.8,8766,0
HDL.US,D,20241010,000000,18.27,18.3,17.65,17.72,10298,0
HDL.US,D,20241011,000000,17.64,17.91,17.48,17.64,14072,0
HDL.US,D,20241014,000000,17.64,18.17,17.64,17.83,11606,0
HDL.US,D,20241015,000000,16.7,17.8299,16.7,16.7,16986,0
HDL.US,D,20241016,000000,16.91,17.39,16.71,16.77,15392,0
HDL.US,D,20241017,000000,16.16,16.65,16.055,16.06,24250,0
HDL.US,D,20241018,000000,17.4,17.51,16.45,16.45,14459,0
HDL.US,D,20241021,000000,16.46,16.46,15.5701,15.68,31557,0
HDL.US,D,20241022,000000,16.11,17,16.11,16.57,11556,0
HDL.US,D,20241023,000000,17.26,17.49,16.69,16.86,18401,0
HDL.US,D,20241024,000000,17.19,17.19,16.64,16.68,17040,0
HDL.US,D,20241025,000000,17.31,17.35,16.96,17.2,43421,0
HDL.US,D,20241028,000000,17.06,17.38,17.0011,17.25,22214,0
HDL.US,D,20241029,000000,16.8,17.06,16.59,16.85,11240,0
HDL.US,D,20241030,000000,16.59,16.93,16.25,16.46,17754,0
HDL.US,D,20241031,000000,16.47,16.47,16.08,16.31,12278,0
HDL.US,D,20241101,000000,16.88,16.88,16.05,16.27,8085,0
HDL.US,D,20241104,000000,17.01,17.12,16.76,17.01,9052,0
HDL.US,D,20241105,000000,17,17,16.62,16.83,9434,0
HDL.US,D,20241106,000000,17.59,17.59,16.61,16.69,11809,0
HDL.US,D,20241107,000000,17,17.54,17,17.43,20794,0
HDL.US,D,20241108,000000,17.43,17.43,16.3127,16.55,10375,0
HDL.US,D,20241111,000000,16.6,17.33,16.6,16.88,5958,0
HDL.US,D,20241112,000000,17,17,16.64,16.64,93792,0
HDL.US,D,20241113,000000,16.81,16.9,16.51,16.63,11164,0
HDL.US,D,20241114,000000,17.0368,17.0368,16.51,16.51,42495,0
HDL.US,D,20241115,000000,16.33,16.635,16.02,16.04,3337,0
HDL.US,D,20241118,000000,16,16.5,16,16.39,12170,0
HDL.US,D,20241119,000000,16.7,16.7,16.7,16.7,1596,0
HDL.US,D,20241120,000000,17.18,17.18,16.41,16.41,12995,0
HDL.US,D,20241121,000000,16.47,16.83,16.11,16.48,53873,0
HDL.US,D,20241122,000000,16.45,16.7999,16.21,16.29,37689,0
HDL.US,D,20241125,000000,17.23,17.24,15.54,16.03,62869,0
HDL.US,D,20241126,000000,16.45,16.5863,16.17,16.56,8204,0
HDL.US,D,20241127,000000,17.09,17.1263,16.82,16.93,8347,0
HDL.US,D,20241129,000000,19.4,20.57,19.25,20.53,92336,0
HDL.US,D,20241202,000000,20,20.01,19.209,19.67,26256,0
HDL.US,D,20241203,000000,20.49,20.49,19.91,20,49081,0
HDL.US,D,20241204,000000,20.58,20.86,20.45,20.85,22297,0
HDL.US,D,20241205,000000,21.08,21.81,21.08,21.81,36967,0
HDL.US,D,20241206,000000,22.6,23.0291,22.335,22.46,29028,0
HDL.US,D,20241209,000000,23.67,24.5399,23.24,24.41,65321,0
HDL.US,D,20241210,000000,23.19,24.1413,23.17,23.85,11927,0
HDL.US,D,20241211,000000,24.35,25,24.22,24.65,28100,0
HDL.US,D,20241212,000000,25.31,26,25.17,25.85,32703,0
HDL.US,D,20241213,000000,26,26.5037,25.9206,26.5,5889,0
HDL.US,D,20241216,000000,26.88,26.88,26.18,26.235,10110,0
HDL.US,D,20241217,000000,26.55,28,26.55,27.98,20616,0
HDL.US,D,20241218,000000,27.99,28.58,27.28,27.28,10868,0
HDL.US,D,20241219,000000,28,28.72,27.9,28.72,18498,0
