<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AMODW.US,D,20230503,000000,0.079,0.079,0.0486,0.079,4892,0
AMODW.US,D,20230504,000000,0.079,0.12,0.0768,0.0819,102933,0
AMODW.US,D,20230505,000000,0.081,0.081,0.07,0.0702,31276,0
AMODW.US,D,20230508,000000,0.1004,0.1004,0.075,0.0754,21038,0
AMODW.US,D,20230509,000000,0.0863,0.1025,0.07,0.0813,7910,0
AMODW.US,D,20230510,000000,0.0994,0.0994,0.084,0.084,14292,0
AMODW.US,D,20230511,000000,0.078,0.088,0.077,0.0821,21579,0
AMODW.US,D,20230512,000000,0.09,0.09,0.05,0.0541,8811,0
AMODW.US,D,20230515,000000,0.0541,0.0541,0.0541,0.0541,1040,0
AMODW.US,D,20230516,000000,0.0611,0.0611,0.054,0.054,1954,0
AMODW.US,D,20230517,000000,0.08,0.085,0.0541,0.0544,16728,0
AMODW.US,D,20230518,000000,0.055,0.0824,0.055,0.0824,17641,0
AMODW.US,D,20230519,000000,0.0823,0.0823,0.0823,0.0823,330,0
AMODW.US,D,20230522,000000,0.087,0.087,0.0868,0.0868,306,0
AMODW.US,D,20230523,000000,0.0849,0.0849,0.075,0.075,10710,0
AMODW.US,D,20230524,000000,0.0649,0.0649,0.052,0.052,2021,0
AMODW.US,D,20230531,000000,0.056,0.0631,0.056,0.056,3480,0
AMODW.US,D,20230602,000000,0.0642,0.0642,0.0642,0.0642,131,0
AMODW.US,D,20230607,000000,0.065,0.065,0.065,0.065,6253,0
AMODW.US,D,20230608,000000,0.055,0.0627,0.055,0.0627,2807,0
AMODW.US,D,20230613,000000,0.055001,0.08,0.055001,0.06,5280,0
AMODW.US,D,20230614,000000,0.0601,0.0601,0.060001,0.060001,7099,0
AMODW.US,D,20230616,000000,0.055,0.0551,0.055,0.0551,6000,0
AMODW.US,D,20230621,000000,0.0551,0.0722,0.0551,0.0722,3020,0
AMODW.US,D,20230622,000000,0.0722,0.075,0.0722,0.075,2000,0
AMODW.US,D,20230627,000000,0.064899,0.065,0.03165,0.03165,42379,0
AMODW.US,D,20230628,000000,0.03,0.03,0.029,0.03,27268,0
AMODW.US,D,20230629,000000,0.0455,0.05,0.0178,0.0329,12845,0
AMODW.US,D,20230705,000000,0.0358,0.0359,0.0153,0.0153,9968,0
AMODW.US,D,20230706,000000,0.02,0.0448,0.02,0.037,26710,0
AMODW.US,D,20230707,000000,0.0292,0.0347,0.0292,0.0347,3520,0
AMODW.US,D,20230710,000000,0.0323,0.0323,0.0305,0.0307,6953,0
AMODW.US,D,20230711,000000,0.0298,0.03,0.0297,0.0297,1517,0
AMODW.US,D,20230712,000000,0.03,0.03,0.03,0.03,26657,0
AMODW.US,D,20230713,000000,0.03,0.03,0.018875,0.018875,1721,0
AMODW.US,D,20230714,000000,0.0252,0.03,0.019,0.0212,15694,0
AMODW.US,D,20230717,000000,0.0255,0.0284,0.0254,0.0256,5540,0
AMODW.US,D,20230718,000000,0.03,0.03,0.03,0.03,4196,0
AMODW.US,D,20230719,000000,0.03,0.03,0.0263,0.0294,2088,0
