<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FUFUW.US,D,20240304,000000,0.6999,0.8,0.5,0.619,868621,0
FUFUW.US,D,20240305,000000,0.5,0.51375,0.35,0.44,282657,0
FUFUW.US,D,20240306,000000,0.3947,0.44475,0.36,0.43,151290,0
FUFUW.US,D,20240307,000000,0.43,0.45,0.365101,0.366,133409,0
FUFUW.US,D,20240308,000000,0.3725,0.41,0.3299,0.3551,65689,0
FUFUW.US,D,20240311,000000,0.39,0.507,0.346,0.3729,42238,0
FUFUW.US,D,20240312,000000,0.418,0.42,0.31,0.35,37292,0
FUFUW.US,D,20240313,000000,0.3301,0.36,0.31,0.354325,40282,0
FUFUW.US,D,20240314,000000,0.35,0.3675,0.3252,0.3252,16083,0
FUFUW.US,D,20240315,000000,0.320101,0.3499,0.320101,0.3499,1194,0
FUFUW.US,D,20240318,000000,0.34,0.3975,0.32,0.32,2680,0
FUFUW.US,D,20240319,000000,0.387,0.41,0.3201,0.39,26770,0
FUFUW.US,D,20240320,000000,0.41,0.42,0.3301,0.36,16641,0
FUFUW.US,D,20240321,000000,0.34,0.3899,0.34,0.37,7529,0
FUFUW.US,D,20240322,000000,0.374,0.39,0.36,0.374,12591,0
FUFUW.US,D,20240325,000000,0.4,0.4,0.366,0.381,28862,0
FUFUW.US,D,20240326,000000,0.386101,0.3863,0.3679,0.3679,7283,0
FUFUW.US,D,20240327,000000,0.374,0.3761,0.374,0.3761,815,0
FUFUW.US,D,20240328,000000,0.376,0.383033,0.374,0.376,7921,0
FUFUW.US,D,20240401,000000,0.37,0.388501,0.37,0.374,2920,0
FUFUW.US,D,20240402,000000,0.374,0.3842,0.374,0.374,1394,0
FUFUW.US,D,20240403,000000,0.374,0.397499,0.37,0.3731,16018,0
FUFUW.US,D,20240404,000000,0.36,0.3695,0.36,0.3695,3470,0
FUFUW.US,D,20240405,000000,0.37,0.3701,0.37,0.3701,415,0
FUFUW.US,D,20240408,000000,0.37,0.37,0.335,0.335,4960,0
FUFUW.US,D,20240409,000000,0.33,0.344,0.33,0.34,4400,0
FUFUW.US,D,20240410,000000,0.33,0.3399,0.31,0.3399,505,0
FUFUW.US,D,20240411,000000,0.34,0.3401,0.31,0.31,9358,0
FUFUW.US,D,20240412,000000,0.32,0.32,0.31,0.31,3459,0
FUFUW.US,D,20240417,000000,0.261101,0.261101,0.2448,0.26,9584,0
FUFUW.US,D,20240418,000000,0.2448,0.25,0.2447,0.25,12928,0
FUFUW.US,D,20240419,000000,0.28,0.3,0.28,0.2999,16200,0
FUFUW.US,D,20240422,000000,0.25,0.29,0.2448,0.29,23617,0
FUFUW.US,D,20240423,000000,0.2617,0.2617,0.2438,0.2438,995,0
FUFUW.US,D,20240424,000000,0.2537,0.2538,0.22,0.22,2413,0
FUFUW.US,D,20240425,000000,0.22,0.22,0.195065,0.2,2790,0
FUFUW.US,D,20240426,000000,0.17,0.189027,0.15,0.18,8768,0
FUFUW.US,D,20240429,000000,0.18,0.18,0.17,0.17,8943,0
FUFUW.US,D,20240430,000000,0.17,0.2421,0.17,0.17,4886,0
FUFUW.US,D,20240502,000000,0.1996,0.225,0.1996,0.225,1926,0
FUFUW.US,D,20240503,000000,0.18,0.18,0.18,0.18,1328,0
FUFUW.US,D,20240506,000000,0.190001,0.2375,0.17,0.17,31720,0
FUFUW.US,D,20240507,000000,0.2275,0.2275,0.17,0.17,1525,0
FUFUW.US,D,20240509,000000,0.189403,0.189403,0.189403,0.189403,441,0
FUFUW.US,D,20240513,000000,0.1894,0.1894,0.1894,0.1894,598,0
FUFUW.US,D,20240514,000000,0.2,0.2001,0.185,0.2,5516,0
FUFUW.US,D,20240515,000000,0.24,0.273,0.24,0.2674,10388,0
FUFUW.US,D,20240516,000000,0.28,0.3175,0.28,0.28,5378,0
FUFUW.US,D,20240521,000000,0.26,0.34,0.26,0.3026,5025,0
FUFUW.US,D,20240522,000000,0.28,0.28,0.28,0.28,158,0
FUFUW.US,D,20240523,000000,0.2052,0.25,0.2052,0.25,529,0
FUFUW.US,D,20240524,000000,0.2065,0.2065,0.2065,0.2065,119,0
FUFUW.US,D,20240528,000000,0.2125,0.25,0.2125,0.25,4457,0
FUFUW.US,D,20240529,000000,0.25,0.25,0.25,0.25,4400,0
FUFUW.US,D,20240605,000000,0.2002,0.2002,0.2002,0.2002,200,0
FUFUW.US,D,20240610,000000,0.21,0.2101,0.21,0.2101,231,0
FUFUW.US,D,20240611,000000,0.259899,0.259899,0.259899,0.259899,100,0
FUFUW.US,D,20240612,000000,0.2343,0.2343,0.21,0.21,10000,0
FUFUW.US,D,20240613,000000,0.2225,0.3,0.21,0.21,1871,0
FUFUW.US,D,20240614,000000,0.2703,0.273,0.2703,0.2729,849,0
FUFUW.US,D,20240617,000000,0.224,0.224,0.22,0.22,1436,0
FUFUW.US,D,20240618,000000,0.2835,0.2901,0.2681,0.28,12229,0
FUFUW.US,D,20240620,000000,0.3,0.3,0.2501,0.26,31676,0
FUFUW.US,D,20240621,000000,0.26,0.429999,0.26,0.429999,36059,0
FUFUW.US,D,20240624,000000,0.38,0.38,0.2726,0.31,8500,0
FUFUW.US,D,20240625,000000,0.37,0.5,0.37,0.46,187997,0
FUFUW.US,D,20240626,000000,0.47,0.47,0.322,0.3302,15531,0
FUFUW.US,D,20240627,000000,0.37,0.39375,0.36,0.37,21989,0
FUFUW.US,D,20240628,000000,0.37,0.3832,0.36,0.3675,41641,0
FUFUW.US,D,20240701,000000,0.3499,0.38,0.3499,0.36,14716,0
FUFUW.US,D,20240702,000000,0.36,0.3925,0.36,0.3635,57657,0
FUFUW.US,D,20240703,000000,0.340001,0.39,0.34,0.374,17379,0
FUFUW.US,D,20240705,000000,0.3875,0.3974,0.3875,0.3974,1844,0
FUFUW.US,D,20240708,000000,0.35,0.40625,0.34,0.40625,18087,0
FUFUW.US,D,20240709,000000,0.3762,0.4,0.3675,0.4,46146,0
FUFUW.US,D,20240710,000000,0.37,0.39575,0.37,0.39575,2798,0
FUFUW.US,D,20240711,000000,0.374,0.374,0.3639,0.370101,5954,0
FUFUW.US,D,20240712,000000,0.4675,0.4675,0.37,0.379451,3902,0
FUFUW.US,D,20240715,000000,0.384,0.4625,0.384,0.45495,16939,0
FUFUW.US,D,20240716,000000,0.4455,0.46,0.39,0.4597,24455,0
FUFUW.US,D,20240717,000000,0.4308,0.44,0.4308,0.44,1220,0
FUFUW.US,D,20240718,000000,0.411,0.421,0.411,0.421,2600,0
FUFUW.US,D,20240719,000000,0.469999,0.58,0.445,0.569999,29352,0
FUFUW.US,D,20240722,000000,0.6,0.6,0.4825,0.5,24916,0
FUFUW.US,D,20240723,000000,0.49,0.535,0.4475,0.496,11538,0
FUFUW.US,D,20240724,000000,0.466,0.494,0.4562,0.4899,8236,0
FUFUW.US,D,20240725,000000,0.49,0.49,0.49,0.49,1200,0
FUFUW.US,D,20240726,000000,0.49,0.49,0.456,0.47,8880,0
FUFUW.US,D,20240729,000000,0.47,0.49,0.467,0.467,8758,0
FUFUW.US,D,20240730,000000,0.47,0.47,0.467,0.47,9105,0
FUFUW.US,D,20240731,000000,0.47,0.533751,0.47,0.47,2340,0
FUFUW.US,D,20240801,000000,0.47,0.47,0.411,0.4111,17797,0
FUFUW.US,D,20240802,000000,0.411201,0.4113,0.411,0.411,5200,0
FUFUW.US,D,20240806,000000,0.411,0.4785,0.3941,0.3941,3449,0
FUFUW.US,D,20240809,000000,0.394,0.394,0.3834,0.384,10770,0
FUFUW.US,D,20240812,000000,0.454,0.52,0.4025,0.4025,32258,0
FUFUW.US,D,20240813,000000,0.4025,0.4025,0.4025,0.4025,200,0
FUFUW.US,D,20240814,000000,0.41,0.41,0.385,0.3851,8301,0
FUFUW.US,D,20240815,000000,0.395,0.395,0.385,0.385,300,0
FUFUW.US,D,20240819,000000,0.465,0.47,0.465,0.47,640,0
FUFUW.US,D,20240820,000000,0.48,0.48,0.384,0.398851,3460,0
FUFUW.US,D,20240821,000000,0.4431,0.45,0.409999,0.42005,12650,0
FUFUW.US,D,20240822,000000,0.5,0.5,0.4376,0.4425,87638,0
FUFUW.US,D,20240823,000000,0.48,0.48,0.37,0.45,47491,0
FUFUW.US,D,20240826,000000,0.48,0.48,0.4,0.4,27154,0
FUFUW.US,D,20240827,000000,0.45,0.465,0.396,0.4,23750,0
FUFUW.US,D,20240828,000000,0.4,0.4,0.384999,0.38525,12059,0
FUFUW.US,D,20240829,000000,0.4,0.41,0.385,0.3925,56519,0
FUFUW.US,D,20240830,000000,0.45,0.45,0.3997,0.3999,12540,0
FUFUW.US,D,20240903,000000,0.4,0.4,0.4,0.4,6981,0
FUFUW.US,D,20240904,000000,0.3997,0.4,0.38,0.38,6239,0
FUFUW.US,D,20240905,000000,0.3801,0.39,0.38,0.38,8806,0
FUFUW.US,D,20240906,000000,0.4,0.4,0.37,0.37,5543,0
FUFUW.US,D,20240909,000000,0.375,0.375,0.375,0.375,304,0
FUFUW.US,D,20240910,000000,0.38,0.38,0.38,0.38,200,0
FUFUW.US,D,20240911,000000,0.3791,0.3791,0.3511,0.3511,21085,0
FUFUW.US,D,20240912,000000,0.379999,0.4,0.3725,0.3999,11888,0
FUFUW.US,D,20240913,000000,0.4,0.44,0.38875,0.44,57704,0
FUFUW.US,D,20240916,000000,0.44,0.44,0.42,0.435,13178,0
FUFUW.US,D,20240917,000000,0.403749,0.44,0.403749,0.43915,6390,0
FUFUW.US,D,20240918,000000,0.44,0.44,0.4299,0.4299,2715,0
FUFUW.US,D,20240919,000000,0.44,0.44,0.42,0.4201,15771,0
FUFUW.US,D,20240920,000000,0.3737,0.3938,0.37,0.39,8689,0
FUFUW.US,D,20240923,000000,0.39,0.3999,0.37,0.37,47420,0
FUFUW.US,D,20240924,000000,0.399999,0.4,0.396,0.3999,881,0
FUFUW.US,D,20240925,000000,0.42375,0.48,0.41,0.429999,48988,0
FUFUW.US,D,20240926,000000,0.410101,0.410101,0.41,0.41,1208,0
FUFUW.US,D,20240927,000000,0.4146,0.4146,0.3525,0.36,32628,0
FUFUW.US,D,20240930,000000,0.374,0.374,0.374,0.374,1216,0
FUFUW.US,D,20241002,000000,0.3775,0.3775,0.3775,0.3775,121,0
FUFUW.US,D,20241003,000000,0.379,0.37911,0.374,0.374,5683,0
FUFUW.US,D,20241004,000000,0.375,0.382499,0.375,0.382499,1250,0
FUFUW.US,D,20241007,000000,0.375,0.38,0.35,0.35,8736,0
FUFUW.US,D,20241008,000000,0.36,0.36,0.36,0.36,140,0
FUFUW.US,D,20241009,000000,0.36,0.36,0.35,0.35,11250,0
FUFUW.US,D,20241010,000000,0.3453,0.36,0.323,0.355,29000,0
FUFUW.US,D,20241014,000000,0.36,0.3604,0.32,0.32,20343,0
FUFUW.US,D,20241015,000000,0.33,0.33,0.2325,0.2325,26502,0
FUFUW.US,D,20241016,000000,0.31,0.315,0.31,0.31,4640,0
FUFUW.US,D,20241017,000000,0.31,0.378,0.303,0.32,23280,0
FUFUW.US,D,20241018,000000,0.345,0.3817,0.345,0.378,8204,0
FUFUW.US,D,20241021,000000,0.39,0.39,0.33,0.33,2800,0
FUFUW.US,D,20241022,000000,0.385,0.44,0.385,0.41,37880,0
FUFUW.US,D,20241023,000000,0.408848,0.44,0.408848,0.44,3235,0
FUFUW.US,D,20241024,000000,0.404,0.44,0.404,0.4125,4248,0
FUFUW.US,D,20241028,000000,0.44,0.44,0.4,0.43,35214,0
FUFUW.US,D,20241029,000000,0.45,0.4875,0.43,0.4875,4758,0
FUFUW.US,D,20241030,000000,0.49,0.492501,0.47,0.4701,7395,0
FUFUW.US,D,20241031,000000,0.4702,0.4975,0.4702,0.4702,11575,0
FUFUW.US,D,20241101,000000,0.48,0.481928,0.4701,0.48,7307,0
FUFUW.US,D,20241104,000000,0.490101,0.490101,0.4701,0.4701,8554,0
FUFUW.US,D,20241105,000000,0.4701,0.4701,0.430001,0.430101,7491,0
FUFUW.US,D,20241106,000000,0.43,0.4699,0.43,0.4699,20565,0
FUFUW.US,D,20241107,000000,0.47,0.47,0.395099,0.4,27651,0
FUFUW.US,D,20241108,000000,0.41,0.47,0.41,0.41,48927,0
FUFUW.US,D,20241111,000000,0.459,0.514999,0.45,0.4651,316333,0
FUFUW.US,D,20241112,000000,0.4545,0.46,0.44,0.4508,15325,0
FUFUW.US,D,20241113,000000,0.47,0.47975,0.42,0.42,12735,0
FUFUW.US,D,20241114,000000,0.44,0.44,0.385,0.3854,20844,0
FUFUW.US,D,20241115,000000,0.39,0.4487,0.39,0.42,5113,0
FUFUW.US,D,20241118,000000,0.42,0.46,0.4125,0.425,22014,0
FUFUW.US,D,20241119,000000,0.3939,0.46,0.3939,0.4,2952,0
FUFUW.US,D,20241120,000000,0.5,0.54,0.4101,0.45,15757,0
FUFUW.US,D,20241121,000000,0.4547,0.4547,0.45,0.45,985,0
FUFUW.US,D,20241122,000000,0.44,0.441125,0.4201,0.4202,2337,0
FUFUW.US,D,20241125,000000,0.43,0.43,0.43,0.43,400,0
FUFUW.US,D,20241126,000000,0.43,0.43,0.43,0.43,1767,0
FUFUW.US,D,20241127,000000,0.440149,0.440149,0.4203,0.4203,3127,0
FUFUW.US,D,20241129,000000,0.4554,0.46,0.4343,0.4343,11903,0
FUFUW.US,D,20241202,000000,0.475,0.475,0.45,0.45,6493,0
FUFUW.US,D,20241203,000000,0.46,0.46,0.4,0.4,119209,0
