<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BTFX.US,D,20240226,000000,25.39,29,25.39,28.5725,76961,0
BTFX.US,D,20240227,000000,30.98,31.62,30.36,30.8858,107972,0
BTFX.US,D,20240228,000000,34.57,38.92,33.57,34.68,295792,0
BTFX.US,D,20240229,000000,38.02,38.44,34.78,36.49,426107,0
BTFX.US,D,20240301,000000,37.15,38.05,35.57,37.73,249225,0
BTFX.US,D,20240304,000000,40.46,43.69,40.46,43.24,301678,0
BTFX.US,D,20240305,000000,43.16,45.52,33.6294,35.66,640122,0
BTFX.US,D,20240306,000000,41.39,42.35,39.6511,41.62,196176,0
BTFX.US,D,20240307,000000,42.26,43.07,41.5,42.59,162744,0
BTFX.US,D,20240308,000000,42.96,45.79,40.82,44.37,338274,0
BTFX.US,D,20240311,000000,48.44,48.99,46.92,48.15,330553,0
BTFX.US,D,20240312,000000,48.3,49.21,43.42,47.05,372483,0
BTFX.US,D,20240313,000000,48.86,49.79,47.68,49.79,148154,0
BTFX.US,D,20240314,000000,48.41,48.615,43.03,43.98,240035,0
BTFX.US,D,20240315,000000,41.98,45.3901,41.57,43.66,223734,0
BTFX.US,D,20240318,000000,42.19,42.85,40.3,40.75,186304,0
BTFX.US,D,20240319,000000,36.76,39.43,35.06,37.49,237071,0
BTFX.US,D,20240320,000000,36.71,39.64,35.01,39.29,269280,0
BTFX.US,D,20240321,000000,41.29,41.29,38.11,38.33,240871,0
BTFX.US,D,20240322,000000,37.03,37.2999,35.46,36.75,160085,0
BTFX.US,D,20240325,000000,40.44,45.175,40.36,45.07,378177,0
BTFX.US,D,20240326,000000,44.68,44.82,42.93,42.93,131021,0
BTFX.US,D,20240327,000000,45.73,45.73,41.62,41.75,80472,0
BTFX.US,D,20240328,000000,43.466,43.79,43.02,43.24,111927,0
BTFX.US,D,20240401,000000,42.45,42.75,41.46,42.5,92149,0
BTFX.US,D,20240402,000000,36.52,38.118,36.12,37.68,151816,0
BTFX.US,D,20240403,000000,37.46,38.87,37.35,37.55,51503,0
BTFX.US,D,20240404,000000,39.2,41.5,39.16,40.67,45676,0
BTFX.US,D,20240405,000000,38.58,40.626,38.58,39.12,40263,0
BTFX.US,D,20240408,000000,45.01,45.03,43.89,44.56,91233,0
BTFX.US,D,20240409,000000,43.26,43.26,39.91,40.7,93611,0
BTFX.US,D,20240410,000000,39.25,42.13,39.12,42.0953,59525,0
BTFX.US,D,20240411,000000,43.01,43.1,41.5838,42.59,26757,0
BTFX.US,D,20240412,000000,42.22,42.36,36.805,38.115,104851,0
BTFX.US,D,20240415,000000,37.64,37.755,33.0242,34,80690,0
BTFX.US,D,20240416,000000,33.92,34,32.371,33.4093,55263,0
BTFX.US,D,20240417,000000,32.9826,33.5,30,31.45,131397,0
BTFX.US,D,20240418,000000,33.06,34.5,32.61,34.07,58357,0
BTFX.US,D,20240419,000000,35.36,35.69,34.13,34.8,48776,0
BTFX.US,D,20240422,000000,36.8,37.55,36.3602,37.27,79338,0
BTFX.US,D,20240423,000000,36.8514,37.845,36.8514,37.13,42374,0
BTFX.US,D,20240424,000000,36.48,36.8863,34.22,34.2426,90064,0
BTFX.US,D,20240425,000000,33.32,35.32,33.07,35.14,80507,0
BTFX.US,D,20240426,000000,34.04,35.175,33.525,34.0973,79941,0
BTFX.US,D,20240429,000000,32.5899,33.33,31.81,33.0775,47781,0
BTFX.US,D,20240430,000000,31.15,31.46,28.87,28.93,119059,0
BTFX.US,D,20240501,000000,27.62,29.3796,26.58,26.925,108435,0
BTFX.US,D,20240502,000000,28.66,29.5,28.3162,29.28,26896,0
BTFX.US,D,20240503,000000,31.09,32.07,31.09,31.9249,52244,0
BTFX.US,D,20240506,000000,33.35,33.9495,32.5,32.957,40392,0
BTFX.US,D,20240507,000000,33.29,34.08,32.58,32.81,43691,0
BTFX.US,D,20240508,000000,31.59,32.4,31.41,31.78,48108,0
BTFX.US,D,20240509,000000,30.98,32.44,30.5,32.1406,27496,0
BTFX.US,D,20240510,000000,32.68,32.75,29.7312,30.3124,31658,0
BTFX.US,D,20240513,000000,32.42,32.92,32.26,32.7025,26667,0
BTFX.US,D,20240514,000000,31.59,31.74,30.58,31.1,36344,0
BTFX.US,D,20240515,000000,33.87,36.08,33.58,35.73,51098,0
BTFX.US,D,20240516,000000,35.75,35.9699,34.03,34.6798,31914,0
BTFX.US,D,20240517,000000,35.96,37.16,35.3804,36.5603,44596,0
BTFX.US,D,20240520,000000,36.57,40.03,36.25,39.96,44738,0
BTFX.US,D,20240521,000000,40.95,41.249,38.86,38.9811,84942,0
BTFX.US,D,20240522,000000,39.49,40.52,38.95,39.3944,52818,0
BTFX.US,D,20240523,000000,38.78,38.88,35.91,36.4095,63816,0
BTFX.US,D,20240524,000000,36.73,38.81,36.59,38.63,119544,0
BTFX.US,D,20240528,000000,37.68,37.79,36.46,37.7095,51737,0
BTFX.US,D,20240529,000000,37,37.05,36.23,36.3317,70373,0
BTFX.US,D,20240530,000000,37.43,38.72,37.23,37.7617,70229,0
BTFX.US,D,20240531,000000,37.84,38,35.46,36.49,42284,0
BTFX.US,D,20240603,000000,39.03,39.44,37.75,38.23,31794,0
BTFX.US,D,20240604,000000,38.39,40.5587,38.39,39.68,111615,0
BTFX.US,D,20240605,000000,40.4,41.2,39.57,40.64,82328,0
BTFX.US,D,20240606,000000,40.48,40.93,39.53,39.6074,70215,0
BTFX.US,D,20240607,000000,40.63,40.92,36.97,38.14,98705,0
BTFX.US,D,20240610,000000,38.12,39.1,38.04,38.32,50166,0
BTFX.US,D,20240611,000000,35.65,36.29,34.53,36.07,136237,0
BTFX.US,D,20240612,000000,37.99,38.8654,35.84,36.09,67487,0
BTFX.US,D,20240613,000000,36.7,36.78,34.68,35.07,51485,0
BTFX.US,D,20240614,000000,35.89,35.89,33.38,33.87,81002,0
BTFX.US,D,20240617,000000,33.99,35.72,33.34,35.11,81706,0
BTFX.US,D,20240618,000000,33.08,33.6232,32.1801,32.5,60397,0
BTFX.US,D,20240620,000000,33.59,33.64,32.661,33.21,60490,0
BTFX.US,D,20240621,000000,31.72,32.42,31.57,32.34,34787,0
BTFX.US,D,20240624,000000,29.36,29.73,27.06,27.34,117588,0
BTFX.US,D,20240625,000000,29.2,30.11,28.95,29.82,108678,0
BTFX.US,D,20240626,000000,29.4,29.82,28.63,28.83,68755,0
BTFX.US,D,20240627,000000,29.34,30.1811,29.13,29.23,35437,0
BTFX.US,D,20240628,000000,29.17,29.3191,28.6,28.65,31264,0
BTFX.US,D,20240701,000000,29.75,30.0101,29.54,29.8,40001,0
BTFX.US,D,20240702,000000,29.3256,29.54,28.3911,28.5,23623,0
BTFX.US,D,20240703,000000,27.06,27.3,26.68,27.09,34673,0
BTFX.US,D,20240705,000000,22.71,24.01,22.64,23.55,184388,0
BTFX.US,D,20240708,000000,24.24,24.345,22.44,23.58,99907,0
BTFX.US,D,20240709,000000,24.2,24.99,24.02,24.74,72087,0
BTFX.US,D,20240710,000000,24.77,24.77,24.27,24.29,38454,0
BTFX.US,D,20240711,000000,25.5,25.6,24.1,24.28,37846,0
BTFX.US,D,20240712,000000,24.47,25.23,24.43,24.51,7651,0
BTFX.US,D,20240715,000000,28.82,29.805,28.63,29.43,84546,0
BTFX.US,D,20240716,000000,29.82,31.05,29.082,31,61932,0
BTFX.US,D,20240717,000000,30.49,31.0389,29.68,30.42,76587,0
BTFX.US,D,20240718,000000,30.67,30.8,29.24,29.4007,29644,0
BTFX.US,D,20240719,000000,29.98,33.07,29.94,32.88,75329,0
BTFX.US,D,20240722,000000,33.19,33.78,32.16,33.78,35376,0
BTFX.US,D,20240723,000000,32.08,32.835,30.91,31.07,56095,0
BTFX.US,D,20240724,000000,32.1,32.51,31.0301,31.12,29579,0
BTFX.US,D,20240725,000000,29.82,30.44,28.941,30.1876,33847,0
BTFX.US,D,20240726,000000,32.7,33.41,32.2145,33.33,31077,0
BTFX.US,D,20240729,000000,34.89,34.89,31.84,32.41,58657,0
BTFX.US,D,20240730,000000,31.68,31.71,30.7,30.96,21971,0
BTFX.US,D,20240731,000000,31.45,31.78,30.08,30.35,68919,0
BTFX.US,D,20240801,000000,29.79,29.97,27.5,28.47,46795,0
BTFX.US,D,20240802,000000,29.96,30.51,27.725,27.8,23931,0
BTFX.US,D,20240805,000000,16.44,21.57,16.3402,19.63,162950,0
BTFX.US,D,20240806,000000,20.87,22.3494,20.45,22.1799,57030,0
BTFX.US,D,20240807,000000,22.48,22.48,20.5,20.53,41247,0
BTFX.US,D,20240808,000000,22.78,24.39,22.09,24.14,58037,0
BTFX.US,D,20240809,000000,24.71,25.2984,24.18,25.11,37928,0
BTFX.US,D,20240812,000000,23.96,24.77,22.89,23.59,31591,0
BTFX.US,D,20240813,000000,23.51,25.6,23.51,25.11,10303,0
BTFX.US,D,20240814,000000,25.06,25.06,23.38,23.47,22610,0
BTFX.US,D,20240815,000000,23.71,24.1915,21.83,21.98,27518,0
BTFX.US,D,20240816,000000,23.17,24.19,22.56,24.0588,30342,0
BTFX.US,D,20240819,000000,23.27,23.61,22.85,23.43,58957,0
BTFX.US,D,20240820,000000,24.69,24.9314,23.11,23.86,23615,0
BTFX.US,D,20240821,000000,23.78,25.49,23.28,25.49,20500,0
BTFX.US,D,20240822,000000,24.85,24.85,24.28,24.35,14957,0
BTFX.US,D,20240823,000000,24.99,27.23,24.827,27.15,60580,0
BTFX.US,D,20240826,000000,27.26,27.26,26.62,26.74,34889,0
BTFX.US,D,20240827,000000,26.03,26.03,25.21,25.5559,28950,0
BTFX.US,D,20240828,000000,23.87,23.87,22.25,23.04,40861,0
BTFX.US,D,20240829,000000,24.08,24.81,23.21,23.29,16273,0
BTFX.US,D,20240830,000000,23.51,23.55,22.2601,22.76,17841,0
BTFX.US,D,20240903,000000,23.06,23.06,21.89,22.28,30769,0
BTFX.US,D,20240904,000000,21.02,22.5276,20.8,22.24,23415,0
BTFX.US,D,20240905,000000,21.19,21.55,20.48,20.72,52117,0
BTFX.US,D,20240906,000000,21.25,21.25,18.6201,18.79,77636,0
BTFX.US,D,20240909,000000,20.14,21.41,19.79,21.35,27830,0
BTFX.US,D,20240910,000000,21.15,21.97,21.02,21.96,7999,0
BTFX.US,D,20240911,000000,20.76,21.88,20.23,21.72,14429,0
BTFX.US,D,20240912,000000,21.71,22.3,21.47,22.3,33084,0
BTFX.US,D,20240913,000000,21.73,23.41,21.73,23.3,27832,0
BTFX.US,D,20240916,000000,22.32,22.32,21.5,21.83,11261,0
BTFX.US,D,20240917,000000,22.815,24.38,22.69,23.38,50211,0
BTFX.US,D,20240918,000000,23.31,24.38,22.83,23.4,21271,0
BTFX.US,D,20240919,000000,25.97,26.35,25.55,25.94,50770,0
BTFX.US,D,20240920,000000,25.59,25.940825,25.3451,25.54,15722,0
BTFX.US,D,20240923,000000,25.94,26.29,25.75,25.87,27656,0
BTFX.US,D,20240924,000000,26.02,26.77,25.5805,26.77,30301,0
BTFX.US,D,20240925,000000,26.185,26.47,25.67,25.76,21463,0
BTFX.US,D,20240926,000000,26.75,27.78,26.5711,27.05,24241,0
BTFX.US,D,20240927,000000,27.85,28.55,27.62,27.78,36315,0
BTFX.US,D,20240930,000000,27.06,27.16,26.75,26.92,227238,0
BTFX.US,D,20241001,000000,26.78,26.78,26.16,26.32,46711,0
BTFX.US,D,20241002,000000,25.56,26.8683,24.95,25.04,23755,0
BTFX.US,D,20241003,000000,25.3,25.79,24.9618,25.71,11765,0
BTFX.US,D,20241004,000000,26.05,26.89,25.83,26.86,12286,0
BTFX.US,D,20241007,000000,27.38,28.5,27.0655,27.68,21626,0
BTFX.US,D,20241008,000000,27.1,27.1,26.4,26.62,39863,0
BTFX.US,D,20241009,000000,26.17,26.76,25.5,25.52,11051,0
BTFX.US,D,20241010,000000,25.54,25.54,23.77,24.4244,21145,0
BTFX.US,D,20241011,000000,25.83,27.46,25.83,27.26,13129,0
BTFX.US,D,20241014,000000,28.735,30.02,28.65,29.75,40377,0
BTFX.US,D,20241015,000000,30.07,31.4068,29.17,30.69,31376,0
BTFX.US,D,20241016,000000,31.39,31.7,30.9518,31.32,22562,0
BTFX.US,D,20241017,000000,30.53,31.088,30.25,30.36,24646,0
BTFX.US,D,20241018,000000,31.27,32.44,31.27,32.08,33397,0
BTFX.US,D,20241021,000000,31.25,31.29,30.3,31.18,26016,0
BTFX.US,D,20241022,000000,30.52,30.93,30.46,30.85,14169,0
BTFX.US,D,20241023,000000,30.045,30.269,28.78,29.8564,22935,0
BTFX.US,D,20241024,000000,30.9,31.59,30.7155,31.509,9468,0
BTFX.US,D,20241025,000000,31.27,31.96,29.6,30.13,41947,0
BTFX.US,D,20241028,000000,32.05,32.98,31.71,32.7,16410,0
BTFX.US,D,20241029,000000,34.21,36.6,34,35.56,62425,0
BTFX.US,D,20241030,000000,34.69,35.369,34.48,34.8,15546,0
BTFX.US,D,20241031,000000,34.96,34.96,32.71,32.86,47521,0
BTFX.US,D,20241101,000000,32.94,34.26,31.8,32.14,43534,0
BTFX.US,D,20241104,000000,31.47,31.47,30.2,30.2754,16866,0
BTFX.US,D,20241105,000000,32.17,33.11,31.66,32.176,47994,0
BTFX.US,D,20241106,000000,36.73,38.732,36.0619,38.6394,85009,0
BTFX.US,D,20241107,000000,37.27,39.18,36.96,38.87,95076,0
BTFX.US,D,20241108,000000,38.37,39.5741,37.94,39.01,55786,0
BTFX.US,D,20241111,000000,44.17,49.67,43.96,49.4088,129806,0
BTFX.US,D,20241112,000000,48.35,52.7,47.3815,52.39,89838,0
BTFX.US,D,20241113,000000,52.7403,56.48,52.0914,52.49,116842,0
BTFX.US,D,20241114,000000,54.04,54.7189,49.565,49.7,123247,0
BTFX.US,D,20241115,000000,51.71,54.3,49.99,54.3,62479,0
BTFX.US,D,20241118,000000,53.1,55.43,52.02,54.2,49044,0
BTFX.US,D,20241119,000000,54.32,57.39,53.96,55.63,96044,0
BTFX.US,D,20241120,000000,57.9,58.44,56.275,57.68,77887,0
BTFX.US,D,20241121,000000,61.01,63.16,59.28,62.13,55761,0
BTFX.US,D,20241122,000000,61.23,64,58.99,63.29,51066,0
BTFX.US,D,20241125,000000,60.74,60.86,57,57.625,79003,0
BTFX.US,D,20241126,000000,54.12,57.2699,52.58,52.79,95654,0
BTFX.US,D,20241127,000000,56.84,60.2399,56.83,59.32,89520,0
BTFX.US,D,20241129,000000,60.51,62.42,60.06,60.06,17768,0
BTFX.US,D,20241202,000000,58.3,60.25,56.1179,57.74,42864,0
BTFX.US,D,20241203,000000,55.82,58.5182,55.56,57.72,15620,0
BTFX.US,D,20241204,000000,58.6284,62.1556,56.61,62.01,24352,0
BTFX.US,D,20241205,000000,66.61,67.79,60.28,61.58,70790,0
BTFX.US,D,20241206,000000,62.13,65.2596,61.21,65.03,38495,0
BTFX.US,D,20241209,000000,61.53,63.33,57.51005,57.73,39431,0
BTFX.US,D,20241210,000000,59.32,60.14,55.6199,58.12,48257,0
BTFX.US,D,20241211,000000,60.74,64.5,60.74,64.01,41668,0
BTFX.US,D,20241212,000000,64.12,65.38,61.31,62.11,24713,0
BTFX.US,D,20241213,000000,62.7046,64.5,62.4577,64.1595,22098,0
BTFX.US,D,20241216,000000,67.55,71.85094,67.55,69.5,34766,0
BTFX.US,D,20241217,000000,71.95,72.5251,69.4707,70.54,22902,0
BTFX.US,D,20241218,000000,67.74,68,61.52,62.09,60405,0
BTFX.US,D,20241219,000000,64.43,64.9196,56.12,56.85,134265,0
BTFX.US,D,20241220,000000,55.22,58.5,55.22,56.83,52668,0
BTFX.US,D,20241223,000000,55.75,55.75,52.1,52.715,40493,0
BTFX.US,D,20241224,000000,57.05,59.77,56.9894,59.6,144843,0
BTFX.US,D,20241226,000000,55.45,56.39,54.77,55.21,18019,0
BTFX.US,D,20241227,000000,55.69,55.69,52.3001,53.73,11170,0
BTFX.US,D,20241230,000000,51.92,53.71,49.98,53.4,43840,0
BTFX.US,D,20241231,000000,55.14,55.42,52.39,52.39,12771,0
BTFX.US,D,20250102,000000,55.99,57.49,55.49,56.97,12688,0
BTFX.US,D,20250103,000000,56.33,58.942,56.33,58.17,12395,0
BTFX.US,D,20250106,000000,59.6915,63.07,59.6915,62.74,17380,0
BTFX.US,D,20250107,000000,60.63,60.7,54.72,55.14,30820,0
BTFX.US,D,20250108,000000,54.31,54.31,50.75,52.24,21966,0
BTFX.US,D,20250110,000000,52.75,54.26,50.47,53.15,18639,0
BTFX.US,D,20250113,000000,48.75,51.9599,47,51.68,29125,0
BTFX.US,D,20250114,000000,55.17,55.55,53.84,54.87,8352,0
BTFX.US,D,20250115,000000,58.19,59.72,57.62,58.49,11960,0
BTFX.US,D,20250116,000000,58.32,59.6416,55.93,59.34,12055,0
BTFX.US,D,20250117,000000,60.48,61,59.86,60.55,87784,0
BTFX.US,D,20250121,000000,60.86,63.3391,58.19,62.04,40008,0
BTFX.US,D,20250122,000000,60.45,60.45,59,59.74,12926,0
BTFX.US,D,20250123,000000,57.52,62.45,57.52,58.54,83605,0
BTFX.US,D,20250124,000000,60.92,62.87,60.15,60.27,28996,0
BTFX.US,D,20250127,000000,55.36,57.04,53.28,56.19,56135,0
BTFX.US,D,20250128,000000,57.42,58.1072,55.9,55.9,27431,0
