<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ACRV.US,D,20221115,000000,13.35,17.09,12.7083,16.64,528026,0
ACRV.US,D,20221116,000000,15.9,20.7031,15.06,16.75,222917,0
ACRV.US,D,20221117,000000,16.53,19.5,14.88,15.72,312210,0
ACRV.US,D,20221118,000000,15.72,18.95,15.59,15.78,215738,0
ACRV.US,D,20221121,000000,15.77,16.8489,12.5,12.51,95590,0
ACRV.US,D,20221122,000000,13.35,14.2399,12.5,12.53,38963,0
ACRV.US,D,20221123,000000,12.5,13.5,10.9006,12.5,59969,0
ACRV.US,D,20221125,000000,12.51,14.9,12.5,12.5,114247,0
ACRV.US,D,20221128,000000,12.25,12.7,12.25,12.5,19544,0
ACRV.US,D,20221129,000000,12.7,13.2899,12.5,12.5,39270,0
ACRV.US,D,20221130,000000,12.3,12.919,11.56,12.85,64041,0
ACRV.US,D,20221201,000000,12.52,12.7642,12.4,12.5,6883,0
ACRV.US,D,20221202,000000,12.4046,12.74,12.4,12.65,17507,0
ACRV.US,D,20221205,000000,12.65,12.8,12.51,12.53,9601,0
ACRV.US,D,20221206,000000,12.1726,12.84,12.1726,12.71,13164,0
ACRV.US,D,20221207,000000,12.99,12.99,12.27,12.62,11057,0
ACRV.US,D,20221208,000000,12.7,12.7,12.32,12.5,3845,0
ACRV.US,D,20221209,000000,12.5,12.6023,12.5,12.5,2017,0
ACRV.US,D,20221212,000000,12.42,12.65,12.4,12.5,35013,0
ACRV.US,D,20221213,000000,12.67,12.73,12.41,12.59,5199,0
ACRV.US,D,20221214,000000,12.75,12.75,12.42,12.51,8925,0
ACRV.US,D,20221215,000000,12.6,12.6,11.32,11.52,11735,0
ACRV.US,D,20221216,000000,11.85,12.5,11.51,11.99,18090,0
ACRV.US,D,20221219,000000,12.5,12.5,11.5,11.5,12683,0
ACRV.US,D,20221220,000000,11.51,12.388,11.5,11.51,7061,0
ACRV.US,D,20221221,000000,11.85,12.4184,11.52,11.92,16917,0
ACRV.US,D,20221222,000000,11.72,11.7492,11.35,11.35,4188,0
ACRV.US,D,20221223,000000,11.45,11.71,11.4,11.65,7155,0
ACRV.US,D,20221227,000000,11.62,11.62,11.5,11.5,870,0
ACRV.US,D,20221228,000000,11.5,11.65,11.35,11.35,6267,0
ACRV.US,D,20221229,000000,11.35,12.02,11.35,12,5681,0
ACRV.US,D,20221230,000000,11.59,11.98,11.52,11.52,9503,0
ACRV.US,D,20230103,000000,11.95,12.18,11.52,11.57,6941,0
ACRV.US,D,20230104,000000,11.79,12.11,11.52,12.03,8936,0
ACRV.US,D,20230105,000000,12.03,12.2,11.61,11.61,806,0
ACRV.US,D,20230106,000000,11.6,11.6,11.6,11.6,549,0
ACRV.US,D,20230109,000000,11.6,12,11.51,11.55,4961,0
ACRV.US,D,20230110,000000,11.76,12.47,11.54,11.58,64816,0
ACRV.US,D,20230111,000000,12.13,12.27,11.8606,12.27,3557,0
ACRV.US,D,20230112,000000,11.92,12.38,11.92,12.02,2009,0
ACRV.US,D,20230113,000000,12.5,12.5,12.0044,12.42,1115,0
ACRV.US,D,20230117,000000,12.3464,12.65,12.3464,12.51,7845,0
ACRV.US,D,20230118,000000,13.02,13.03,12.4,12.79,7509,0
ACRV.US,D,20230119,000000,12.6527,13.895,12.6527,13.86,2083,0
ACRV.US,D,20230120,000000,13.98,15.39,13.51,14.13,12266,0
ACRV.US,D,20230123,000000,14.3,14.88,14.3,14.57,8128,0
ACRV.US,D,20230124,000000,14.87,14.87,13.78,14.27,6811,0
ACRV.US,D,20230125,000000,13.9999,14.7,13.9999,14.7,2110,0
ACRV.US,D,20230126,000000,14.72,14.72,13.1101,14.29,3587,0
ACRV.US,D,20230127,000000,14.54,14.59,14.53,14.53,1440,0
ACRV.US,D,20230130,000000,14.4,15,14.22,14.43,2615,0
ACRV.US,D,20230131,000000,14.94,17.97,14.22,16.2,11247,0
ACRV.US,D,20230201,000000,18.9,18.96,16.19,16.4,21738,0
ACRV.US,D,20230202,000000,16.22,19.08,16.22,17.8,20479,0
ACRV.US,D,20230203,000000,17.8,19.73,16.2201,19.05,20796,0
ACRV.US,D,20230206,000000,20,25.47,19.0886,20.78,61991,0
ACRV.US,D,20230207,000000,20.89,23.66,19.7939,22.13,45883,0
ACRV.US,D,20230208,000000,22.35,23,20.5257,22.55,92118,0
ACRV.US,D,20230209,000000,22.43,22.55,20.965,22.22,28942,0
ACRV.US,D,20230210,000000,22,22.75,21.53,21.96,16529,0
ACRV.US,D,20230213,000000,21.355,23,20.61,22.9,30069,0
ACRV.US,D,20230214,000000,22.9,23.745,21.51,23.2,107732,0
ACRV.US,D,20230215,000000,23.1,23.9999,21.61,22.5,59544,0
ACRV.US,D,20230216,000000,22.11,23.33,22.11,23,56606,0
ACRV.US,D,20230217,000000,22.55,23.99,20.91,21.59,46044,0
ACRV.US,D,20230221,000000,21.19,21.6,18.305,18.32,26354,0
ACRV.US,D,20230222,000000,17.55,17.55,13.595,15.15,54783,0
ACRV.US,D,20230223,000000,15.44,16,14.21,14.81,76546,0
ACRV.US,D,20230224,000000,14.9,15.9,13.465,15.33,53957,0
ACRV.US,D,20230227,000000,16,19.87,16,19,100255,0
ACRV.US,D,20230228,000000,19.4,21,18.8,20.32,35883,0
ACRV.US,D,20230301,000000,20.42,21.375,19.72,20.63,49759,0
ACRV.US,D,20230302,000000,20.11,22,19.42,20.5,49481,0
ACRV.US,D,20230303,000000,20.2,21.5,18.8982,21,44066,0
ACRV.US,D,20230306,000000,21.34,21.46,20.08,20.64,72886,0
ACRV.US,D,20230307,000000,21.07,22.83,20.08,21.95,85092,0
ACRV.US,D,20230308,000000,21.765,22.745,21.02,21.93,89346,0
ACRV.US,D,20230309,000000,21.59,22.55,21.21,21.34,80346,0
ACRV.US,D,20230310,000000,20.94,22.1,19.695,20.04,108347,0
ACRV.US,D,20230313,000000,19.32,21.38,19.32,21.07,95536,0
ACRV.US,D,20230314,000000,21.07,22.33,20.05,21.13,96020,0
ACRV.US,D,20230315,000000,21.12,22.7,18.7,20.3,168651,0
ACRV.US,D,20230316,000000,19.5,20.44,19.5,20.38,108286,0
ACRV.US,D,20230317,000000,20.55,23.1568,19.59,20,1664938,0
ACRV.US,D,20230320,000000,19.77,20.07,11.25,11.61,203519,0
ACRV.US,D,20230321,000000,11.76,12.14,11.51,12.06,280335,0
ACRV.US,D,20230322,000000,11.63,12.59,11.63,12.13,53249,0
ACRV.US,D,20230323,000000,12.04,13.2,12,13.09,54749,0
ACRV.US,D,20230324,000000,12.75,13.3912,12.53,13.02,49039,0
