<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GGLL.US,D,20220909,000000,26.365,26.46,26.35,26.35,1065,0
GGLL.US,D,20220912,000000,26.5,26.56,26.21,26.3287,10071,0
GGLL.US,D,20220913,000000,25.4,25.4,24.1062,24.12,4373,0
GGLL.US,D,20220914,000000,24.1199,24.37,23.961,24.2796,5977,0
GGLL.US,D,20220915,000000,23.52,23.7888,23.45,23.59,3625,0
GGLL.US,D,20220916,000000,23.22,23.61,23.22,23.5596,2918,0
GGLL.US,D,20220919,000000,23.23,23.6059,23.16,23.6059,2047,0
GGLL.US,D,20220920,000000,23.29,23.29,22.8599,22.8819,3462,0
GGLL.US,D,20220921,000000,22.9999,23.35,22.28,22.28,11959,0
GGLL.US,D,20220922,000000,22.2,22.714,22.2,22.6297,7585,0
GGLL.US,D,20220923,000000,22.2,22.2,21.681,22.13,10072,0
GGLL.US,D,20220926,000000,21.86,22.4,21.86,21.9334,5149,0
GGLL.US,D,20220927,000000,22.39,22.459,21.518,21.6713,6904,0
GGLL.US,D,20220928,000000,21.739,22.669,21.739,22.5378,20939,0
GGLL.US,D,20220929,000000,21.9,21.9,21.251,21.6625,4438,0
GGLL.US,D,20220930,000000,21.46,22.099,21.03,21.03,5976,0
GGLL.US,D,20221003,000000,21.47,22.09,21.43,21.979,3957,0
GGLL.US,D,20221004,000000,22.71,23.005,22.66,22.9497,13034,0
GGLL.US,D,20221005,000000,22.43,23.0557,22.09,22.8769,8488,0
GGLL.US,D,20221006,000000,22.71,23.3,22.71,22.93,6075,0
GGLL.US,D,20221007,000000,22.34,22.5201,21.87,21.98,12354,0
GGLL.US,D,20221010,000000,22.04,22.04,21.5599,21.69,5391,0
GGLL.US,D,20221011,000000,21.5699,21.95,21.25,21.45,7097,0
GGLL.US,D,20221012,000000,21.5199,21.9001,21.5199,21.6,2094,0
GGLL.US,D,20221013,000000,20.6,22.2244,20.6,22.1146,18633,0
GGLL.US,D,20221014,000000,22.45,22.45,21.28,21.28,15622,0
