<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DISTR.US,D,20230331,000000,0.13,0.13,0.13,0.13,965,0
DISTR.US,D,20230403,000000,0.15,0.15,0.11,0.11,132600,0
DISTR.US,D,20230404,000000,0.14,0.14,0.11,0.12,359037,0
DISTR.US,D,20230405,000000,0.1101,0.1101,0.1,0.11,345137,0
DISTR.US,D,20230406,000000,0.11,0.11,0.11,0.11,1922,0
DISTR.US,D,20230410,000000,0.143,0.143,0.143,0.143,137,0
DISTR.US,D,20230413,000000,0.1,0.125,0.1,0.11,146554,0
DISTR.US,D,20230414,000000,0.11,0.12,0.11,0.12,80439,0
DISTR.US,D,20230418,000000,0.13,0.13,0.120001,0.13,35552,0
DISTR.US,D,20230424,000000,0.13,0.13,0.13,0.13,25100,0
DISTR.US,D,20230425,000000,0.143,0.143,0.143,0.143,139,0
DISTR.US,D,20230428,000000,0.1201,0.1201,0.1201,0.1201,139,0
DISTR.US,D,20230502,000000,0.111,0.1301,0.111,0.1301,4224,0
DISTR.US,D,20230503,000000,0.13,0.13,0.13,0.13,144,0
DISTR.US,D,20230505,000000,0.1937,0.1937,0.1937,0.1937,189,0
DISTR.US,D,20230508,000000,0.15,0.24,0.12,0.135,198680,0
DISTR.US,D,20230509,000000,0.121,0.24,0.1111,0.2274,36602,0
DISTR.US,D,20230510,000000,0.3802,0.3802,0.1359,0.2,22707,0
DISTR.US,D,20230511,000000,0.2388,0.4902,0.14,0.19,56252,0
DISTR.US,D,20230512,000000,0.19,0.235,0.138,0.138,37990,0
DISTR.US,D,20230515,000000,0.2399,0.25,0.13,0.1552,92891,0
DISTR.US,D,20230516,000000,0.2111,0.2211,0.111,0.13,241799,0
DISTR.US,D,20230517,000000,0.1855,0.23,0.151,0.1666,69736,0
DISTR.US,D,20230518,000000,0.12,0.1482,0.113,0.1299,58172,0
DISTR.US,D,20230519,000000,0.1494,0.2,0.1269,0.15,98349,0
DISTR.US,D,20230522,000000,0.21,0.21,0.136,0.14,23620,0
DISTR.US,D,20230523,000000,0.1412,0.151501,0.113101,0.12,30666,0
DISTR.US,D,20230524,000000,0.13,0.1331,0.1178,0.1331,12523,0
DISTR.US,D,20230525,000000,0.2171,0.2171,0.115,0.115,6701,0
DISTR.US,D,20230526,000000,0.12,0.12,0.115,0.115,532,0
DISTR.US,D,20230530,000000,0.115,0.14,0.113001,0.14,1145,0
DISTR.US,D,20230531,000000,0.1477,0.1477,0.1111,0.1111,2541,0
DISTR.US,D,20230601,000000,0.111,0.1264,0.111,0.1264,1675,0
DISTR.US,D,20230602,000000,0.1221,0.1221,0.1221,0.1221,100,0
DISTR.US,D,20230606,000000,0.1223,0.1223,0.1223,0.1223,200,0
DISTR.US,D,20230607,000000,0.134,0.4811,0.134,0.16,47057,0
DISTR.US,D,20230609,000000,0.163,0.163,0.163,0.163,400,0
DISTR.US,D,20230614,000000,0.1223,0.1224,0.1223,0.1224,5204,0
DISTR.US,D,20230621,000000,0.15,0.15,0.15,0.15,200,0
DISTR.US,D,20230622,000000,0.1224,0.1224,0.1223,0.1223,1000,0
DISTR.US,D,20230623,000000,0.14,0.14,0.14,0.14,144,0
DISTR.US,D,20230626,000000,0.1587,0.24,0.1228,0.1823,6854,0
DISTR.US,D,20230627,000000,0.2072,0.4234,0.1257,0.2928,48994,0
DISTR.US,D,20230628,000000,0.2075,0.2874,0.1649,0.1723,15609,0
DISTR.US,D,20230629,000000,0.18,0.2206,0.1723,0.1923,1048,0
DISTR.US,D,20230630,000000,0.2832,0.2832,0.1894,0.2065,1624,0
DISTR.US,D,20230705,000000,0.1823,0.1823,0.1823,0.1823,245,0
DISTR.US,D,20230707,000000,0.209,0.3271,0.1726,0.195,26992,0
DISTR.US,D,20230710,000000,0.225,0.225,0.225,0.225,231,0
DISTR.US,D,20230711,000000,0.225,0.3348,0.225,0.2395,19262,0
DISTR.US,D,20230712,000000,0.2423,0.25,0.2423,0.25,401,0
DISTR.US,D,20230714,000000,0.21,0.21,0.21,0.21,512,0
DISTR.US,D,20230717,000000,0.1882,0.24,0.1801,0.222,2651,0
DISTR.US,D,20230720,000000,0.19,0.19,0.19,0.19,281,0
DISTR.US,D,20230721,000000,0.265,0.265,0.24,0.24,402,0
DISTR.US,D,20230724,000000,0.2348,0.2348,0.131,0.23,4814,0
DISTR.US,D,20230727,000000,0.211,0.31,0.2,0.2061,4281,0
DISTR.US,D,20230728,000000,0.2295,0.3089,0.2,0.2,3418,0
DISTR.US,D,20230802,000000,0.2491,0.2491,0.2491,0.2491,277,0
DISTR.US,D,20230808,000000,0.2386,0.2386,0.2386,0.2386,277,0
DISTR.US,D,20230811,000000,0.2,0.201,0.1323,0.1712,900,0
DISTR.US,D,20230815,000000,0.16,0.16,0.16,0.16,276,0
DISTR.US,D,20230817,000000,0.18,0.18,0.18,0.18,278,0
DISTR.US,D,20230821,000000,0.17,0.17,0.17,0.17,264,0
DISTR.US,D,20230823,000000,0.1895,0.190605,0.1895,0.1895,553,0
DISTR.US,D,20230830,000000,0.15,0.15,0.15,0.15,275,0
DISTR.US,D,20230831,000000,0.14,0.28,0.13,0.13,1256,0
DISTR.US,D,20230901,000000,0.16,0.16,0.16,0.16,277,0
DISTR.US,D,20230911,000000,0.17,0.18,0.17,0.18,1227,0
DISTR.US,D,20230912,000000,0.19,0.19,0.19,0.19,200,0
DISTR.US,D,20230913,000000,0.19,0.19,0.19,0.19,394,0
DISTR.US,D,20230915,000000,0.19,0.2,0.19,0.2,294,0
DISTR.US,D,20230920,000000,0.2,0.2,0.2,0.2,295,0
DISTR.US,D,20230927,000000,0.15,0.15,0.15,0.15,294,0
DISTR.US,D,20230929,000000,0.17,0.19,0.17,0.19,294,0
DISTR.US,D,20231006,000000,0.14,0.14,0.14,0.14,150,0
DISTR.US,D,20231010,000000,0.14,0.14,0.14,0.14,301,0
DISTR.US,D,20231011,000000,0.14,0.1401,0.14,0.1401,1956,0
DISTR.US,D,20231012,000000,0.18,0.1871,0.18,0.1871,301,0
DISTR.US,D,20231013,000000,0.14,0.2,0.14,0.2,884,0
