<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AMDD.US,D,20250212,000000,25.1,25.12,24.8727,24.8727,201,0
AMDD.US,D,20250213,000000,24.42,24.844,24.42,24.844,117,0
AMDD.US,D,20250214,000000,24.66,24.67,24.5712,24.5712,5600,0
AMDD.US,D,20250218,000000,24.36,24.36,24.351,24.351,102,0
AMDD.US,D,20250221,000000,25.059,25.0672,25.059,25.0672,401,0
AMDD.US,D,20250225,000000,26.29,26.6956,26.29,26.6956,611,0
AMDD.US,D,20250226,000000,26.38,26.5536,26.38,26.5536,440,0
AMDD.US,D,20250227,000000,27.03,27.79,27,27.79,1232,0
AMDD.US,D,20250228,000000,27.86,27.86,27.4,27.7485,1610,0
AMDD.US,D,20250304,000000,28.42,28.5041,27.4949,27.4949,1493,0
AMDD.US,D,20250307,000000,27.57,27.6149,27.57,27.6149,379,0
AMDD.US,D,20250310,000000,27.629,28.6531,27.629,28.6531,5242,0
AMDD.US,D,20250311,000000,28.46,29.0014,28.46,28.5566,1950,0
AMDD.US,D,20250312,000000,27.75,28,27.402,27.402,2551,0
AMDD.US,D,20250313,000000,28.3152,28.3152,28.1596,28.1596,292,0
AMDD.US,D,20250314,000000,27.6928,27.6928,27.3381,27.3381,6016,0
AMDD.US,D,20250317,000000,26.14,26.3324,26.14,26.3324,353,0
AMDD.US,D,20250318,000000,26.59,26.635,26.59,26.635,405,0
AMDD.US,D,20250319,000000,26.9,26.9,25.9392,25.9392,368,0
AMDD.US,D,20250320,000000,25.8,25.8,25.7174,25.7174,2054,0
AMDD.US,D,20250321,000000,26.23,26.23,25.9135,25.9135,225,0
AMDD.US,D,20250324,000000,25.08,25.1,23.9024,24.0875,3718,0
AMDD.US,D,20250325,000000,24,24.23,23.8238,23.8238,857,0
AMDD.US,D,20250326,000000,24.225,25,24.225,24.7939,8325,0
AMDD.US,D,20250327,000000,25.77,25.8257,25.401,25.5907,10727,0
AMDD.US,D,20250328,000000,26.4,26.53,26.4,26.4125,2434,0
AMDD.US,D,20250331,000000,27.37,27.4,26.5637,26.5637,9413,0
AMDD.US,D,20250401,000000,26.69,26.99,26.52,26.52,9489,0
AMDD.US,D,20250402,000000,26.53,26.61,26.4634,26.4634,2083,0
AMDD.US,D,20250403,000000,28.16,28.845,28.16,28.845,5025,0
AMDD.US,D,20250404,000000,31.17,31.9,30.711,31.3825,4948,0
AMDD.US,D,20250407,000000,33.36,34.2,30.1304,32.2853,19276,0
AMDD.US,D,20250408,000000,31.17,34.74,31.08,34.2907,12602,0
AMDD.US,D,20250409,000000,32.7,32.7,26.1242,26.1242,5842,0
AMDD.US,D,20250410,000000,28.1743,29.05,28.1743,28.334,3815,0
AMDD.US,D,20250411,000000,27.25,27.32,26.601,26.8,2672,0
