<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CETY.US,D,20230323,000000,4.3,4.3,3.14,4,212100,0
CETY.US,D,20230324,000000,4,4.24,3.75,4.12,284796,0
CETY.US,D,20230327,000000,4,4.06,3.77,3.84,22575,0
CETY.US,D,20230328,000000,3.9044,3.925,3.51,3.88,133055,0
CETY.US,D,20230329,000000,3.9815,4.1433,3.53,3.7,66638,0
CETY.US,D,20230330,000000,3.51,3.8362,3.3,3.32,72834,0
CETY.US,D,20230331,000000,3.3,3.6599,3.27,3.46,107750,0
CETY.US,D,20230403,000000,3.5,3.515,3.28,3.35,55626,0
CETY.US,D,20230404,000000,3.35,3.47,3.2,3.29,36904,0
CETY.US,D,20230405,000000,3.3,3.43,2.19,2.33,141353,0
CETY.US,D,20230406,000000,2.38,4.3,2.3,3.08,3986246,0
CETY.US,D,20230410,000000,2.91,2.94,2.52,2.66,246417,0
CETY.US,D,20230411,000000,2.79,2.99,2.7401,2.96,190044,0
CETY.US,D,20230412,000000,2.81,2.89,2.58,2.74,174088,0
CETY.US,D,20230413,000000,2.69,2.83,2.6311,2.7625,151841,0
CETY.US,D,20230414,000000,2.75,2.75,2.55,2.62,42179,0
CETY.US,D,20230417,000000,2.55,2.9199,2.53,2.81,61611,0
CETY.US,D,20230418,000000,2.81,2.81,2.6,2.66,37283,0
CETY.US,D,20230419,000000,2.7,2.7,2.38,2.45,49955,0
CETY.US,D,20230420,000000,2.4,2.4718,2.23,2.29,33897,0
CETY.US,D,20230421,000000,2.28,2.285,2,2,26162,0
CETY.US,D,20230424,000000,2.03,2.2326,1.89,2.16,123056,0
CETY.US,D,20230425,000000,2.14,2.15,2,2,16924,0
CETY.US,D,20230426,000000,1.95,2.06,1.95,2.06,12078,0
CETY.US,D,20230427,000000,2.05,2.29,1.9201,2,70229,0
CETY.US,D,20230428,000000,2,2.1499,1.98,2.1,49897,0
