<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FINW.US,D,20211119,000000,12.5,13.89,11.9,12.73,1561866,0
FINW.US,D,20211122,000000,12.73,14.6,12.73,13.5,264184,0
FINW.US,D,20211123,000000,13.4,13.5,12.79,12.95,182928,0
FINW.US,D,20211124,000000,12.95,13.35,12.86,13.25,95406,0
FINW.US,D,20211126,000000,13.13,13.25,12.7399,12.78,22318,0
FINW.US,D,20211129,000000,13.13,13.25,12.6,12.6,34095,0
FINW.US,D,20211130,000000,12.52,13.195,12.52,12.9,21968,0
FINW.US,D,20211201,000000,13.0114,13.25,12.9001,13,44951,0
FINW.US,D,20211202,000000,13.2,13.25,12.9,12.9,66104,0
FINW.US,D,20211203,000000,13.3,13.3,13,13.09,18584,0
FINW.US,D,20211206,000000,13.2,13.3,12.9,13.06,68598,0
FINW.US,D,20211207,000000,13.08,14,13.04,13.15,29326,0
FINW.US,D,20211208,000000,13.06,13.4999,13.06,13.25,27452,0
FINW.US,D,20211209,000000,13.25,13.33,13.1,13.31,9982,0
FINW.US,D,20211210,000000,13.16,13.3,13.12,13.16,7407,0
FINW.US,D,20211213,000000,13.25,13.9283,13.15,13.23,39362,0
FINW.US,D,20211214,000000,13.25,13.6534,12.56,13,22858,0
FINW.US,D,20211215,000000,13.4506,13.52,13,13.52,64312,0
FINW.US,D,20211216,000000,13.3,13.72,13.2607,13.5,39869,0
FINW.US,D,20211217,000000,13.5,13.68,13.1968,13.4,112821,0
FINW.US,D,20211220,000000,13.4,13.68,12.5,13.24,655779,0
FINW.US,D,20211221,000000,13.35,13.6,13.3,13.43,33615,0
FINW.US,D,20211222,000000,13.55,13.55,13.2,13.4301,15083,0
FINW.US,D,20211223,000000,13.5,13.5,13.27,13.42,51944,0
FINW.US,D,20211227,000000,13.46,13.5,13.222,13.49,33491,0
FINW.US,D,20211228,000000,13.35,13.75,13.25,13.4999,24825,0
FINW.US,D,20211229,000000,13.7372,13.8,13.36,13.5,27696,0
FINW.US,D,20211230,000000,13.53,13.78,13.3,13.48,18546,0
FINW.US,D,20211231,000000,13.36,13.8,13.1293,13.79,29276,0
FINW.US,D,20220103,000000,13.71,14,13.6449,13.835,23888,0
FINW.US,D,20220104,000000,13.9999,15.54,13.68,15.39,59725,0
FINW.US,D,20220105,000000,15.4,16.15,15.2,15.55,125005,0
FINW.US,D,20220106,000000,15.55,15.9,15.425,15.65,19081,0
FINW.US,D,20220107,000000,15.64,15.64,15,15.305,26241,0
FINW.US,D,20220110,000000,15.2,15.71,14.7,15.46,14776,0
FINW.US,D,20220111,000000,14.99,15.7,14.4,15.64,25012,0
FINW.US,D,20220112,000000,15.57,16,15.42,15.79,17832,0
FINW.US,D,20220113,000000,16.18,17.75,16,16.96,78323,0
FINW.US,D,20220114,000000,16.34,17.5,16.34,17.05,31296,0
FINW.US,D,20220118,000000,17,18.18,17,17.15,37413,0
FINW.US,D,20220119,000000,17.25,17.4,16.35,16.85,39778,0
FINW.US,D,20220120,000000,17.02,17.6699,17,17.01,33898,0
FINW.US,D,20220121,000000,17,17.33,16.7,17,24754,0
FINW.US,D,20220124,000000,16.88,17.33,16.0998,17.33,43379,0
FINW.US,D,20220125,000000,17.25,17.33,16.83,16.9,19589,0
FINW.US,D,20220126,000000,17.73,17.7531,17.01,17.01,31504,0
FINW.US,D,20220127,000000,17.18,17.1931,16.57,16.645,19591,0
FINW.US,D,20220128,000000,16.79,17.77,16.49,17.43,33073,0
FINW.US,D,20220131,000000,17.31,17.9,16.9793,17.58,57739,0
FINW.US,D,20220201,000000,17.5001,19.855,17.5,19.4,92164,0
FINW.US,D,20220202,000000,19.9,19.9157,18.1606,19,48985,0
FINW.US,D,20220203,000000,18.24,19.62,17.795,18.95,30497,0
FINW.US,D,20220204,000000,18.89,19,18.01,18.62,42422,0
FINW.US,D,20220207,000000,19.48,19.63,18.54,18.98,42971,0
FINW.US,D,20220208,000000,18.98,19.25,18.73,18.88,46591,0
FINW.US,D,20220209,000000,19.1734,19.43,18.52,18.99,99487,0
FINW.US,D,20220210,000000,19.42,19.63,18.8,19.53,102389,0
FINW.US,D,20220211,000000,19.49,20.6,19.4,19.59,92528,0
FINW.US,D,20220214,000000,19.59,19.9,19.16,19.75,32279,0
FINW.US,D,20220215,000000,19.84,20.3999,19.67,20.04,39527,0
FINW.US,D,20220216,000000,20.21,20.33,19.84,20.24,42415,0
FINW.US,D,20220217,000000,20.06,20.43,19.7801,20.3,31066,0
FINW.US,D,20220218,000000,20.33,20.33,19.71,19.85,36494,0
FINW.US,D,20220222,000000,19.8,19.8,18.455,19.24,51526,0
FINW.US,D,20220223,000000,19.22,19.7,18.035,18.66,84460,0
FINW.US,D,20220224,000000,17.77,19.14,17.5,18.83,90057,0
FINW.US,D,20220225,000000,19.06,21.43,18.405,21.15,99417,0
FINW.US,D,20220228,000000,20.83,21.35,20.115,21.12,46525,0
FINW.US,D,20220301,000000,20.86,21.34,20.0501,20.37,48510,0
FINW.US,D,20220302,000000,21.01,21.86,20.62,21.2,74823,0
FINW.US,D,20220303,000000,21.41,21.46,19.82,20.2,39009,0
FINW.US,D,20220304,000000,20.05,20.649,19.77,20.15,48327,0
FINW.US,D,20220307,000000,20.14,20.29,18.892,19.12,97952,0
FINW.US,D,20220308,000000,20.18,20.48,19.03,19.03,39306,0
FINW.US,D,20220309,000000,19.4,19.76,19.2,19.31,35793,0
FINW.US,D,20220310,000000,19.33,19.48,18.65,19.16,44227,0
