<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BTOC.US,D,20240514,000000,5,6.26,4.1392,4.62,1323800,0
BTOC.US,D,20240515,000000,4.69,4.88,4.26,4.6224,191352,0
BTOC.US,D,20240516,000000,4.9,5.01,4.6101,5,190952,0
BTOC.US,D,20240517,000000,5.01,5.2,4.85,4.935,101161,0
BTOC.US,D,20240520,000000,5.04,5.04,4.68,4.82,50304,0
BTOC.US,D,20240521,000000,4.99,5.1,4.7677,4.94,49972,0
BTOC.US,D,20240522,000000,4.93,4.95,4.66,4.83,47610,0
BTOC.US,D,20240523,000000,4.8,5.34,4.745,4.94,93734,0
BTOC.US,D,20240524,000000,4.94,5.15,4.8,4.8,131034,0
BTOC.US,D,20240528,000000,4.99,4.99,4.81,4.97,67708,0
BTOC.US,D,20240529,000000,5.078,5.0898,4.8619,4.9,19161,0
BTOC.US,D,20240530,000000,4.9517,5.08,4.85,4.9999,49765,0
BTOC.US,D,20240531,000000,5.0485,5.15,4.88,5.06,53981,0
BTOC.US,D,20240603,000000,4.985,5.04,4.94,5.01,19542,0
BTOC.US,D,20240604,000000,4.88,4.931,4.86,4.93,14818,0
BTOC.US,D,20240605,000000,5,5.4,4.96,5.03,332168,0
BTOC.US,D,20240606,000000,5.12,5.15,4.89,4.8998,59847,0
BTOC.US,D,20240607,000000,4.9,5.06,4.28,4.6,100435,0
BTOC.US,D,20240610,000000,4.77,4.8835,4.57,4.72,20188,0
BTOC.US,D,20240611,000000,5.11,5.11,4.76,4.88,85957,0
BTOC.US,D,20240612,000000,4.85,4.85,4.64,4.84,44867,0
BTOC.US,D,20240613,000000,4.71,4.82,4.4,4.7,133036,0
BTOC.US,D,20240614,000000,4.5732,4.75,4.52,4.67,16014,0
BTOC.US,D,20240617,000000,4.84,4.84,4.6001,4.8,5684,0
BTOC.US,D,20240618,000000,4.82,4.88,4.7,4.84,3204,0
BTOC.US,D,20240620,000000,4.87,5.27,4.6101,5.14,143808,0
BTOC.US,D,20240621,000000,5.32,5.32,4.8,5.04,51855,0
BTOC.US,D,20240624,000000,4.92,5.02,4.54,4.54,43421,0
BTOC.US,D,20240625,000000,4.53,4.9388,4.53,4.65,11914,0
BTOC.US,D,20240626,000000,4.63,4.92,4.63,4.89,5148,0
BTOC.US,D,20240627,000000,4.88,5.03,4.8,4.9,4900,0
BTOC.US,D,20240628,000000,4.6184,5,4.61,4.72,6753,0
BTOC.US,D,20240701,000000,4.64,4.94,4.64,4.94,2453,0
BTOC.US,D,20240702,000000,4.61,5,4.61,4.73,15082,0
BTOC.US,D,20240703,000000,4.8,4.84,4.6,4.67,13690,0
BTOC.US,D,20240705,000000,4.74,4.875,4.71,4.75,2455,0
BTOC.US,D,20240708,000000,4.72,4.95,4.68,4.95,4116,0
BTOC.US,D,20240709,000000,4.7,4.835,4.7,4.7401,2877,0
BTOC.US,D,20240710,000000,4.71,5.19,4.71,4.8,80923,0
BTOC.US,D,20240711,000000,4.99,5.05,4.7808,4.89,13022,0
BTOC.US,D,20240712,000000,4.74,4.9699,4.74,4.79,18394,0
BTOC.US,D,20240715,000000,5.02,5.02,4.7761,4.83,4383,0
BTOC.US,D,20240716,000000,4.86,4.86,4.8518,4.8518,946,0
BTOC.US,D,20240717,000000,4.99,4.99,4.8,4.8,17050,0
BTOC.US,D,20240718,000000,4.88,4.97,4.81,4.82,6728,0
BTOC.US,D,20240719,000000,4.85,4.91,4.8,4.895,8623,0
BTOC.US,D,20240722,000000,4.85,4.89,4.8,4.89,773,0
BTOC.US,D,20240723,000000,4.89,4.9599,4.8,4.949,31857,0
BTOC.US,D,20240724,000000,4.96,4.96,4.81,4.81,720,0
BTOC.US,D,20240725,000000,4.95,4.95,4.82,4.82,6037,0
BTOC.US,D,20240726,000000,4.8,5.04,4.8,4.81,10954,0
BTOC.US,D,20240729,000000,4.76,5.04,4.76,5,4043,0
BTOC.US,D,20240730,000000,4.82,4.82,4.82,4.82,1048,0
BTOC.US,D,20240731,000000,4.77,5.04,4.67,5,87539,0
BTOC.US,D,20240801,000000,4.984,4.9999,4.82,4.9999,3837,0
BTOC.US,D,20240802,000000,4.7,4.91,4.7,4.77,6810,0
BTOC.US,D,20240805,000000,4.7,4.97,4.61,4.62,45736,0
BTOC.US,D,20240806,000000,4.55,4.74,4.42,4.74,14923,0
BTOC.US,D,20240807,000000,4.752,4.835,4.66,4.66,4799,0
BTOC.US,D,20240809,000000,4.67,4.9,4.66,4.9,64657,0
BTOC.US,D,20240812,000000,4.68,4.8,4.57,4.79,41651,0
BTOC.US,D,20240813,000000,4.66,4.94,4.51,4.51,30840,0
BTOC.US,D,20240814,000000,4.51,4.8,4.51,4.8,18667,0
BTOC.US,D,20240815,000000,4.94,4.94,4.5139,4.8999,28804,0
BTOC.US,D,20240816,000000,4.55,4.67,4.48,4.49,16522,0
BTOC.US,D,20240819,000000,4.59,4.82,4.37,4.695,15098,0
BTOC.US,D,20240820,000000,4.71,4.71,4.53,4.53,8048,0
BTOC.US,D,20240821,000000,4.56,4.7599,4.42,4.42,5167,0
BTOC.US,D,20240822,000000,4.54,4.7599,4.35,4.415,64073,0
BTOC.US,D,20240823,000000,4.64,4.64,4.43,4.43,13422,0
BTOC.US,D,20240826,000000,4.58,4.58,4.43,4.4721,7855,0
BTOC.US,D,20240827,000000,4.47,4.72,4.4001,4.6,12967,0
