<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DSY.US,D,20240610,000000,3.94,5.1399,3.4,3.61,53313132,0
DSY.US,D,20240611,000000,2.73,2.9,2.12,2.78,1483244,0
DSY.US,D,20240612,000000,3.14,3.7,2.83,3.11,2783526,0
DSY.US,D,20240613,000000,2.95,3.1,2.5,2.6945,331535,0
DSY.US,D,20240614,000000,2.5,2.99,2.42,2.565,231192,0
DSY.US,D,20240617,000000,2.42,2.61,1.85,1.91,397680,0
DSY.US,D,20240618,000000,1.88,2.2195,1.83,1.88,304238,0
DSY.US,D,20240620,000000,1.88,2.0153,1.66,1.82,132537,0
DSY.US,D,20240621,000000,1.6926,1.9145,1.6926,1.8,39238,0
DSY.US,D,20240624,000000,1.8,1.86,1.7,1.7425,48452,0
DSY.US,D,20240625,000000,1.7698,1.7698,1.53,1.5505,86663,0
DSY.US,D,20240626,000000,1.64,1.9,1.56,1.71,143771,0
DSY.US,D,20240627,000000,1.7778,1.78,1.64,1.73,48281,0
DSY.US,D,20240628,000000,1.68,1.75,1.61,1.6899,35649,0
DSY.US,D,20240701,000000,1.7,1.7,1.56,1.6124,45753,0
DSY.US,D,20240702,000000,1.637,1.637,1.53,1.57,53982,0
DSY.US,D,20240703,000000,1.63,1.83,1.57,1.81,237338,0
DSY.US,D,20240705,000000,1.83,1.8799,1.7,1.815,99679,0
DSY.US,D,20240708,000000,1.78,1.7899,1.68,1.7399,64215,0
DSY.US,D,20240709,000000,1.68,1.68,1.55,1.55,59997,0
DSY.US,D,20240710,000000,1.53,1.6222,1.5,1.52,33307,0
DSY.US,D,20240711,000000,1.55,1.6,1.518,1.56,24198,0
DSY.US,D,20240712,000000,1.6,1.7,1.32,1.43,521458,0
DSY.US,D,20240715,000000,1.47,1.49,1.4,1.4,68258,0
DSY.US,D,20240716,000000,1.41,1.45,1.34,1.4,29488,0
DSY.US,D,20240717,000000,1.41,1.4499,1.35,1.4,293340,0
DSY.US,D,20240718,000000,1.52,1.61,1.12,1.23,3540967,0
DSY.US,D,20240719,000000,1.15,1.2599,1.102,1.2,144818,0
DSY.US,D,20240722,000000,1.22,1.35,1.15,1.23,322442,0
DSY.US,D,20240723,000000,1.24,1.3716,1.2,1.26,198359,0
DSY.US,D,20240724,000000,1.22,1.25,1.15,1.18,49420,0
DSY.US,D,20240725,000000,1.17,1.27,1.12,1.19,212834,0
DSY.US,D,20240726,000000,1.2,1.32,1.12,1.2,195050,0
DSY.US,D,20240729,000000,1.22,1.23,1.09,1.11,117045,0
DSY.US,D,20240730,000000,1.11,1.11,1.01,1.03,190031,0
DSY.US,D,20240731,000000,1,1.13,1,1.05,232376,0
DSY.US,D,20240801,000000,1.04,1.0472,0.964,1.03,14303,0
DSY.US,D,20240802,000000,0.93,1.02,0.93,0.97,13967,0
