<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HTLM.US,D,20241001,000000,4.51,4.7,3.88,4.02,295900,0
HTLM.US,D,20241002,000000,4.1,4.1,4.02,4.02,26900,0
HTLM.US,D,20241003,000000,3.89,4.05,3.89,4.05,21083,0
HTLM.US,D,20241004,000000,4.03,4.1,4.02,4.03,14496,0
HTLM.US,D,20241007,000000,4.05,4.05,3.9701,4,23618,0
HTLM.US,D,20241008,000000,3.97,4.6999,3.9271,4.25,206457,0
HTLM.US,D,20241009,000000,4.5,4.5,4.1,4.29,52330,0
HTLM.US,D,20241010,000000,4.3,4.3,4.02,4.28,16127,0
HTLM.US,D,20241011,000000,4.1047,4.23,4.1,4.16,1410,0
HTLM.US,D,20241014,000000,4.1,4.21,4,4.09,6457,0
HTLM.US,D,20241015,000000,4.1,4.3,4,4.15,44492,0
HTLM.US,D,20241016,000000,4.2068,4.24,4.03,4.06,3400,0
HTLM.US,D,20241017,000000,4.06,4.37,4.03,4.21,61936,0
HTLM.US,D,20241018,000000,4.3165,4.34,4.11,4.1569,6957,0
HTLM.US,D,20241021,000000,4.3,4.66,4.29,4.48,45598,0
HTLM.US,D,20241022,000000,4.48,4.48,4.45,4.45,5523,0
HTLM.US,D,20241023,000000,4.4,4.48,4.168,4.44,82346,0
HTLM.US,D,20241024,000000,4.3645,4.43,4.24,4.25,81612,0
HTLM.US,D,20241025,000000,4.25,4.44,4.21,4.25,47302,0
HTLM.US,D,20241028,000000,4.2996,4.32,4,4.01,78835,0
HTLM.US,D,20241029,000000,4.02,4.28,4.02,4.11,96605,0
HTLM.US,D,20241030,000000,4.12,4.18,4.1,4.15,7994,0
HTLM.US,D,20241031,000000,4.2,4.305,4.18,4.21,35211,0
HTLM.US,D,20241101,000000,4.25,4.3,4.12,4.12,30774,0
HTLM.US,D,20241104,000000,4.19,4.44,4.01,4.03,38285,0
HTLM.US,D,20241105,000000,4.1601,4.39,4.0475,4.05,59404,0
HTLM.US,D,20241106,000000,4.15,4.27,4.05,4.11,17762,0
HTLM.US,D,20241107,000000,4.14,4.16,4.13,4.15,4293,0
HTLM.US,D,20241108,000000,4.14,4.21,4.08,4.16,11223,0
HTLM.US,D,20241111,000000,4.23,4.28,4.16,4.17,59144,0
HTLM.US,D,20241112,000000,4.22,4.39,4.07,4.08,106215,0
HTLM.US,D,20241113,000000,4.1,4.39,4.1,4.37,47850,0
HTLM.US,D,20241114,000000,4.37,4.389,4.2118,4.37,10753,0
HTLM.US,D,20241115,000000,4.2092,4.21,3.92,3.93,72511,0
HTLM.US,D,20241118,000000,4.06,4.37,4,4.05,44481,0
HTLM.US,D,20241119,000000,4.14,4.21,3.92,3.92,26202,0
HTLM.US,D,20241120,000000,4.07,4.19,3.95,3.98,13332,0
HTLM.US,D,20241121,000000,4.09,4.1,3.95,3.97,18933,0
HTLM.US,D,20241122,000000,4.04,4.19,3.95,3.975,10128,0
HTLM.US,D,20241125,000000,3.99,4.04,2.571,2.8,213602,0
HTLM.US,D,20241126,000000,2.7,3.91,2.6965,3.28,247999,0
HTLM.US,D,20241127,000000,3.2,4.68,3.2,4.67,60008,0
HTLM.US,D,20241129,000000,4.6,4.6,3.6,4.07,87178,0
HTLM.US,D,20241202,000000,3.95,3.96,3.56,3.62,41447,0
HTLM.US,D,20241203,000000,3.75,4.39,3.51,4.28,60998,0
HTLM.US,D,20241204,000000,4.09,4.49,3.1,3.1,162945,0
HTLM.US,D,20241205,000000,3.39,3.845,3.38,3.72,74747,0
HTLM.US,D,20241206,000000,3.8,3.96,3.4,3.69,132504,0
HTLM.US,D,20241209,000000,3.56,4.06,3.51,3.61,66528,0
HTLM.US,D,20241210,000000,3.6688,4.24,3.6688,4,155935,0
HTLM.US,D,20241211,000000,4.1,4.6597,3.9936,4.6351,175338,0
HTLM.US,D,20241212,000000,4.6,5.58,4.4,5.4,475594,0
HTLM.US,D,20241213,000000,5.36,7.3368,4.46,6.98,316918,0
HTLM.US,D,20241216,000000,6.8,7.7763,6.02,7.49,290353,0
HTLM.US,D,20241217,000000,7.05,7.89,6.69,7.16,115414,0
HTLM.US,D,20241218,000000,6.98,7.88,6.71,7.14,124800,0
HTLM.US,D,20241219,000000,7.25,8.4,7.25,8.4,171162,0
HTLM.US,D,20241220,000000,8.48,13.53,8.4648,12.55,249626,0
HTLM.US,D,20241223,000000,12.55,13.7367,8.34,8.59,202181,0
HTLM.US,D,20241224,000000,8.62,11.8,8.62,11.48,65825,0
HTLM.US,D,20241226,000000,11.53,11.53,9.68,10.11,81000,0
HTLM.US,D,20241227,000000,9.9346,11.5,9.55,10.48,151688,0
HTLM.US,D,20241230,000000,10,10.39,8.5,9.17,94442,0
HTLM.US,D,20241231,000000,9.95,9.95,6.86,8.27,130337,0
HTLM.US,D,20250102,000000,9.1308,10.08,8.376,9.65,188769,0
HTLM.US,D,20250103,000000,10.65,10.65,8.7,8.7,38159,0
HTLM.US,D,20250106,000000,8.5,9.687,8.5,9,94455,0
HTLM.US,D,20250107,000000,8.66,8.78,7.6,7.87,78478,0
HTLM.US,D,20250108,000000,7.4,7.4,6.21,6.875,109916,0
HTLM.US,D,20250110,000000,6.87,8.21,6.87,7.98,123855,0
HTLM.US,D,20250113,000000,7.9,8.14,7.195,7.38,40931,0
HTLM.US,D,20250114,000000,7.38,7.69,7.18,7.55,9138,0
HTLM.US,D,20250115,000000,7.32,8.71,7.1,8,68188,0
HTLM.US,D,20250116,000000,7.78,8.71,7.6,8.24,16543,0
HTLM.US,D,20250117,000000,8.12,8.45,7.81,7.99,22366,0
HTLM.US,D,20250121,000000,8.26,8.26,7.648,7.82,45388,0
HTLM.US,D,20250122,000000,7.64,8.3099,7.35,7.72,17552,0
HTLM.US,D,20250123,000000,7.9499,7.9499,7.23,7.86,27326,0
HTLM.US,D,20250124,000000,7.9269,8.485,7.85,8.34,18407,0
HTLM.US,D,20250127,000000,7.71,8.48,7.6,8.48,96656,0
HTLM.US,D,20250128,000000,8.4534,8.4534,8.11,8.14,4656,0
HTLM.US,D,20250129,000000,8.23,8.45,7.93,7.93,10949,0
HTLM.US,D,20250130,000000,8.14,8.8,7.93,8.27,34091,0
HTLM.US,D,20250131,000000,8.43,8.76,8.15,8.76,58602,0
HTLM.US,D,20250203,000000,8.87,8.9994,8.76,8.84,4931,0
HTLM.US,D,20250204,000000,8.82,9.2,8.68,9.1595,24846,0
HTLM.US,D,20250205,000000,8.99,9.79,8.78,9.5999,30469,0
HTLM.US,D,20250206,000000,9.67,9.67,8.84,8.84,9534,0
HTLM.US,D,20250207,000000,8.8,9,8.6,8.6,15928,0
HTLM.US,D,20250210,000000,8.88,9.8494,8.8037,9.16,33322,0
HTLM.US,D,20250211,000000,8.88,9.6,8.2,9.59,106465,0
HTLM.US,D,20250212,000000,9.7,9.7,8.61,9.28,89716,0
HTLM.US,D,20250213,000000,9,9.5,3.8,4,1243016,0
HTLM.US,D,20250214,000000,4.05,4.1,3.86,3.92,234443,0
HTLM.US,D,20250218,000000,4.01,4.14,3.8,3.83,143895,0
HTLM.US,D,20250219,000000,3.82,4.29,3.82,4.17,53165,0
HTLM.US,D,20250220,000000,4.7,4.91,4.29,4.29,87279,0
HTLM.US,D,20250221,000000,4.215,4.2157,3.93,3.94,32450,0
