<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FDIG.US,D,20220422,000000,23.63,23.89,22.57,22.63,53414,0
FDIG.US,D,20220425,000000,22.63,23.14,22.2705,23.14,34314,0
FDIG.US,D,20220426,000000,23.12,23.12,21.675,21.6979,44482,0
FDIG.US,D,20220427,000000,21.9,22.4,21.57,21.6143,36942,0
FDIG.US,D,20220428,000000,22.15,22.56,21.21,22.39,36868,0
FDIG.US,D,20220429,000000,22.25,22.9777,21.1181,21.22,44761,0
FDIG.US,D,20220502,000000,21.22,22.06,20.83,22.06,41770,0
FDIG.US,D,20220503,000000,22.03,22.45,21.655,21.8321,61591,0
FDIG.US,D,20220504,000000,22.15,22.9308,20.92,22.8403,57297,0
FDIG.US,D,20220505,000000,22.85,22.85,20.6,21,34090,0
FDIG.US,D,20220506,000000,21.06,21.06,19.63,20.0099,30740,0
FDIG.US,D,20220509,000000,19.21,19.21,17.385,17.62,45756,0
FDIG.US,D,20220510,000000,18.26,18.26,16.74,17.09,39783,0
FDIG.US,D,20220511,000000,17,17,15.2197,15.33,42671,0
FDIG.US,D,20220512,000000,14.97,16.02,14.35,15.64,31271,0
FDIG.US,D,20220513,000000,16.69,17.55,16.69,17.2405,31731,0
FDIG.US,D,20220516,000000,17.48,17.48,16.24,16.27,33522,0
FDIG.US,D,20220517,000000,16.88,17.24,16.49,17.1762,15654,0
FDIG.US,D,20220518,000000,16.98,17.23,16.4081,16.48,33897,0
FDIG.US,D,20220519,000000,16.32,17.5,16.32,17.03,16683,0
FDIG.US,D,20220520,000000,17.42,17.42,15.93,16.6675,38276,0
FDIG.US,D,20220523,000000,16.88,16.93,16.345,16.7994,14579,0
FDIG.US,D,20220524,000000,16.6,16.6,15.66,15.8148,13398,0
FDIG.US,D,20220525,000000,15.8,16.37,15.78,16.35,35959,0
FDIG.US,D,20220526,000000,16.28,17.125,16.21,17.08,29655,0
FDIG.US,D,20220527,000000,17.24,17.89,17.24,17.7813,34237,0
FDIG.US,D,20220531,000000,18.78,18.78,17.7,17.9578,32011,0
FDIG.US,D,20220601,000000,18.08,18.14,17.01,17.03,18855,0
FDIG.US,D,20220602,000000,16.99,17.87,16.99,17.69,17532,0
FDIG.US,D,20220603,000000,17.58,17.58,16.99,17.1338,22156,0
FDIG.US,D,20220606,000000,17.66,17.83,17.2256,17.31,15990,0
FDIG.US,D,20220607,000000,16.99,17.23,16.65,17.23,10830,0
FDIG.US,D,20220608,000000,17.12,17.52,16.95,17.11,12101,0
FDIG.US,D,20220609,000000,17,17,15.9567,15.96,20876,0
FDIG.US,D,20220610,000000,15.6,15.63,15.0351,15.1247,17591,0
FDIG.US,D,20220613,000000,13.85,14.77,13.5,13.69,239954,0
FDIG.US,D,20220614,000000,13.65,13.69,13.36,13.4701,26200,0
FDIG.US,D,20220615,000000,13.55,14.0775,13.47,13.8338,28878,0
FDIG.US,D,20220616,000000,13.52,13.52,12.8681,12.9324,24280,0
FDIG.US,D,20220617,000000,12.94,13.44,12.94,13.349,13750,0
FDIG.US,D,20220621,000000,13.8,14.5,13.79,14.04,56191,0
FDIG.US,D,20220622,000000,13.75,14.01,13.47,13.52,23305,0
FDIG.US,D,20220623,000000,13.6,14.27,13.5,14.27,18231,0
FDIG.US,D,20220624,000000,14.49,15.08,14.49,14.97,22901,0
FDIG.US,D,20220627,000000,14.95,14.95,14.071,14.3,30576,0
FDIG.US,D,20220628,000000,14.4,14.4898,13.44,13.56,19362,0
FDIG.US,D,20220629,000000,13.39,13.39,12.81,12.982,11413,0
FDIG.US,D,20220630,000000,12.72,12.74,12.16,12.4063,217315,0
FDIG.US,D,20220701,000000,12.52,12.92,12.45,12.7118,23809,0
