<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DTSQ.US,D,20240917,000000,9.97,9.97,9.97,9.97,1508,0
DTSQ.US,D,20240918,000000,9.97,9.97,9.97,9.97,251025,0
DTSQ.US,D,20240919,000000,9.975,9.98,9.97,9.98,370016,0
DTSQ.US,D,20240920,000000,9.98,9.99,9.9789,9.98,29841,0
DTSQ.US,D,20240923,000000,9.98,9.995,9.98,9.99,88194,0
DTSQ.US,D,20240924,000000,9.989,10.005,9.989,9.99,759595,0
DTSQ.US,D,20240925,000000,10,10,10,10,8101,0
DTSQ.US,D,20240926,000000,10,10.0099,9.99,10,218945,0
DTSQ.US,D,20240927,000000,9.99,9.99,9.99,9.99,12171,0
DTSQ.US,D,20240930,000000,10,10,9.99,9.995,41364,0
DTSQ.US,D,20241001,000000,10,10,9.995,9.9986,76221,0
DTSQ.US,D,20241002,000000,10,10,9.99,9.9982,179957,0
DTSQ.US,D,20241003,000000,9.9999,10,9.9999,10,40952,0
DTSQ.US,D,20241004,000000,10,10,10,10,6871,0
DTSQ.US,D,20241007,000000,10,10,10,10,1184,0
DTSQ.US,D,20241008,000000,10,10,9.9998,10,83975,0
DTSQ.US,D,20241009,000000,10,10.01,10,10,149830,0
DTSQ.US,D,20241010,000000,10.005,10.005,9.9999,10.005,21677,0
DTSQ.US,D,20241011,000000,10.005,10.005,10,10,50100,0
DTSQ.US,D,20241016,000000,10.01,10.01,10.0021,10.01,89399,0
DTSQ.US,D,20241017,000000,10.01,10.01,10.0099,10.01,19101,0
DTSQ.US,D,20241018,000000,10.01,10.01,10.0085,10.0085,11859,0
DTSQ.US,D,20241023,000000,10.01,10.02,10.007,10.01,53058,0
DTSQ.US,D,20241101,000000,10.02,10.02,10.019,10.02,9662,0
DTSQ.US,D,20241106,000000,10.0233,10.0233,10.0233,10.0233,570,0
DTSQ.US,D,20241107,000000,10.03,10.04,10.02,10.04,15831,0
DTSQ.US,D,20241113,000000,10.05,10.05,10.05,10.05,565,0
DTSQ.US,D,20241114,000000,10.06,10.06,10.06,10.06,578,0
DTSQ.US,D,20241115,000000,10.04,10.04,10.03,10.03,7800,0
DTSQ.US,D,20241118,000000,10.04,10.05,10.04,10.05,2083,0
DTSQ.US,D,20241119,000000,10.04,10.0401,10.04,10.0401,10257,0
DTSQ.US,D,20241121,000000,10.04,10.04,10.04,10.04,612,0
DTSQ.US,D,20241125,000000,10.05,10.05,10.05,10.05,4190,0
DTSQ.US,D,20241126,000000,10.06,10.06,10.06,10.06,75010,0
DTSQ.US,D,20241127,000000,10.04,10.04,10.04,10.04,170,0
DTSQ.US,D,20241202,000000,10.0604,10.0604,10.0604,10.0604,2804,0
DTSQ.US,D,20241203,000000,10.05,10.05,10.05,10.05,450040,0
DTSQ.US,D,20241204,000000,10.05,10.05,10.05,10.05,219,0
DTSQ.US,D,20241205,000000,10.05,10.065,10.04,10.05,218474,0
DTSQ.US,D,20241206,000000,10.05,10.05,10.05,10.05,45987,0
DTSQ.US,D,20241209,000000,10.05,10.05,10.05,10.05,1720,0
DTSQ.US,D,20241212,000000,10.06,10.075,10.05,10.075,653420,0
DTSQ.US,D,20241213,000000,10.0899,10.0899,10.0601,10.0601,14101,0
DTSQ.US,D,20241218,000000,10.09,10.09,10.09,10.09,201,0
DTSQ.US,D,20241219,000000,10.09,10.09,10.09,10.09,50055,0
DTSQ.US,D,20241220,000000,10.07,10.09,10.05,10.05,72389,0
DTSQ.US,D,20241223,000000,10.1,10.1,10.1,10.1,102,0
DTSQ.US,D,20241226,000000,10.11,10.11,10.11,10.11,207,0
DTSQ.US,D,20241227,000000,10.1,10.1,10.1,10.1,150500,0
DTSQ.US,D,20241230,000000,10.09,10.09,10.08,10.09,6403,0
DTSQ.US,D,20241231,000000,10.09,10.09,10.07,10.07,9362,0
DTSQ.US,D,20250102,000000,10.08,10.1,10.06,10.1,32653,0
DTSQ.US,D,20250103,000000,10.08,10.12,10.08,10.09,28194,0
DTSQ.US,D,20250106,000000,10.09,10.09,10.085,10.09,63706,0
DTSQ.US,D,20250110,000000,10.105,10.105,10.105,10.105,1000,0
DTSQ.US,D,20250113,000000,10.1,10.11,10.1,10.11,317550,0
DTSQ.US,D,20250114,000000,10.1079,10.11,10.1079,10.11,2213,0
DTSQ.US,D,20250117,000000,10.11,10.11,10.11,10.11,35000,0
DTSQ.US,D,20250121,000000,10.12,10.12,10.12,10.12,371,0
DTSQ.US,D,20250123,000000,10.12,10.12,10.12,10.12,233,0
DTSQ.US,D,20250128,000000,10.13,10.13,10.12,10.12,423,0
DTSQ.US,D,20250203,000000,10.1301,10.1301,10.1301,10.1301,503,0
DTSQ.US,D,20250205,000000,10.15,10.151,10.145,10.15,37514,0
DTSQ.US,D,20250207,000000,10.16,10.16,10.15,10.15,278552,0
DTSQ.US,D,20250210,000000,10.15,10.15,10.14,10.14,75267,0
DTSQ.US,D,20250211,000000,10.15,10.15,10.15,10.15,206630,0
DTSQ.US,D,20250212,000000,10.15,10.16,10.15,10.16,52566,0
DTSQ.US,D,20250213,000000,10.155,10.155,10.15,10.155,50053,0
DTSQ.US,D,20250214,000000,10.15,10.15,10.15,10.15,106,0
DTSQ.US,D,20250219,000000,10.16,10.17,10.15,10.16,280403,0
DTSQ.US,D,20250220,000000,10.16,10.16,10.15,10.15,4928,0
DTSQ.US,D,20250221,000000,10.15,10.15,10.15,10.15,341648,0
DTSQ.US,D,20250224,000000,10.17,10.17,10.17,10.17,100000,0
DTSQ.US,D,20250228,000000,10.18,10.18,10.18,10.18,4951,0
DTSQ.US,D,20250304,000000,10.19,10.19,10.18,10.18,418,0
