<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FVN.US,D,20241106,000000,9.96,9.99,9.96,9.97,318063,0
FVN.US,D,20241107,000000,9.97,9.97,9.9685,9.97,232130,0
FVN.US,D,20241108,000000,9.96,9.97,9.96,9.97,93451,0
FVN.US,D,20241111,000000,9.96,9.97,9.96,9.9668,12104,0
FVN.US,D,20241112,000000,9.96,9.96,9.96,9.96,15015,0
FVN.US,D,20241113,000000,9.97,9.97,9.955,9.96,31301,0
FVN.US,D,20241114,000000,9.97,9.97,9.96,9.965,36106,0
FVN.US,D,20241115,000000,9.96,9.97,9.96,9.96,24844,0
FVN.US,D,20241118,000000,9.96,9.965,9.96,9.96,23727,0
FVN.US,D,20241119,000000,9.9699,9.975,9.96,9.96,109966,0
FVN.US,D,20241120,000000,9.96,9.97,9.96,9.96,1253,0
FVN.US,D,20241121,000000,9.97,9.97,9.96,9.97,221150,0
FVN.US,D,20241122,000000,9.97,9.97,9.97,9.97,224245,0
FVN.US,D,20241125,000000,9.97,10.02,9.97,10.01,170067,0
FVN.US,D,20241126,000000,10,10.06,10,10.03,10420,0
FVN.US,D,20241127,000000,10.05,10.09,10.02,10.02,68633,0
FVN.US,D,20241129,000000,10.03,10.03,10.03,10.03,700,0
FVN.US,D,20241203,000000,10.04,10.04,10.04,10.04,75950,0
FVN.US,D,20241205,000000,10.02,10.02,10.01,10.01,18050,0
FVN.US,D,20241209,000000,10.03,10.03,10.03,10.03,164,0
FVN.US,D,20241216,000000,10.05,10.05,10.05,10.05,50191,0
FVN.US,D,20241220,000000,10.03,10.03,10.03,10.03,8101,0
FVN.US,D,20241224,000000,10.02,10.02,10.02,10.02,84625,0
FVN.US,D,20241231,000000,10.035,10.035,10.0211,10.025,28696,0
FVN.US,D,20250102,000000,10.03,10.035,10.03,10.03,100020,0
FVN.US,D,20250103,000000,10.035,10.035,10.03,10.03,5079,0
FVN.US,D,20250106,000000,10.04,10.04,10.04,10.04,50003,0
FVN.US,D,20250107,000000,10.0368,10.04,10.035,10.04,61966,0
FVN.US,D,20250114,000000,10.11,10.12,10.11,10.12,8428,0
FVN.US,D,20250116,000000,10.09,10.09,10.09,10.09,460,0
FVN.US,D,20250117,000000,10.08,10.14,10.08,10.08,854,0
FVN.US,D,20250121,000000,10.08,10.08,10.08,10.08,444,0
FVN.US,D,20250128,000000,10.08,10.08,10.08,10.08,113,0
FVN.US,D,20250129,000000,10.11,10.11,10.08,10.11,1988,0
FVN.US,D,20250131,000000,10.118,10.118,10.118,10.118,1028,0
FVN.US,D,20250203,000000,10.1,10.1,10.1,10.1,926,0
FVN.US,D,20250204,000000,10.1264,10.1264,10.1,10.1,910,0
FVN.US,D,20250205,000000,10.12,10.12,10.12,10.12,1112,0
FVN.US,D,20250207,000000,10.13,10.13,10.13,10.13,566,0
FVN.US,D,20250210,000000,10.13,10.13,10.1,10.1,753,0
FVN.US,D,20250211,000000,10.1,10.1001,10.1,10.1,17752,0
FVN.US,D,20250218,000000,10.1,10.11,10.1,10.11,3878,0
FVN.US,D,20250221,000000,10.14,10.14,10.14,10.14,202,0
FVN.US,D,20250224,000000,10.12,10.12,10.11,10.12,12082,0
FVN.US,D,20250225,000000,10.12,10.12,10.12,10.12,1191,0
FVN.US,D,20250226,000000,10.12,10.12,10.12,10.12,1099,0
FVN.US,D,20250227,000000,10.12,10.12,10.12,10.12,1117,0
FVN.US,D,20250228,000000,10.1,10.12,10.1,10.12,1878,0
FVN.US,D,20250303,000000,10.1,10.12,10.1,10.12,1787,0
FVN.US,D,20250304,000000,10.12,10.13,10.1,10.13,125893,0
FVN.US,D,20250305,000000,10.12,10.14,10.1,10.14,286911,0
FVN.US,D,20250306,000000,10.14,10.15,10.13,10.15,27402,0
FVN.US,D,20250307,000000,10.15,10.15,10.15,10.15,10894,0
FVN.US,D,20250310,000000,10.13,10.15,10.13,10.15,18225,0
FVN.US,D,20250311,000000,10.16,10.16,10.15,10.15,9309,0
FVN.US,D,20250312,000000,10.15,10.17,10.15,10.17,9025,0
FVN.US,D,20250313,000000,10.15,10.15,10.15,10.15,7822,0
FVN.US,D,20250314,000000,10.16,10.16,10.15,10.16,7210,0
FVN.US,D,20250317,000000,10.16,10.16,10.14,10.16,6663,0
FVN.US,D,20250318,000000,10.14,10.16,10.14,10.16,6651,0
FVN.US,D,20250319,000000,10.16,10.16,10.15,10.16,5747,0
FVN.US,D,20250320,000000,10.15,10.15,10.1,10.1,5291,0
FVN.US,D,20250321,000000,10.16,10.18,10.15,10.18,21645,0
FVN.US,D,20250324,000000,10.17,10.17,10.17,10.17,9935,0
FVN.US,D,20250325,000000,10.17,10.17,10.17,10.17,4682,0
FVN.US,D,20250326,000000,10.18,10.18,10.16,10.18,152629,0
FVN.US,D,20250327,000000,10.18,10.2,10.18,10.19,15080,0
FVN.US,D,20250328,000000,10.18,10.18,10.18,10.18,378,0
FVN.US,D,20250401,000000,10.2,10.2,10.2,10.2,665,0
