<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CCIXW.US,D,20240624,000000,0.3,0.37,0.2919,0.354719,119620,0
CCIXW.US,D,20240625,000000,0.360089,0.39,0.275,0.3,165425,0
CCIXW.US,D,20240626,000000,0.3,0.31345,0.3,0.3,2955,0
CCIXW.US,D,20240627,000000,0.39,0.39,0.3,0.35,104295,0
CCIXW.US,D,20240628,000000,0.35,0.35,0.3499,0.35,33395,0
CCIXW.US,D,20240701,000000,0.38888,0.38888,0.34,0.34,2013,0
CCIXW.US,D,20240702,000000,0.347991,0.347991,0.347991,0.347991,228,0
CCIXW.US,D,20240705,000000,0.21,0.33,0.21,0.33,1566,0
CCIXW.US,D,20240708,000000,0.33,0.33,0.33,0.33,981,0
CCIXW.US,D,20240709,000000,0.3499,0.35,0.3499,0.35,409,0
CCIXW.US,D,20240711,000000,0.4,0.4,0.4,0.4,548,0
CCIXW.US,D,20240712,000000,0.39,0.4,0.39,0.4,415,0
CCIXW.US,D,20240715,000000,0.4,0.402,0.4,0.4,2203,0
CCIXW.US,D,20240722,000000,0.346,0.346,0.3459,0.3459,386,0
CCIXW.US,D,20240723,000000,0.33,0.33,0.33,0.33,288,0
CCIXW.US,D,20240724,000000,0.41,0.41,0.33,0.33,1364,0
CCIXW.US,D,20240725,000000,0.36,0.36,0.36,0.36,1200,0
CCIXW.US,D,20240730,000000,0.379261,0.379261,0.379261,0.379261,102,0
CCIXW.US,D,20240731,000000,0.372,0.372,0.3619,0.37,1605,0
CCIXW.US,D,20240808,000000,0.32,0.32,0.32,0.32,12500,0
CCIXW.US,D,20240809,000000,0.36,0.36,0.33,0.33,17321,0
CCIXW.US,D,20240814,000000,0.3,0.3,0.26,0.285,241655,0
CCIXW.US,D,20240820,000000,0.286,0.286,0.2859,0.2859,800,0
CCIXW.US,D,20240821,000000,0.294,0.294,0.28,0.28,14100,0
CCIXW.US,D,20240822,000000,0.286,0.286,0.281,0.281,800,0
CCIXW.US,D,20240826,000000,0.35,0.35,0.25,0.25,78650,0
CCIXW.US,D,20240827,000000,0.25,0.29,0.25,0.29,6801,0
CCIXW.US,D,20240828,000000,0.29,0.29,0.29,0.29,179,0
CCIXW.US,D,20240830,000000,0.258,0.258,0.25,0.25,34940,0
CCIXW.US,D,20240903,000000,0.304671,0.304671,0.26,0.26,500,0
CCIXW.US,D,20240904,000000,0.286879,0.286879,0.286879,0.286879,7500,0
CCIXW.US,D,20240909,000000,0.305,0.305,0.26,0.26,3380,0
