<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
COCHW.US,D,20231003,000000,0.06,0.06,0.038,0.038,2159,0
COCHW.US,D,20231004,000000,0.0519,0.0519,0.0401,0.045,11868,0
COCHW.US,D,20231006,000000,0.06,0.06,0.06,0.06,113,0
COCHW.US,D,20231009,000000,0.045101,0.0565,0.045001,0.0565,651,0
COCHW.US,D,20231010,000000,0.0781,0.0781,0.045,0.055,19997,0
COCHW.US,D,20231011,000000,0.07,0.07,0.07,0.07,100,0
COCHW.US,D,20231012,000000,0.045,0.057,0.045,0.052,25603,0
COCHW.US,D,20231017,000000,0.042,0.043,0.0301,0.04,45918,0
COCHW.US,D,20231023,000000,0.0382,0.0382,0.038,0.038,447,0
COCHW.US,D,20231025,000000,0.031,0.031,0.025,0.028,30519,0
COCHW.US,D,20231027,000000,0.0201,0.0278,0.0181,0.0181,63463,0
COCHW.US,D,20231030,000000,0.0201,0.02515,0.0152,0.016,102669,0
COCHW.US,D,20231031,000000,0.0152,0.0161,0.0152,0.0161,717,0
COCHW.US,D,20231102,000000,0.0162,0.0162,0.0162,0.0162,216,0
COCHW.US,D,20231103,000000,0.0162,0.0163,0.016,0.0161,19482,0
COCHW.US,D,20231106,000000,0.0162,0.0163,0.0162,0.0163,914,0
COCHW.US,D,20231107,000000,0.0163,0.02065,0.0163,0.02,5591,0
COCHW.US,D,20231108,000000,0.025,0.025,0.025,0.025,100,0
COCHW.US,D,20231109,000000,0.0165,0.016501,0.0152,0.0152,10168,0
COCHW.US,D,20231110,000000,0.019,0.019,0.019,0.019,619,0
COCHW.US,D,20231113,000000,0.0198,0.02,0.015,0.015,11272,0
COCHW.US,D,20231114,000000,0.034,0.034,0.015,0.02,6786,0
COCHW.US,D,20231115,000000,0.025,0.025,0.011,0.0219,18376,0
COCHW.US,D,20231116,000000,0.0198,0.0198,0.012,0.0131,12092,0
COCHW.US,D,20231121,000000,0.02,0.02,0.019,0.019,10100,0
COCHW.US,D,20231122,000000,0.0176,0.0176,0.0176,0.0176,1900,0
COCHW.US,D,20231124,000000,0.0189,0.0189,0.0163,0.0163,200,0
COCHW.US,D,20231127,000000,0.0189,0.019,0.0143,0.0155,7839,0
COCHW.US,D,20231128,000000,0.018952,0.018952,0.017,0.017,4056,0
COCHW.US,D,20231129,000000,0.0187,0.034,0.0152,0.027,328084,0
COCHW.US,D,20231130,000000,0.0367,0.0367,0.0205,0.0297,84149,0
COCHW.US,D,20231201,000000,0.0297,0.03,0.0207,0.0226,52021,0
COCHW.US,D,20231204,000000,0.0212,0.022521,0.0194,0.022521,1087,0
COCHW.US,D,20231205,000000,0.0151,0.02,0.0151,0.0161,13580,0
COCHW.US,D,20231206,000000,0.0198,0.02,0.0174,0.0174,2957,0
COCHW.US,D,20231207,000000,0.0198,0.0198,0.0179,0.0179,2158,0
COCHW.US,D,20231208,000000,0.0178,0.0179,0.0178,0.0178,3618,0
COCHW.US,D,20231211,000000,0.015,0.0151,0.0111,0.012,44389,0
COCHW.US,D,20231212,000000,0.0116,0.019,0.01,0.017,77503,0
COCHW.US,D,20231213,000000,0.0121,0.0149,0.0067,0.0148,310955,0
COCHW.US,D,20231214,000000,0.01,0.012,0.0061,0.012,27598,0
COCHW.US,D,20231215,000000,0.01125,0.0115,0.0092,0.0093,36194,0
COCHW.US,D,20231218,000000,0.0096,0.0355,0.0096,0.0231,119520,0
COCHW.US,D,20231219,000000,0.0151,0.03,0.01,0.03,76797,0
COCHW.US,D,20231220,000000,0.0297,0.03,0.0297,0.03,806,0
COCHW.US,D,20231221,000000,0.0349,0.0349,0.0349,0.0349,136,0
COCHW.US,D,20231222,000000,0.02,0.035,0.018,0.035,10595,0
COCHW.US,D,20231226,000000,0.0396,0.04,0.0349,0.04,690,0
COCHW.US,D,20231228,000000,0.02895,0.0376,0.028,0.028,22800,0
COCHW.US,D,20231229,000000,0.0191,0.035,0.0191,0.02,2920,0
COCHW.US,D,20240102,000000,0.0288,0.0288,0.0202,0.0202,348,0
COCHW.US,D,20240103,000000,0.02,0.02,0.02,0.02,523,0
COCHW.US,D,20240104,000000,0.0181,0.02,0.0181,0.0195,7740,0
COCHW.US,D,20240105,000000,0.02,0.0211,0.018,0.018,135465,0
COCHW.US,D,20240108,000000,0.02,0.02,0.018,0.018,13331,0
COCHW.US,D,20240109,000000,0.02,0.0238,0.016,0.0238,26455,0
COCHW.US,D,20240110,000000,0.02,0.0225,0.016,0.0223,27229,0
COCHW.US,D,20240111,000000,0.02,0.02,0.02,0.02,5347,0
COCHW.US,D,20240123,000000,0.02,0.020058,0.0183,0.020058,8590,0
COCHW.US,D,20240124,000000,0.017,0.017,0.0101,0.011,140198,0
COCHW.US,D,20240125,000000,0.0218,0.0218,0.0101,0.0112,52886,0
COCHW.US,D,20240126,000000,0.0189,0.019,0.0113,0.0189,27549,0
COCHW.US,D,20240130,000000,0.0131,0.017,0.0131,0.017,870,0
COCHW.US,D,20240202,000000,0.0136,0.0137,0.0135,0.0135,5092,0
COCHW.US,D,20240205,000000,0.0136,0.015,0.0135,0.015,21922,0
COCHW.US,D,20240206,000000,0.0151,0.0169,0.0151,0.0152,6860,0
COCHW.US,D,20240207,000000,0.014,0.019,0.014,0.019,16684,0
COCHW.US,D,20240208,000000,0.0124,0.0124,0.0123,0.0123,2829,0
COCHW.US,D,20240212,000000,0.0123,0.01565,0.0123,0.01565,662,0
COCHW.US,D,20240215,000000,0.0153,0.0154,0.0124,0.0124,1306,0
COCHW.US,D,20240216,000000,0.015651,0.015651,0.0123,0.013306,1485,0
COCHW.US,D,20240221,000000,0.015,0.015,0.015,0.015,40000,0
COCHW.US,D,20240222,000000,0.0189,0.02,0.0125,0.0125,10561,0
COCHW.US,D,20240223,000000,0.0126,0.0126,0.0125,0.0125,657,0
COCHW.US,D,20240227,000000,0.0125,0.0126,0.0112,0.0112,14000,0
COCHW.US,D,20240228,000000,0.0178,0.075,0.0178,0.0682,850147,0
COCHW.US,D,20240229,000000,0.1461,0.163,0.0701,0.12,865265,0
COCHW.US,D,20240301,000000,0.0801,0.2369,0.0801,0.18,1381222,0
COCHW.US,D,20240304,000000,0.19,0.28,0.161,0.2026,549905,0
COCHW.US,D,20240305,000000,0.23,0.24,0.1605,0.19,150961,0
COCHW.US,D,20240306,000000,0.28,0.28,0.19251,0.23,235548,0
COCHW.US,D,20240307,000000,0.27,0.315001,0.15,0.155,339612,0
COCHW.US,D,20240308,000000,0.153,0.25,0.153,0.194,138768,0
COCHW.US,D,20240311,000000,0.195,0.195,0.16,0.1642,86637,0
COCHW.US,D,20240312,000000,0.1848,0.1848,0.1501,0.1502,61883,0
COCHW.US,D,20240313,000000,0.151,0.1525,0.09,0.09,141440,0
COCHW.US,D,20240314,000000,0.09,0.15,0.0705,0.075,175806,0
COCHW.US,D,20240315,000000,0.099,0.1,0.084,0.0949,88504,0
COCHW.US,D,20240318,000000,0.1005,0.1005,0.08,0.0875,25275,0
COCHW.US,D,20240319,000000,0.0825,0.1475,0.0825,0.1058,42989,0
COCHW.US,D,20240320,000000,0.1093,0.1093,0.0904,0.1,10324,0
COCHW.US,D,20240321,000000,0.109,0.109,0.0902,0.0902,8687,0
COCHW.US,D,20240325,000000,0.0902,0.0902,0.0902,0.0902,988,0
COCHW.US,D,20240326,000000,0.0941,0.0941,0.091,0.091,2354,0
COCHW.US,D,20240327,000000,0.095,0.095,0.09,0.09,4135,0
COCHW.US,D,20240328,000000,0.0911,0.1125,0.0911,0.1065,28912,0
COCHW.US,D,20240401,000000,0.12,0.14,0.12,0.1386,47037,0
COCHW.US,D,20240402,000000,0.1485,0.1709,0.1485,0.1508,16395,0
COCHW.US,D,20240403,000000,0.18,0.2,0.18,0.2,22751,0
COCHW.US,D,20240404,000000,0.22,0.22,0.1826,0.206751,29023,0
COCHW.US,D,20240405,000000,0.21,0.2225,0.21,0.2225,600,0
COCHW.US,D,20240409,000000,0.24,0.24,0.18,0.2299,252611,0
COCHW.US,D,20240410,000000,0.2222,0.24,0.2,0.24,5788,0
COCHW.US,D,20240411,000000,0.18,0.22,0.18,0.2178,9120,0
COCHW.US,D,20240412,000000,0.22,0.22,0.1812,0.1825,10674,0
COCHW.US,D,20240415,000000,0.19,0.19379,0.18,0.18,4900,0
COCHW.US,D,20240416,000000,0.1717,0.21,0.1717,0.21,704,0
COCHW.US,D,20240417,000000,0.183,0.2,0.15,0.15,46566,0
COCHW.US,D,20240419,000000,0.130101,0.1707,0.13,0.1699,2132,0
COCHW.US,D,20240425,000000,0.1313,0.15,0.13,0.15,1272,0
COCHW.US,D,20240429,000000,0.16,0.1696,0.140101,0.1634,72766,0
COCHW.US,D,20240430,000000,0.16,0.16,0.1513,0.1513,700,0
COCHW.US,D,20240502,000000,0.13,0.14,0.13,0.14,1108,0
COCHW.US,D,20240503,000000,0.1586,0.17,0.1424,0.143,7794,0
COCHW.US,D,20240509,000000,0.09,0.105499,0.08,0.08,127342,0
COCHW.US,D,20240510,000000,0.055,0.0756,0.055,0.0756,4364,0
COCHW.US,D,20240513,000000,0.07614,0.09,0.076,0.09,19317,0
COCHW.US,D,20240514,000000,0.089999,0.09,0.064,0.064,6850,0
COCHW.US,D,20240515,000000,0.0792,0.0968,0.07,0.075,33434,0
COCHW.US,D,20240516,000000,0.08,0.08,0.07,0.071,7877,0
COCHW.US,D,20240517,000000,0.0792,0.0795,0.068749,0.07,15821,0
COCHW.US,D,20240521,000000,0.0698,0.07,0.0698,0.0699,2556,0
COCHW.US,D,20240522,000000,0.0651,0.0844,0.064,0.064,26608,0
COCHW.US,D,20240523,000000,0.07,0.07,0.064,0.064,5300,0
COCHW.US,D,20240524,000000,0.064,0.0816,0.04,0.0489,764446,0
COCHW.US,D,20240528,000000,0.0429,0.0517,0.0375,0.0375,142585,0
COCHW.US,D,20240530,000000,0.0497,0.0497,0.0497,0.0497,3000,0
COCHW.US,D,20240603,000000,0.09,0.09,0.045,0.045,26437,0
COCHW.US,D,20240605,000000,0.0454,0.0454,0.0454,0.0454,100,0
COCHW.US,D,20240610,000000,0.0498,0.069,0.045,0.045,11806,0
COCHW.US,D,20240612,000000,0.05,0.0635,0.05,0.056,6158,0
COCHW.US,D,20240613,000000,0.0499,0.05,0.0499,0.05,2600,0
COCHW.US,D,20240614,000000,0.0584,0.059,0.0507,0.05215,1547,0
COCHW.US,D,20240617,000000,0.05,0.05,0.05,0.05,1000,0
COCHW.US,D,20240620,000000,0.05,0.0545,0.05,0.05,8565,0
COCHW.US,D,20240621,000000,0.05,0.05,0.05,0.05,7400,0
COCHW.US,D,20240626,000000,0.0504,0.0504,0.0504,0.0504,100,0
COCHW.US,D,20240627,000000,0.0503,0.067,0.05,0.05,11624,0
COCHW.US,D,20240628,000000,0.05,0.05,0.05,0.05,957,0
COCHW.US,D,20240701,000000,0.055,0.0615,0.055,0.0615,7300,0
COCHW.US,D,20240703,000000,0.05,0.05,0.05,0.05,10020,0
COCHW.US,D,20240712,000000,0.05,0.06225,0.05,0.06225,13485,0
COCHW.US,D,20240719,000000,0.06,0.06,0.06,0.06,2000,0
COCHW.US,D,20240731,000000,0.045,0.0501,0.0446,0.0501,36679,0
COCHW.US,D,20240801,000000,0.05,0.05,0.05,0.05,6701,0
COCHW.US,D,20240802,000000,0.045,0.0516,0.045,0.0516,26637,0
COCHW.US,D,20240805,000000,0.053,0.055,0.0499,0.05,19232,0
COCHW.US,D,20240808,000000,0.0674,0.068,0.0674,0.068,721,0
COCHW.US,D,20240809,000000,0.0679,0.084,0.0679,0.084,2676,0
COCHW.US,D,20240812,000000,0.086399,0.088899,0.0792,0.08,11737,0
COCHW.US,D,20240813,000000,0.0717,0.0717,0.07,0.07,3163,0
COCHW.US,D,20240814,000000,0.08,0.0801,0.07,0.07,5511,0
COCHW.US,D,20240815,000000,0.081,0.085,0.0755,0.0755,31344,0
COCHW.US,D,20240816,000000,0.075,0.075,0.0707,0.074899,4819,0
COCHW.US,D,20240819,000000,0.0817,0.0841,0.0817,0.0825,15140,0
COCHW.US,D,20240820,000000,0.085,0.085,0.085,0.085,3005,0
COCHW.US,D,20240821,000000,0.085,0.088,0.0757,0.0757,18549,0
COCHW.US,D,20240822,000000,0.0842,0.088,0.0842,0.0879,10382,0
COCHW.US,D,20240823,000000,0.088,0.088,0.067,0.08795,10701,0
COCHW.US,D,20240826,000000,0.1,0.1,0.0889,0.0889,12275,0
COCHW.US,D,20240827,000000,0.08895,0.0999,0.0799,0.0799,32118,0
COCHW.US,D,20240828,000000,0.0656,0.08,0.0651,0.08,936,0
COCHW.US,D,20240829,000000,0.07,0.08,0.07,0.08,1100,0
COCHW.US,D,20240830,000000,0.076,0.076,0.0666,0.075,8903,0
COCHW.US,D,20240903,000000,0.072999,0.075,0.07,0.074899,6483,0
COCHW.US,D,20240904,000000,0.075,0.075,0.0735,0.0743,5400,0
COCHW.US,D,20240905,000000,0.075,0.075,0.0625,0.075,38935,0
COCHW.US,D,20240906,000000,0.0693,0.07,0.0625,0.07,28639,0
COCHW.US,D,20240909,000000,0.07,0.07,0.07,0.07,103,0
COCHW.US,D,20240910,000000,0.0625,0.0625,0.0625,0.0625,105,0
COCHW.US,D,20240911,000000,0.07,0.1,0.0626,0.0652,121429,0
COCHW.US,D,20240912,000000,0.068,0.068,0.06,0.0635,5946,0
COCHW.US,D,20240913,000000,0.066,0.066,0.0502,0.0598,28864,0
COCHW.US,D,20240916,000000,0.0516,0.0516,0.0511,0.0515,2095,0
COCHW.US,D,20240917,000000,0.0594,0.06,0.052,0.06,4255,0
COCHW.US,D,20240918,000000,0.06,0.06,0.052,0.0595,2665,0
COCHW.US,D,20240919,000000,0.06,0.0969,0.0521,0.09,216762,0
COCHW.US,D,20240920,000000,0.0931,0.094,0.0525,0.07396,19049,0
COCHW.US,D,20240923,000000,0.080001,0.080001,0.080001,0.080001,102,0
COCHW.US,D,20241001,000000,0.089,0.089,0.089,0.089,101,0
COCHW.US,D,20241007,000000,0.0808,0.087,0.0777,0.0777,2274,0
COCHW.US,D,20241015,000000,0.065,0.065,0.0531,0.0531,31175,0
COCHW.US,D,20241016,000000,0.0594,0.06,0.052,0.0525,1933,0
COCHW.US,D,20241017,000000,0.06,0.06,0.052,0.052,16988,0
COCHW.US,D,20241021,000000,0.0527,0.0527,0.0527,0.0527,196,0
COCHW.US,D,20241022,000000,0.0533,0.06,0.0528,0.0533,1650,0
COCHW.US,D,20241025,000000,0.0594,0.06,0.0594,0.06,45000,0
COCHW.US,D,20241028,000000,0.055,0.0567,0.0545,0.0545,1353,0
COCHW.US,D,20241029,000000,0.0573,0.0599,0.052,0.0599,17397,0
COCHW.US,D,20241030,000000,0.0525,0.0525,0.052,0.052,476,0
COCHW.US,D,20241031,000000,0.055999,0.06,0.052,0.052,6609,0
COCHW.US,D,20241101,000000,0.1,0.1,0.0966,0.0975,34978,0
COCHW.US,D,20241105,000000,0.0966,0.0975,0.07,0.09,4499,0
COCHW.US,D,20241106,000000,0.09,0.0909,0.09,0.09,9089,0
COCHW.US,D,20241113,000000,0.09,0.09,0.0889,0.0889,700,0
COCHW.US,D,20241114,000000,0.0707,0.0707,0.06,0.065,50202,0
COCHW.US,D,20241115,000000,0.0699,0.07,0.0675,0.0681,2854,0
COCHW.US,D,20241118,000000,0.0698,0.0699,0.06,0.06,22151,0
