<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AGIX.US,D,20240723,000000,25.18,25.35,25.18,25.2669,3051,0
AGIX.US,D,20240724,000000,25.05,25.05,23.9837,23.9837,13191,0
AGIX.US,D,20240725,000000,24,24.19,23.78,23.905,8942,0
AGIX.US,D,20240726,000000,24.23,24.23,23.93,24.0483,3667,0
AGIX.US,D,20240729,000000,24.24,24.265,23.94,24.055,29244,0
AGIX.US,D,20240730,000000,24.29,24.29,23.39,23.4636,44664,0
AGIX.US,D,20240731,000000,24.19,24.3898,24.19,24.3898,3445,0
AGIX.US,D,20240801,000000,24.5,24.6205,23.3772,23.558,14640,0
AGIX.US,D,20240802,000000,23.01,23.1,22.5,22.7737,13351,0
AGIX.US,D,20240805,000000,22.1,22.11,21.82,22.0545,13365,0
AGIX.US,D,20240806,000000,22.61,22.63,22.4206,22.4206,430,0
AGIX.US,D,20240807,000000,23.04,23.04,22.158,22.158,813,0
AGIX.US,D,20240808,000000,22.835,22.9692,22.835,22.9692,403,0
AGIX.US,D,20240809,000000,23.24,23.24,23.1927,23.1927,294,0
AGIX.US,D,20240812,000000,23.41,23.41,23.195,23.2066,1770,0
AGIX.US,D,20240813,000000,23.6301,23.9362,23.6301,23.9362,4272,0
AGIX.US,D,20240814,000000,24,24.08,23.88,24.0716,1136,0
AGIX.US,D,20240815,000000,24.555,24.75,24.55,24.7475,7276,0
AGIX.US,D,20240816,000000,24.74,24.81,24.71,24.8044,1653,0
AGIX.US,D,20240819,000000,24.86,25.1338,24.71,25.1338,1829,0
AGIX.US,D,20240820,000000,25.2,25.3,25.11,25.125,2089,0
AGIX.US,D,20240821,000000,25.13,25.24,25.12,25.2258,2907,0
AGIX.US,D,20240822,000000,25.23,25.23,24.6059,24.6059,4832,0
AGIX.US,D,20240823,000000,25,25,24.72,24.97,574,0
AGIX.US,D,20240826,000000,25,25,24.58,24.6173,609,0
AGIX.US,D,20240827,000000,24.58,24.635,24.58,24.6347,297,0
AGIX.US,D,20240828,000000,24.19,24.3124,24.19,24.3124,1247,0
AGIX.US,D,20240829,000000,24.39,24.7,24.2501,24.2501,2300,0
AGIX.US,D,20240830,000000,24.47,24.565,24.355,24.565,545,0
