<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BEAM.US,D,20200206,000000,24,25.26,18.55,18.75,5873277,0
BEAM.US,D,20200207,000000,19.19,21.9,19,20.62,1221500,0
BEAM.US,D,20200210,000000,21.37,22.15,21.1,22.1,727361,0
BEAM.US,D,20200211,000000,22.15,24.2,21.5,24.1,764473,0
BEAM.US,D,20200212,000000,24.4,27.6,24.1,27.6,862078,0
BEAM.US,D,20200213,000000,27.77,31.8,26.65,29.2,1403653,0
BEAM.US,D,20200214,000000,29.65,30.34,26.25,27.9,821731,0
BEAM.US,D,20200218,000000,27.88,29.628,27.5,27.8,289059,0
BEAM.US,D,20200219,000000,27.85,28.7,27,28.18,380876,0
BEAM.US,D,20200220,000000,28.28,28.5,26.77,26.91,249345,0
BEAM.US,D,20200221,000000,26.76,26.8,24.5,26.09,397347,0
BEAM.US,D,20200224,000000,24.9,25.45,24,24.2,247678,0
BEAM.US,D,20200225,000000,24.44,24.98,22.5,22.63,361491,0
BEAM.US,D,20200226,000000,22.73,24.91,22.73,24.45,239694,0
BEAM.US,D,20200227,000000,23.46,24.09,22.76,22.93,217006,0
BEAM.US,D,20200228,000000,22.87,22.9,21.5,22.49,157424,0
BEAM.US,D,20200302,000000,23.25,23.91,22.57,23.02,365221,0
BEAM.US,D,20200303,000000,23.11,24.63,22.76,23.51,366078,0
BEAM.US,D,20200304,000000,23.69,24.8091,23.69,24.41,281497,0
BEAM.US,D,20200305,000000,24.31,24.7925,23.28,23.81,340811,0
BEAM.US,D,20200306,000000,23.41,23.87,23.4,23.55,175937,0
BEAM.US,D,20200309,000000,21.97,23.3679,21.5,22.6,178760,0
BEAM.US,D,20200310,000000,22.56,23.925,21.66,22.5,346924,0
BEAM.US,D,20200311,000000,22.32,23.77,20.77,21.25,228706,0
BEAM.US,D,20200312,000000,20.97,21.23,18.05,18.3,411252,0
BEAM.US,D,20200313,000000,19.7,19.7,16.02,17.38,347715,0
BEAM.US,D,20200316,000000,16,16.445,13,13.31,380895,0
BEAM.US,D,20200317,000000,13.68,15.805,13.5,15.01,304848,0
BEAM.US,D,20200318,000000,14.44,16.375,14.283,15.21,171522,0
BEAM.US,D,20200319,000000,15.29,18.39,15.2001,16.86,279100,0
BEAM.US,D,20200320,000000,17.07,23.095,17.02,19.4,1920885,0
BEAM.US,D,20200323,000000,19.43,19.885,17.0701,18.01,363898,0
BEAM.US,D,20200324,000000,18.5,20.11,18.1101,19.16,222726,0
BEAM.US,D,20200325,000000,19,20.47,17.66,19.6,299791,0
BEAM.US,D,20200326,000000,19.45,20.45,18.635,19,172332,0
BEAM.US,D,20200327,000000,18.67,18.67,17.05,18.05,95772,0
BEAM.US,D,20200330,000000,18,18.32,17.22,18,106180,0
BEAM.US,D,20200331,000000,17.99,19.0027,16.88,18,139598,0
BEAM.US,D,20200401,000000,17.31,17.6,16,16.12,173844,0
BEAM.US,D,20200402,000000,16.12,16.63,15.034,15.26,129688,0
BEAM.US,D,20200403,000000,15.24,16.47,15.1,16.11,227172,0
BEAM.US,D,20200406,000000,16.54,17.7473,16.165,16.65,177498,0
BEAM.US,D,20200407,000000,17.3,17.5,15.55,15.81,128400,0
BEAM.US,D,20200408,000000,16.04,16.72,15.44,16.7,145289,0
BEAM.US,D,20200409,000000,16.83,17.1999,16.08,16.62,179661,0
BEAM.US,D,20200413,000000,16.73,16.73,15.82,16.1,164839,0
BEAM.US,D,20200414,000000,16.5,17.21,16.19,17.07,296445,0
BEAM.US,D,20200415,000000,16.8,16.99,15.6665,15.9,125434,0
BEAM.US,D,20200416,000000,16.23,16.23,15.3434,16.17,139010,0
BEAM.US,D,20200417,000000,16.63,16.75,15.66,15.98,190818,0
BEAM.US,D,20200420,000000,15.99,16.94,15.8,16.56,345397,0
BEAM.US,D,20200421,000000,16.5,16.5,15.68,16.1,169282,0
BEAM.US,D,20200422,000000,16.38,16.9882,15.82,16.66,123684,0
BEAM.US,D,20200423,000000,16.81,18.47,16.7,17.74,213937,0
BEAM.US,D,20200424,000000,17.88,18.458,17.8,18.15,220844,0
BEAM.US,D,20200427,000000,18.39,18.8978,16.5,16.53,246711,0
BEAM.US,D,20200428,000000,16.8,17.19,15.66,16.3,221618,0
BEAM.US,D,20200429,000000,16.74,17.6,16.5,16.89,195780,0
BEAM.US,D,20200430,000000,16.64,16.8,15.6,15.95,239896,0
BEAM.US,D,20200501,000000,15.81,15.97,15.01,15.38,185838,0
BEAM.US,D,20200504,000000,15.08,15.8,14.8,15.76,128072,0
BEAM.US,D,20200505,000000,16.34,16.72,16.0101,16.49,179853,0
BEAM.US,D,20200506,000000,16.35,16.55,15.85,16.08,150827,0
BEAM.US,D,20200507,000000,16.16,17.35,16.04,16.84,165805,0
BEAM.US,D,20200508,000000,17.05,17.2,16.7,16.89,80080,0
BEAM.US,D,20200511,000000,16.93,20.8,16.8,20.71,433338,0
BEAM.US,D,20200512,000000,20.6,21.88,18.81,19.95,335987,0
BEAM.US,D,20200513,000000,20.03,24.2965,19.62,21.4,491398,0
BEAM.US,D,20200514,000000,20.88,21,19.26,19.51,271603,0
BEAM.US,D,20200515,000000,19.53,21.9999,19.25,21.41,211707,0
BEAM.US,D,20200518,000000,22.5,23.79,21.11,21.49,299122,0
BEAM.US,D,20200519,000000,21.86,24.25,21.86,23.51,311030,0
BEAM.US,D,20200520,000000,23.95,27.25,23.75,25.58,365114,0
BEAM.US,D,20200521,000000,26.02,27.22,25.6,26.55,263462,0
BEAM.US,D,20200522,000000,26.42,26.535,24.52,25.62,321275,0
BEAM.US,D,20200526,000000,26.4,27.28,22.91,24.32,286928,0
BEAM.US,D,20200527,000000,24.54,24.78,22.5,24.59,140460,0
BEAM.US,D,20200528,000000,24.69,26.44,23.88,25.02,244945,0
BEAM.US,D,20200529,000000,24.99,25.755,23.9553,25.55,271132,0
BEAM.US,D,20200601,000000,25.6,27.19,24.93,26.18,227965,0
BEAM.US,D,20200602,000000,26.19,28.27,25.515,28.05,236420,0
BEAM.US,D,20200603,000000,27.99,28.85,27.06,28.13,246155,0
BEAM.US,D,20200604,000000,27.9,28.18,26.57,27.28,225649,0
BEAM.US,D,20200605,000000,27.95,28.11,25.51,25.73,208961,0
BEAM.US,D,20200608,000000,26.42,28.44,26.15,27.76,314028,0
BEAM.US,D,20200609,000000,27.49,27.98,26.89,27.78,128566,0
BEAM.US,D,20200610,000000,27.77,27.96,26.06,26.74,190372,0
BEAM.US,D,20200611,000000,26.06,26.45,25.05,25.5,225299,0
BEAM.US,D,20200612,000000,26.24,26.24,24.23,24.94,239829,0
BEAM.US,D,20200615,000000,24.5,27.36,24.5,26.85,419603,0
BEAM.US,D,20200616,000000,27.53,27.53,26.5131,27,281813,0
BEAM.US,D,20200617,000000,27.21,27.26,24.11,25.65,717779,0
BEAM.US,D,20200618,000000,25.47,27.095,25.01,26.6,628919,0
BEAM.US,D,20200619,000000,26.82,28.1,25.71,27.3,1179616,0
BEAM.US,D,20200622,000000,26.61,29.94,26.04,28.66,556382,0
BEAM.US,D,20200623,000000,29.09,30.16,26.02,26.36,568577,0
BEAM.US,D,20200624,000000,26.52,27.5599,25.77,26.21,224730,0
BEAM.US,D,20200625,000000,26.2,26.92,25.8501,26.51,126636,0
BEAM.US,D,20200626,000000,26.5,26.77,24.25,24.95,343772,0
BEAM.US,D,20200629,000000,26.56,27.6137,25.6478,27.46,228976,0
BEAM.US,D,20200630,000000,27.32,28.39,26.85,28,236403,0
BEAM.US,D,20200701,000000,28.19,28.93,27.63,28.51,236995,0
BEAM.US,D,20200702,000000,29,29.39,28.02,28.87,176436,0
BEAM.US,D,20200706,000000,29.35,30.9799,29.15,29.42,320815,0
BEAM.US,D,20200707,000000,29.32,30.3,28.34,28.61,181662,0
BEAM.US,D,20200708,000000,28.74,29.62,28.245,29.01,160684,0
BEAM.US,D,20200709,000000,29.2,31,28.425,30.57,341191,0
BEAM.US,D,20200710,000000,30.7,30.7,26.24,26.73,470313,0
BEAM.US,D,20200713,000000,27.49,27.8806,25.01,25.03,271819,0
BEAM.US,D,20200714,000000,25.03,25.935,23.13,25.09,628029,0
BEAM.US,D,20200715,000000,25.63,26.19,23.57,24.42,394024,0
BEAM.US,D,20200716,000000,24.48,24.51,23.09,23.74,388931,0
BEAM.US,D,20200717,000000,23.72,24.24,23.01,23.66,159628,0
BEAM.US,D,20200720,000000,23.95,24.15,22.51,23.2,204290,0
BEAM.US,D,20200721,000000,23.35,23.7847,22.22,22.41,166943,0
BEAM.US,D,20200722,000000,22.34,22.88,22.1,22.52,128471,0
BEAM.US,D,20200723,000000,22.53,23.19,21.7323,21.91,161306,0
BEAM.US,D,20200724,000000,21.72,21.8599,20.85,21.16,122261,0
BEAM.US,D,20200727,000000,21.39,21.91,21.1374,21.51,231192,0
BEAM.US,D,20200728,000000,21.67,21.724,20.75,20.82,176904,0
BEAM.US,D,20200729,000000,21.01,21.3792,20.36,20.56,136415,0
BEAM.US,D,20200730,000000,20,20.86,19.9,20.37,192285,0
BEAM.US,D,20200731,000000,20.5,20.9621,19.055,19.34,289319,0
BEAM.US,D,20200803,000000,20.7,20.7,18.76,19.005,701510,0
BEAM.US,D,20200804,000000,19.5,19.7513,18.83,19.41,610167,0
BEAM.US,D,20200805,000000,20.05,21.48,19.5,21.28,795287,0
BEAM.US,D,20200806,000000,27.15,27.45,23,24.52,3152827,0
BEAM.US,D,20200807,000000,24.98,24.99,23.08,23.47,799282,0
BEAM.US,D,20200810,000000,24.49,24.5,23.8574,24.1,655139,0
BEAM.US,D,20200811,000000,24.25,24.72,23.57,23.62,438389,0
