<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CBLL.US,D,20241011,000000,23.26,25.83,23,25,3571200,0
CBLL.US,D,20241014,000000,25.3,25.88,24.1,25.5,757520,0
CBLL.US,D,20241015,000000,25.36,26.2021,25,25.53,335797,0
CBLL.US,D,20241016,000000,25.61,26.88,25.61,26.43,490088,0
CBLL.US,D,20241017,000000,26.84,26.84,25.635,26.5,266871,0
CBLL.US,D,20241018,000000,26.9,27.41,26.2,26.67,421999,0
CBLL.US,D,20241021,000000,26.47,27.71,25.87,27.05,508064,0
CBLL.US,D,20241022,000000,27.05,27.2,26.32,26.35,397532,0
CBLL.US,D,20241023,000000,25.99,26.64,25.99,26.21,82269,0
CBLL.US,D,20241024,000000,26.01,26.9,26.01,26.43,98282,0
CBLL.US,D,20241025,000000,26.57,26.825,26.09,26.28,215010,0
CBLL.US,D,20241028,000000,25.48,26.28,25.023,25.96,145338,0
CBLL.US,D,20241029,000000,26.01,26.64,25.4051,26.2,162449,0
CBLL.US,D,20241030,000000,26.25,26.48,25.605,26.01,188000,0
CBLL.US,D,20241031,000000,26.01,26.84,25.7,26.29,114228,0
CBLL.US,D,20241101,000000,26.84,26.84,26.305,26.42,50076,0
CBLL.US,D,20241104,000000,26.71,26.76,26.06,26.24,68625,0
CBLL.US,D,20241105,000000,26.99,27.32,26.2701,26.96,239717,0
CBLL.US,D,20241106,000000,27,28.94,26.49,27.78,158043,0
CBLL.US,D,20241107,000000,28.09,29.53,27.92,28.95,142850,0
CBLL.US,D,20241108,000000,28.95,29.17,28.08,28.27,63857,0
CBLL.US,D,20241111,000000,29.31,29.31,27.5301,28.9,139512,0
CBLL.US,D,20241112,000000,29,29.4,28.025,28.85,195781,0
CBLL.US,D,20241113,000000,29,29,26.69,27.88,204241,0
CBLL.US,D,20241114,000000,28.01,28.74,27.46,27.55,72985,0
CBLL.US,D,20241115,000000,27.94,28.75,26.48,26.53,111374,0
CBLL.US,D,20241118,000000,26.51,27.9082,24.18,25,118872,0
CBLL.US,D,20241119,000000,24.5,25.69,24.5,25.57,215541,0
CBLL.US,D,20241120,000000,25.51,25.8,24.835,25.06,302309,0
CBLL.US,D,20241121,000000,24.81,25.79,24.81,25.23,220087,0
CBLL.US,D,20241122,000000,25.51,26.33,25.3,26.31,66875,0
CBLL.US,D,20241125,000000,26.71,29.19,26.71,28.94,143870,0
CBLL.US,D,20241126,000000,28.69,29.33,27.61,27.68,182487,0
CBLL.US,D,20241127,000000,27.69,29.2,27.69,28.84,73819,0
CBLL.US,D,20241129,000000,28.94,29.34,28.74,28.79,67941,0
CBLL.US,D,20241202,000000,28.53,29.2399,27.9,28.02,142181,0
CBLL.US,D,20241203,000000,27.81,29.7025,27.81,29.47,150930,0
CBLL.US,D,20241204,000000,29.5,29.885,28.71,28.94,79320,0
CBLL.US,D,20241205,000000,29,29.265,28.06,28.28,99903,0
CBLL.US,D,20241206,000000,28.03,30.43,28.03,30.24,242939,0
CBLL.US,D,20241209,000000,30.89,32.535,29.08,30.04,179632,0
CBLL.US,D,20241210,000000,29.93,31.4,28.97,29.625,96171,0
CBLL.US,D,20241211,000000,29.63,30.245,29.305,29.61,69242,0
CBLL.US,D,20241212,000000,29.98,32.7489,28.92,29.2,94045,0
CBLL.US,D,20241213,000000,28.91,29.96,28.91,29.22,105848,0
CBLL.US,D,20241216,000000,28.88,29.65,27.5,28.6,651590,0
CBLL.US,D,20241217,000000,28.61,29.7,26.82,27.43,340401,0
CBLL.US,D,20241218,000000,27,28.43,26.53,26.92,318723,0
CBLL.US,D,20241219,000000,26.53,27.62,25.75,26.73,291003,0
CBLL.US,D,20241220,000000,26.34,28.23,26,26.92,2553159,0
CBLL.US,D,20241223,000000,26.57,27.58,26.45,26.72,184831,0
CBLL.US,D,20241224,000000,26.58,27.0475,26.16,26.98,107356,0
CBLL.US,D,20241226,000000,26.6,27.215,26.19,26.48,115626,0
CBLL.US,D,20241227,000000,26.32,26.61,25.8,26.45,126423,0
CBLL.US,D,20241230,000000,26.27,26.27,25.06,25.86,149465,0
CBLL.US,D,20241231,000000,25.88,26.42,25.05,25.88,137983,0
CBLL.US,D,20250102,000000,26.11,26.83,25.7,25.86,90049,0
CBLL.US,D,20250103,000000,25.44,25.88,23.89,24.29,181206,0
CBLL.US,D,20250106,000000,24.05,24.345,22.24,22.55,389488,0
CBLL.US,D,20250107,000000,22.41,23.49,22.185,23.44,246952,0
CBLL.US,D,20250108,000000,23.34,23.58,22.69,23.02,99460,0
CBLL.US,D,20250110,000000,22.71,22.84,20.1,20.93,180978,0
CBLL.US,D,20250113,000000,20.51,20.84,19.805,20.84,385746,0
CBLL.US,D,20250114,000000,21.13,21.13,18.69,19.09,200828,0
CBLL.US,D,20250115,000000,19.62,20.85,19.2,20.03,277394,0
CBLL.US,D,20250116,000000,19.89,20.47,19.52,20.15,115582,0
CBLL.US,D,20250117,000000,20.23,21.07,19.95,21.04,257470,0
CBLL.US,D,20250121,000000,21.18,23.2191,21.13,22.94,178738,0
CBLL.US,D,20250122,000000,23.05,24.425,23.05,23.24,123387,0
CBLL.US,D,20250123,000000,23.31,24.365,22.87,23.07,152994,0
CBLL.US,D,20250124,000000,22.86,23.38,22.65,22.96,356771,0
CBLL.US,D,20250127,000000,22.79,23.1209,22.215,22.62,204691,0
CBLL.US,D,20250128,000000,22.5,23.59,22.3806,23.33,105587,0
CBLL.US,D,20250129,000000,23.32,23.69,22.945,23.25,124542,0
CBLL.US,D,20250130,000000,23.32,24.71,23.32,23.8,85482,0
CBLL.US,D,20250131,000000,23.73,24,22.99,23.01,98606,0
CBLL.US,D,20250203,000000,22.36,23.52,22.36,23.17,88157,0
CBLL.US,D,20250204,000000,22.97,23.3926,22.875,22.98,168927,0
CBLL.US,D,20250205,000000,22.9,23.4763,22.48,22.95,135812,0
CBLL.US,D,20250206,000000,22.79,22.8,22.3878,22.61,134552,0
CBLL.US,D,20250207,000000,22.67,22.83,21.21,21.27,151600,0
CBLL.US,D,20250210,000000,21.27,22,20.73,21.44,91847,0
CBLL.US,D,20250211,000000,21.22,22.25,21.22,21.84,87935,0
CBLL.US,D,20250212,000000,21.51,22.34,21.39,22.32,111718,0
CBLL.US,D,20250213,000000,22.59,22.59,21.87,21.9,116974,0
CBLL.US,D,20250214,000000,21.99,22.38,21.39,21.44,302166,0
CBLL.US,D,20250218,000000,21.53,22.16,21.53,21.97,94699,0
CBLL.US,D,20250219,000000,21.97,22.235,21.885,22.15,73279,0
CBLL.US,D,20250220,000000,22.03,23.46,21.835,23.11,178561,0
CBLL.US,D,20250221,000000,23.48,25.085,23.29,24.69,320260,0
CBLL.US,D,20250224,000000,24.74,25.488,24.04,25.43,343789,0
CBLL.US,D,20250225,000000,25.52,26.04,24.1239,25.54,436597,0
CBLL.US,D,20250226,000000,25.4,25.98,25,25.2,232863,0
CBLL.US,D,20250227,000000,25.09,25.37,23.52,23.76,228099,0
CBLL.US,D,20250228,000000,23.68,24.2,22.93,23.24,375746,0
CBLL.US,D,20250303,000000,23.33,24.64,23.27,24.62,228147,0
CBLL.US,D,20250304,000000,24.51,24.68,23.35,23.76,346845,0
CBLL.US,D,20250305,000000,23.89,24.31,22.88,23.34,227584,0
CBLL.US,D,20250306,000000,23.24,23.24,21.35,22.22,344005,0
CBLL.US,D,20250307,000000,22.23,22.79,21.67,22.69,333538,0
CBLL.US,D,20250310,000000,22.68,22.98,21.81,22.21,257758,0
CBLL.US,D,20250311,000000,22.26,23.23,22,23.23,197309,0
CBLL.US,D,20250312,000000,23.25,23.275,21.56,21.56,135432,0
CBLL.US,D,20250313,000000,21.71,21.92,20.88,21.4,141684,0
CBLL.US,D,20250314,000000,21.42,21.75,21.03,21.03,126927,0
CBLL.US,D,20250317,000000,22.09,22.09,20.41,20.47,141980,0
CBLL.US,D,20250318,000000,20.5,20.855,19.985,20.68,148204,0
CBLL.US,D,20250319,000000,20.64,20.94,20.44,20.635,76028,0
CBLL.US,D,20250320,000000,20.46,20.97,20.17,20.27,146066,0
CBLL.US,D,20250321,000000,20.18,20.73,20.01,20.42,140416,0
CBLL.US,D,20250324,000000,20.6,21.16,20.55,21.05,244781,0
CBLL.US,D,20250325,000000,21.24,21.24,20.05,20.16,87241,0
CBLL.US,D,20250326,000000,20.16,20.325,19.51,19.57,113646,0
CBLL.US,D,20250327,000000,19.5,19.89,19.28,19.83,87779,0
CBLL.US,D,20250328,000000,19.77,19.95,19.405,19.46,136057,0
CBLL.US,D,20250331,000000,19.26,19.5,18.8,19.21,157679,0
CBLL.US,D,20250401,000000,19,19.12,18.5005,18.77,84510,0
CBLL.US,D,20250402,000000,18.52,19.39,18.52,19.24,115360,0
CBLL.US,D,20250403,000000,18.74,18.955,18.09,18.73,148386,0
CBLL.US,D,20250404,000000,18.98,19.03,17.67,18.44,182944,0
