<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ALMS.US,D,20240628,000000,13.5,13.53,12.02,13.3,1767553,0
ALMS.US,D,20240701,000000,12.82,13.5,12.42,12.54,330566,0
ALMS.US,D,20240702,000000,12.5,12.5706,11.75,11.94,281556,0
ALMS.US,D,20240703,000000,12,12.105,11.65,11.65,158720,0
ALMS.US,D,20240705,000000,12.23,12.23,10.85,11.45,271428,0
ALMS.US,D,20240708,000000,11.63,12.9699,10.92,12.75,116261,0
ALMS.US,D,20240709,000000,12.85,12.86,11.58,11.75,193522,0
ALMS.US,D,20240710,000000,11.99,13.08,11.525,12.96,159382,0
ALMS.US,D,20240711,000000,13.36,13.36,11.945,12.37,138268,0
ALMS.US,D,20240712,000000,12.07,12.49,11.09,11.09,100133,0
ALMS.US,D,20240715,000000,11.07,11.4,10.45,11.29,241894,0
ALMS.US,D,20240716,000000,11.49,11.49,10.575,11.09,111277,0
ALMS.US,D,20240717,000000,11.33,12.64,11.02,12.58,189602,0
ALMS.US,D,20240718,000000,12.58,12.99,11.9927,12.51,133353,0
ALMS.US,D,20240719,000000,12.5,13,12.29,12.5,69034,0
ALMS.US,D,20240722,000000,12.51,13,12.26,13,100851,0
ALMS.US,D,20240723,000000,13.4,13.5,12.58,12.6,224149,0
ALMS.US,D,20240724,000000,12.6,13.08,12.394,12.815,135834,0
ALMS.US,D,20240725,000000,12.99,12.99,12.47,12.85,87389,0
ALMS.US,D,20240726,000000,12.92,13,12.43,12.5,83967,0
ALMS.US,D,20240729,000000,12.5,13,12.3,12.78,205120,0
ALMS.US,D,20240730,000000,12.96,12.96,11.65,11.95,262538,0
ALMS.US,D,20240731,000000,12.06,13.2,11.76,12.3,246979,0
ALMS.US,D,20240801,000000,12.5,12.9488,12,12.69,124958,0
ALMS.US,D,20240802,000000,12.5,13,12.445,12.98,106095,0
ALMS.US,D,20240805,000000,12.5,12.71,11.52,11.86,304382,0
ALMS.US,D,20240806,000000,11.86,12.9,11.82,12.26,102874,0
ALMS.US,D,20240807,000000,12.21,12.7994,11.775,12.16,71747,0
ALMS.US,D,20240808,000000,11.775,12.59,11.755,12.21,71337,0
ALMS.US,D,20240809,000000,12.34,12.51,11.57,11.96,67356,0
ALMS.US,D,20240812,000000,11.97,12.565,11.7,11.99,115683,0
ALMS.US,D,20240813,000000,12.06,12.71,12.05,12.54,53620,0
ALMS.US,D,20240814,000000,12.25,13,12.1,12.71,105513,0
ALMS.US,D,20240815,000000,12.84,12.99,12.55,12.87,52684,0
ALMS.US,D,20240816,000000,12.68,12.9899,12.46,12.8,72052,0
ALMS.US,D,20240819,000000,12.94,13,12.415,13,135992,0
ALMS.US,D,20240820,000000,12.99,13,12.67,13,141863,0
ALMS.US,D,20240821,000000,12.98,13.01,12.32,12.99,161933,0
ALMS.US,D,20240822,000000,12.99,13,12.6001,12.89,184261,0
ALMS.US,D,20240823,000000,13,13,12.36,12.76,157112,0
ALMS.US,D,20240826,000000,12.8,13.08,12.49,13,220255,0
ALMS.US,D,20240827,000000,13.05,13.05,12.51,12.6,105629,0
ALMS.US,D,20240828,000000,12.74,13.01,12.53,12.81,84411,0
ALMS.US,D,20240829,000000,12.82,13.07,12.68,12.77,139978,0
ALMS.US,D,20240830,000000,12.8,12.91,12.56,12.7,80269,0
ALMS.US,D,20240903,000000,12.79,12.79,11.72,12.2,141657,0
ALMS.US,D,20240904,000000,12.49,12.51,11.57,11.91,143140,0
ALMS.US,D,20240905,000000,12.11,12.495,11.615,11.78,131854,0
ALMS.US,D,20240906,000000,11.89,12.05,11.695,11.96,143961,0
ALMS.US,D,20240909,000000,12.11,12.445,11.77,11.8,134575,0
ALMS.US,D,20240910,000000,12.01,12.06,11.48,11.48,44560,0
ALMS.US,D,20240911,000000,11.36,11.575,10.715,10.93,63600,0
