<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DMAA.US,D,20250225,000000,9.98,9.98,9.95,9.96,1729355,0
DMAA.US,D,20250226,000000,9.97,9.97,9.97,9.97,1472,0
DMAA.US,D,20250227,000000,9.97,9.97,9.96,9.96,101403,0
DMAA.US,D,20250228,000000,9.97,9.97,9.97,9.97,536,0
DMAA.US,D,20250303,000000,9.97,9.97,9.96,9.96,382010,0
DMAA.US,D,20250304,000000,9.97,9.97,9.96,9.96,202963,0
DMAA.US,D,20250305,000000,9.96,9.98,9.96,9.975,1797550,0
DMAA.US,D,20250306,000000,9.97,9.99,9.97,9.99,1019042,0
DMAA.US,D,20250307,000000,9.98,10,9.98,10,201948,0
DMAA.US,D,20250310,000000,9.98,10,9.98,10,164289,0
DMAA.US,D,20250311,000000,10,10,9.98,9.98,53824,0
DMAA.US,D,20250312,000000,9.99,10.04,9.989,10.04,25272,0
DMAA.US,D,20250313,000000,10,10.005,9.99,9.99,92373,0
DMAA.US,D,20250314,000000,10.01,10.01,9.985,9.99,592680,0
DMAA.US,D,20250317,000000,10,10,9.99,10,13544,0
DMAA.US,D,20250318,000000,10,10,10,10,2841,0
DMAA.US,D,20250319,000000,10,10.02,10,10,633716,0
DMAA.US,D,20250320,000000,10.01,10.01,10.0094,10.01,2283,0
DMAA.US,D,20250321,000000,10.01,10.02,10.01,10.02,52213,0
DMAA.US,D,20250324,000000,10.04,10.04,10.04,10.04,300,0
DMAA.US,D,20250325,000000,10.01,10.02,10.01,10.02,132140,0
DMAA.US,D,20250326,000000,10.03,10.03,10.02,10.02,32350,0
DMAA.US,D,20250327,000000,10.03,10.03,10.03,10.03,31866,0
DMAA.US,D,20250328,000000,10.025,10.05,10.025,10.04,54623,0
DMAA.US,D,20250331,000000,10.15,10.15,10.02,10.02,14469,0
DMAA.US,D,20250401,000000,10.27,10.27,10.02,10.03,47539,0
DMAA.US,D,20250402,000000,10.03,10.04,10.0289,10.04,15887,0
DMAA.US,D,20250403,000000,10.0204,10.07,10.0204,10.06,2929,0
DMAA.US,D,20250404,000000,10.05,10.05,10.02,10.02,4019,0
