<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CORO.US,D,20241209,000000,25.39,25.39,25.2466,25.2466,3546,0
CORO.US,D,20241210,000000,25.17,25.17,25.01,25.01,1881,0
CORO.US,D,20241211,000000,25.05,25.1111,25.05,25.1111,647,0
CORO.US,D,20241212,000000,25.01,25.01,24.9175,24.9175,1113,0
CORO.US,D,20241220,000000,24.13,24.1348,24.13,24.1348,165,0
CORO.US,D,20241230,000000,23.95,23.95,23.73,23.8091,8046,0
CORO.US,D,20241231,000000,23.73,23.7732,23.71,23.7732,524,0
CORO.US,D,20250102,000000,23.8399,23.8399,23.7237,23.7237,140,0
CORO.US,D,20250103,000000,23.78,23.8522,23.78,23.8522,210,0
CORO.US,D,20250107,000000,24.03,24.03,23.9653,23.9653,139,0
CORO.US,D,20250227,000000,25.53,25.538,25.2859,25.2859,824,0
CORO.US,D,20250228,000000,25.22,25.2248,25.2,25.2248,1208,0
CORO.US,D,20250305,000000,25.98,25.98,25.9671,25.9671,607,0
CORO.US,D,20250313,000000,25.398,25.4,25.3596,25.3596,820,0
CORO.US,D,20250319,000000,26.13,26.26,26.1299,26.25,8127,0
CORO.US,D,20250327,000000,25.77,25.77,25.7489,25.7489,916,0
CORO.US,D,20250328,000000,25.51,25.51,25.4319,25.4319,828,0
CORO.US,D,20250404,000000,23.931,23.9749,23.3456,23.3456,378,0
