<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ADVB.US,D,20250306,000000,4,4.1,3.6,3.65,525444,0
ADVB.US,D,20250307,000000,3.73,3.84,3.31,3.65,778791,0
ADVB.US,D,20250310,000000,3.16,3.79,3.16,3.5141,141577,0
ADVB.US,D,20250311,000000,3.06,3.9059,3.06,3.8,86020,0
ADVB.US,D,20250312,000000,3.9,3.9,3.4,3.7394,212288,0
ADVB.US,D,20250313,000000,3.59,3.7,3.45,3.53,9810,0
ADVB.US,D,20250314,000000,3.6,3.8,3.45,3.78,46701,0
ADVB.US,D,20250317,000000,3.81,3.98,3.52,3.89,67350,0
ADVB.US,D,20250318,000000,3.9,3.9,3.55,3.65,32365,0
ADVB.US,D,20250319,000000,3.51,3.8,3.51,3.66,41849,0
ADVB.US,D,20250320,000000,3.68,3.755,3.51,3.68,35415,0
ADVB.US,D,20250321,000000,3.69,3.85,3.69,3.84,61743,0
ADVB.US,D,20250324,000000,3.85,3.98,3.74,3.9001,66572,0
ADVB.US,D,20250325,000000,3.84,3.98,3.83,3.8901,37865,0
ADVB.US,D,20250326,000000,3.96,3.96,3.96,3.96,727,0
ADVB.US,D,20250327,000000,3.9253,3.97,3.75,3.97,2828,0
ADVB.US,D,20250328,000000,3.98,4,3.72,4,8709,0
ADVB.US,D,20250331,000000,3.92,3.92,3.81,3.92,3138,0
ADVB.US,D,20250401,000000,3.99,3.99,3.7,3.8283,7312,0
ADVB.US,D,20250402,000000,3.8,4,3.09,3.67,551739,0
ADVB.US,D,20250403,000000,3.55,3.79,3.2,3.49,64411,0
ADVB.US,D,20250404,000000,3.35,3.65,3.16,3.36,122365,0
ADVB.US,D,20250407,000000,3.31,3.77,2.72,2.9,59846,0
ADVB.US,D,20250408,000000,2.89,2.89,1.76,1.81,38081,0
ADVB.US,D,20250409,000000,1.82,2.1,1.7617,1.975,41563,0
ADVB.US,D,20250410,000000,1.98,1.98,1.76,1.8,6135,0
ADVB.US,D,20250411,000000,1.8,1.9,1.47,1.71,83070,0
