<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CMPO.US,D,20201123,000000,8.18327,8.46545,8.18327,8.18327,717396,0
CMPO.US,D,20201124,000000,8.20816,8.28286,7.84299,8.28286,5952015,0
CMPO.US,D,20201125,000000,8.25182,8.25182,8.25182,8.25182,1249.47,0
CMPO.US,D,20201130,000000,8.21646,8.22476,8.20294,8.21646,1691804,0
CMPO.US,D,20201201,000000,8.21646,8.24136,8.21646,8.24136,82008.9,0
CMPO.US,D,20201202,000000,8.25041,8.25041,8.25041,8.25041,121.694,0
CMPO.US,D,20201203,000000,8.22476,8.25796,8.21646,8.21646,470469,0
CMPO.US,D,20201204,000000,8.24966,8.24966,8.24966,8.24966,2978.5,0
CMPO.US,D,20201207,000000,8.34096,8.34096,8.26626,8.29946,394730,0
CMPO.US,D,20201208,000000,8.30518,8.38245,8.30269,8.38245,216963,0
CMPO.US,D,20201209,000000,8.33357,8.34096,8.32983,8.34096,677987,0
CMPO.US,D,20201210,000000,8.32436,8.36585,8.32436,8.36585,15423.8,0
CMPO.US,D,20201211,000000,8.45715,8.46545,8.39075,8.44055,60982.2,0
CMPO.US,D,20201214,000000,8.49865,8.50694,8.38245,8.3866,78718.3,0
CMPO.US,D,20201215,000000,8.42395,8.44885,8.34925,8.40735,86445.4,0
CMPO.US,D,20201216,000000,8.3866,8.40735,8.38245,8.40735,2683.3,0
CMPO.US,D,20201217,000000,8.38245,8.40735,8.37208,8.40735,8040.28,0
CMPO.US,D,20201218,000000,8.48205,8.48205,8.34096,8.34925,2057.96,0
CMPO.US,D,20201221,000000,8.38245,8.38245,8.38245,8.38245,3871.33,0
CMPO.US,D,20201222,000000,8.39075,8.42395,8.37415,8.38245,29066.9,0
CMPO.US,D,20201223,000000,8.37664,8.42395,8.37664,8.42378,63894.5,0
CMPO.US,D,20201224,000000,8.39075,8.48205,8.38245,8.4696,786394,0
CMPO.US,D,20201228,000000,8.51524,8.51524,8.4364,8.46545,17968.6,0
CMPO.US,D,20201229,000000,8.65633,8.68679,8.38254,8.39075,24090.7,0
CMPO.US,D,20201230,000000,8.41316,8.46545,8.41316,8.44885,11541.7,0
CMPO.US,D,20201231,000000,8.40071,8.42395,8.38245,8.39075,18869.9,0
CMPO.US,D,20210104,000000,8.50694,8.50694,8.41565,8.44055,28107.8,0
CMPO.US,D,20210105,000000,8.46545,8.50404,8.44121,8.45715,95699,0
CMPO.US,D,20210106,000000,8.56504,8.56504,8.42395,8.49865,1301846,0
CMPO.US,D,20210107,000000,8.48205,8.49865,8.45715,8.47898,15072,0
CMPO.US,D,20210108,000000,8.58579,8.63144,8.51524,8.56504,83475.3,0
CMPO.US,D,20210111,000000,8.56504,8.63144,8.52479,8.56238,77650.8,0
CMPO.US,D,20210112,000000,8.58994,8.66463,8.58073,8.60654,298625,0
CMPO.US,D,20210113,000000,8.60654,8.74763,8.59824,8.68945,331281,0
CMPO.US,D,20210114,000000,8.68132,8.78083,8.58994,8.75593,88708.2,0
CMPO.US,D,20210115,000000,8.73933,8.78083,8.53184,8.64804,192406,0
CMPO.US,D,20210119,000000,8.57334,8.72273,8.57334,8.71443,679667,0
CMPO.US,D,20210120,000000,8.57973,8.68953,8.57973,8.63144,59894.2,0
CMPO.US,D,20210121,000000,8.72007,8.72007,8.63974,8.63974,18795.2,0
CMPO.US,D,20210122,000000,8.59824,8.69775,8.59824,8.63974,12042.9,0
CMPO.US,D,20210125,000000,8.68123,8.92192,8.68123,8.83062,505149,0
CMPO.US,D,20210126,000000,8.80573,8.82232,8.67293,8.77253,317868,0
CMPO.US,D,20210127,000000,8.73933,8.73933,8.44885,8.44893,261313,0
CMPO.US,D,20210128,000000,8.66463,8.66463,8.46545,8.54844,202037,0
CMPO.US,D,20210129,000000,8.51524,8.63144,8.48769,8.55674,210958,0
CMPO.US,D,20210201,000000,8.55674,8.67293,8.55674,8.64804,137072,0
CMPO.US,D,20210202,000000,8.66463,8.67293,8.58994,8.63144,169041,0
CMPO.US,D,20210203,000000,8.63144,8.65219,8.615,8.63144,54407.1,0
CMPO.US,D,20210204,000000,8.63559,8.71443,8.63559,8.67293,156423,0
CMPO.US,D,20210205,000000,8.71451,8.74763,8.60654,8.63144,437739,0
