<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FERAU.US,D,20250228,000000,10.01,10.02,10,10.02,6743509,0
FERAU.US,D,20250303,000000,10.01,10.02,10,10.01,404771,0
FERAU.US,D,20250304,000000,10.02,10.02,10,10,92556,0
FERAU.US,D,20250305,000000,10.02,10.03,10,10.01,795321,0
FERAU.US,D,20250306,000000,10,10.02,10,10.01,60789,0
FERAU.US,D,20250307,000000,10.01,10.02,10.01,10.02,6801,0
FERAU.US,D,20250310,000000,10.01,10.01,10.01,10.01,1949,0
FERAU.US,D,20250311,000000,10.02,10.03,10.01,10.0268,288704,0
FERAU.US,D,20250312,000000,10.02,10.02,10.01,10.02,22236,0
FERAU.US,D,20250313,000000,10.03,10.03,10.02,10.02,150202,0
FERAU.US,D,20250314,000000,10.03,10.03,10.02,10.02,178932,0
FERAU.US,D,20250317,000000,10.0282,10.03,10.02,10.03,185776,0
FERAU.US,D,20250318,000000,10.03,10.04,10.02,10.03,178062,0
FERAU.US,D,20250319,000000,10.02,10.03,10.02,10.03,30998,0
FERAU.US,D,20250320,000000,10.025,10.04,10.02,10.04,14040,0
FERAU.US,D,20250321,000000,10.04,10.04,10.04,10.04,300,0
FERAU.US,D,20250324,000000,10.04,10.04,10.04,10.04,100003,0
FERAU.US,D,20250326,000000,10.04,10.07,10.04,10.07,297587,0
FERAU.US,D,20250328,000000,10.06,10.065,10.06,10.06,19526,0
FERAU.US,D,20250331,000000,10.07,10.07,10.07,10.07,8163,0
FERAU.US,D,20250401,000000,10.07,10.07,10.05,10.05,5202,0
FERAU.US,D,20250402,000000,10.07,10.07,10.06,10.07,23708,0
FERAU.US,D,20250403,000000,10.06,10.07,10.06,10.07,1162,0
FERAU.US,D,20250404,000000,10.06,10.06,10.045,10.05,74512,0
