<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BKHAR.US,D,20241213,000000,0.85,1.15,0.85,1,15514,0
BKHAR.US,D,20241216,000000,1.09,1.2,1.01,1.02,4424,0
BKHAR.US,D,20241218,000000,1.01,1.01,0.9002,1,1100,0
BKHAR.US,D,20250114,000000,1.1,1.25,1.1,1.2,10504,0
BKHAR.US,D,20250115,000000,1.2,1.3,1.2,1.2,2364,0
BKHAR.US,D,20250121,000000,1.1999,1.6,1.1999,1.48,18451,0
BKHAR.US,D,20250122,000000,1.49,1.58,1.2574,1.495,13631,0
BKHAR.US,D,20250123,000000,1.38,1.5,1.3,1.5,3840,0
BKHAR.US,D,20250124,000000,1.4059,1.4059,1.4001,1.4001,1952,0
BKHAR.US,D,20250128,000000,1.49,1.58,1.49,1.58,975,0
BKHAR.US,D,20250130,000000,1.58,2.19,1.46,1.88,45462,0
BKHAR.US,D,20250131,000000,1.85,2,1.61,1.63,16407,0
BKHAR.US,D,20250203,000000,1.63,2.75,1.61,2,26796,0
BKHAR.US,D,20250204,000000,1.72,2.08,1.7,1.995,19656,0
BKHAR.US,D,20250205,000000,1.89,2.05,1.85,1.85,10647,0
BKHAR.US,D,20250206,000000,2.05,2.09,1.8,1.96,11802,0
BKHAR.US,D,20250207,000000,2.07,2.07,1.72,1.85,9603,0
BKHAR.US,D,20250210,000000,2.03,2.03,1.73,1.9,40269,0
BKHAR.US,D,20250211,000000,1.85,2.03,1.8,1.8,3852,0
BKHAR.US,D,20250212,000000,2.19,2.3,1.86,2,10459,0
BKHAR.US,D,20250213,000000,1.91,2.09,1.9,2.09,606,0
BKHAR.US,D,20250218,000000,2.09,2.3182,1.9,2.3182,5950,0
BKHAR.US,D,20250219,000000,2.4,2.45,2.4,2.45,3100,0
BKHAR.US,D,20250220,000000,2.49,2.79,2.35,2.35,4277,0
BKHAR.US,D,20250221,000000,2.44,2.65,1.91,2.1,23089,0
BKHAR.US,D,20250224,000000,2.11,2.11,1.81,1.97,7623,0
BKHAR.US,D,20250225,000000,1.81,2,1.54,1.9,17737,0
BKHAR.US,D,20250227,000000,1.62,1.95,1.62,1.8,3806,0
BKHAR.US,D,20250228,000000,1.8,2,1.7,1.7,1070,0
BKHAR.US,D,20250303,000000,1.72,1.72,1.72,1.72,1321,0
BKHAR.US,D,20250304,000000,1.73,2,1.73,1.85,9988,0
BKHAR.US,D,20250305,000000,1.91,2.09,1.55,1.8,7241,0
BKHAR.US,D,20250306,000000,1.58,1.58,1.58,1.58,590,0
BKHAR.US,D,20250311,000000,1.69,1.83,1.69,1.83,265,0
BKHAR.US,D,20250312,000000,1.6,1.63,1.55,1.63,1070,0
BKHAR.US,D,20250313,000000,1.8,2.2,1.8,2.13,7812,0
BKHAR.US,D,20250314,000000,2.35,2.35,1.91,2,2141,0
BKHAR.US,D,20250317,000000,1.99,2.15,1.67,1.82,8335,0
BKHAR.US,D,20250318,000000,1.85,1.85,1.85,1.85,607,0
BKHAR.US,D,20250319,000000,1.81,1.81,1.76,1.76,305,0
BKHAR.US,D,20250324,000000,1.71,1.71,1.55,1.65,2594,0
BKHAR.US,D,20250326,000000,1.61,1.65,1.6,1.65,812,0
BKHAR.US,D,20250331,000000,1.56,1.56,1.5,1.5,321,0
BKHAR.US,D,20250401,000000,1.86,1.86,1.61,1.61,1113,0
BKHAR.US,D,20250408,000000,1.8,1.8,1.8,1.8,354,0
BKHAR.US,D,20250410,000000,1.61,1.87,1.61,1.87,312,0
BKHAR.US,D,20250411,000000,1.7,1.8,1.7,1.8,601,0
