<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CREVW.US,D,20231106,000000,0.2,0.2,0.111,0.1283,1452899,0
CREVW.US,D,20231107,000000,0.15,0.15,0.1052,0.1448,405590,0
CREVW.US,D,20231108,000000,0.13,0.13,0.0715,0.08,107921,0
CREVW.US,D,20231109,000000,0.09,0.12,0.0607,0.1,102799,0
CREVW.US,D,20231110,000000,0.0803,0.102,0.0612,0.075399,33671,0
CREVW.US,D,20231113,000000,0.0792,0.1009,0.0705,0.0705,41155,0
CREVW.US,D,20231114,000000,0.065,0.08,0.065,0.065,14839,0
CREVW.US,D,20231115,000000,0.067,0.1,0.0625,0.0625,57180,0
CREVW.US,D,20231116,000000,0.0849,0.0998,0.0505,0.089,97220,0
CREVW.US,D,20231120,000000,0.0792,0.08,0.0509,0.0509,26549,0
CREVW.US,D,20231121,000000,0.0525,0.082,0.052,0.08,9062,0
CREVW.US,D,20231122,000000,0.072001,0.0832,0.0573,0.0573,30472,0
CREVW.US,D,20231124,000000,0.0629,0.068,0.057,0.0603,3651,0
CREVW.US,D,20231127,000000,0.0629,0.0635,0.05,0.0585,199595,0
CREVW.US,D,20231128,000000,0.0575,0.1,0.0575,0.0804,175770,0
CREVW.US,D,20231129,000000,0.128,0.128,0.06,0.064,288966,0
CREVW.US,D,20231130,000000,0.06,0.07,0.056,0.056,65039,0
CREVW.US,D,20231201,000000,0.0693,0.07,0.06,0.06,20100,0
CREVW.US,D,20231204,000000,0.049101,0.06,0.049101,0.06,1997,0
CREVW.US,D,20231205,000000,0.0505,0.0683,0.05,0.0683,34515,0
CREVW.US,D,20231206,000000,0.0679,0.0683,0.0501,0.0583,11567,0
CREVW.US,D,20231207,000000,0.0555,0.06,0.026,0.0507,64845,0
CREVW.US,D,20231208,000000,0.050801,0.050801,0.0409,0.0471,27939,0
CREVW.US,D,20231211,000000,0.040101,0.0595,0.040101,0.0426,18008,0
CREVW.US,D,20231212,000000,0.0535,0.0544,0.049899,0.0539,5250,0
CREVW.US,D,20231213,000000,0.055,0.055,0.04501,0.055,41155,0
CREVW.US,D,20231214,000000,0.055,0.055,0.05005,0.0521,14410,0
CREVW.US,D,20231215,000000,0.045,0.055,0.045,0.0506,20167,0
CREVW.US,D,20231219,000000,0.0378,0.055,0.0376,0.055,50205,0
CREVW.US,D,20231220,000000,0.0505,0.0505,0.0495,0.05,5300,0
CREVW.US,D,20231221,000000,0.0424,0.0539,0.0411,0.05,76597,0
CREVW.US,D,20231222,000000,0.05,0.055,0.05,0.0501,61598,0
CREVW.US,D,20231226,000000,0.0545,0.055,0.0545,0.055,6873,0
CREVW.US,D,20231228,000000,0.0414,0.055,0.041,0.0549,10800,0
CREVW.US,D,20240103,000000,0.0393,0.0524,0.039,0.0491,9615,0
CREVW.US,D,20240105,000000,0.0449,0.0449,0.0449,0.0449,7689,0
CREVW.US,D,20240108,000000,0.0545,0.0699,0.031,0.069,55520,0
CREVW.US,D,20240109,000000,0.075,0.085,0.0525,0.0525,15370,0
CREVW.US,D,20240110,000000,0.0791,0.085,0.07,0.07,2359,0
CREVW.US,D,20240111,000000,0.079758,0.079758,0.052499,0.07,14838,0
CREVW.US,D,20240112,000000,0.08,0.08,0.0526,0.0526,735,0
CREVW.US,D,20240116,000000,0.0707,0.0707,0.0575,0.0575,9360,0
CREVW.US,D,20240117,000000,0.0555,0.06,0.0451,0.0454,73907,0
CREVW.US,D,20240118,000000,0.0584,0.059,0.0535,0.0535,1693,0
CREVW.US,D,20240119,000000,0.0536,0.07,0.04,0.07,77549,0
CREVW.US,D,20240123,000000,0.0414,0.0627,0.041,0.0627,8971,0
CREVW.US,D,20240126,000000,0.065,0.065,0.065,0.065,533,0
CREVW.US,D,20240130,000000,0.0511,0.0511,0.0511,0.0511,116,0
CREVW.US,D,20240131,000000,0.0415,0.0599,0.035,0.0501,14038,0
CREVW.US,D,20240201,000000,0.049,0.049899,0.0311,0.049899,3025,0
CREVW.US,D,20240202,000000,0.0593,0.0593,0.0593,0.0593,150,0
CREVW.US,D,20240205,000000,0.0316,0.0495,0.0313,0.0319,1049,0
CREVW.US,D,20240206,000000,0.043,0.043,0.042,0.042,2458,0
CREVW.US,D,20240207,000000,0.0593,0.06,0.0537,0.0594,2631,0
CREVW.US,D,20240208,000000,0.06,0.06,0.0594,0.06,7500,0
CREVW.US,D,20240213,000000,0.0418,0.0501,0.041,0.05,13404,0
CREVW.US,D,20240214,000000,0.04,0.04,0.0351,0.0351,3144,0
CREVW.US,D,20240215,000000,0.0495,0.07,0.0352,0.07,28462,0
CREVW.US,D,20240216,000000,0.0497,0.07,0.0449,0.0699,11797,0
CREVW.US,D,20240220,000000,0.0423,0.0686,0.0423,0.0686,405,0
CREVW.US,D,20240221,000000,0.0685,0.0685,0.0685,0.0685,1253,0
CREVW.US,D,20240223,000000,0.068,0.068,0.068,0.068,400,0
CREVW.US,D,20240228,000000,0.0595,0.068,0.043,0.0649,25334,0
CREVW.US,D,20240229,000000,0.0555,0.0555,0.05,0.0506,14683,0
CREVW.US,D,20240304,000000,0.0506,0.0506,0.045,0.045,2960,0
CREVW.US,D,20240305,000000,0.04,0.044,0.04,0.0436,15330,0
CREVW.US,D,20240306,000000,0.044,0.1,0.041078,0.0801,234666,0
CREVW.US,D,20240307,000000,0.07,0.11,0.0373,0.0651,97577,0
CREVW.US,D,20240308,000000,0.0703,0.0703,0.0657,0.0657,802,0
CREVW.US,D,20240311,000000,0.1061,0.1062,0.066,0.07,8709,0
CREVW.US,D,20240312,000000,0.099,0.0999,0.0671,0.0776,29613,0
CREVW.US,D,20240313,000000,0.084,0.0977,0.0701,0.09,84902,0
CREVW.US,D,20240314,000000,0.0606,0.097,0.06,0.095,27752,0
CREVW.US,D,20240315,000000,0.095,0.095,0.0444,0.088393,43267,0
CREVW.US,D,20240318,000000,0.0707,0.1249,0.0707,0.0799,86727,0
CREVW.US,D,20240319,000000,0.107298,0.1099,0.071,0.1,11594,0
CREVW.US,D,20240320,000000,0.0834,0.118,0.08,0.095,12341,0
CREVW.US,D,20240321,000000,0.0801,0.1177,0.051,0.09,14229,0
CREVW.US,D,20240326,000000,0.0656,0.088,0.0656,0.088,786,0
CREVW.US,D,20240328,000000,0.052949,0.0889,0.052949,0.0889,2647,0
CREVW.US,D,20240401,000000,0.0886,0.0886,0.0886,0.0886,1410,0
CREVW.US,D,20240402,000000,0.05,0.0869,0.05,0.06,21603,0
CREVW.US,D,20240403,000000,0.0778,0.0778,0.07,0.0739,1400,0
CREVW.US,D,20240404,000000,0.0699,0.071,0.0699,0.070001,19828,0
CREVW.US,D,20240405,000000,0.067,0.074,0.067,0.074,2520,0
CREVW.US,D,20240408,000000,0.0705,0.076,0.065,0.0657,2999,0
CREVW.US,D,20240409,000000,0.065,0.065,0.052,0.0601,11105,0
CREVW.US,D,20240410,000000,0.0753,0.078,0.0536,0.0536,2100,0
CREVW.US,D,20240411,000000,0.0733,0.076,0.0617,0.0617,3700,0
CREVW.US,D,20240412,000000,0.062,0.068,0.062,0.068,13500,0
CREVW.US,D,20240415,000000,0.06,0.077,0.05,0.076,30400,0
CREVW.US,D,20240418,000000,0.0659,0.07045,0.0659,0.07045,584,0
CREVW.US,D,20240419,000000,0.075,0.075,0.075,0.075,100,0
CREVW.US,D,20240422,000000,0.075,0.082,0.05,0.082,38265,0
CREVW.US,D,20240423,000000,0.082,0.082,0.082,0.082,501,0
CREVW.US,D,20240429,000000,0.08,0.08,0.07,0.07,5000,0
CREVW.US,D,20240430,000000,0.069499,0.082,0.0451,0.07,78802,0
CREVW.US,D,20240501,000000,0.082,0.082,0.0501,0.0715,5750,0
CREVW.US,D,20240503,000000,0.079,0.079,0.0556,0.0609,13200,0
CREVW.US,D,20240506,000000,0.061,0.061,0.061,0.061,6000,0
CREVW.US,D,20240507,000000,0.061,0.061,0.061,0.061,200,0
CREVW.US,D,20240513,000000,0.061,0.082,0.061,0.08,8871,0
