<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CRIT.US,D,20220331,000000,24.7156,24.7156,24.7156,24.7156,89,0
CRIT.US,D,20220401,000000,25.4711,25.4711,25.4711,25.4711,88,0
CRIT.US,D,20220404,000000,25.6495,25.662,25.6495,25.662,697,0
CRIT.US,D,20220405,000000,25.22,25.22,25.02,25.0241,1881,0
CRIT.US,D,20220406,000000,24.99,24.99,24.416,24.416,3076,0
CRIT.US,D,20220407,000000,24.53,24.53,24.24,24.4511,919,0
CRIT.US,D,20220408,000000,24.73,24.8184,24.7074,24.7074,2787,0
CRIT.US,D,20220411,000000,24.36,24.4309,24.1282,24.1282,3090,0
CRIT.US,D,20220412,000000,24.37,24.37,24.0856,24.0856,527,0
CRIT.US,D,20220413,000000,24.69,24.8007,24.69,24.8007,919,0
CRIT.US,D,20220414,000000,26.04,26.04,24.7844,24.7844,1662,0
CRIT.US,D,20220418,000000,24.6807,24.6807,24.6807,24.6807,71,0
CRIT.US,D,20220419,000000,24.75,24.8415,24.7472,24.8415,357,0
CRIT.US,D,20220420,000000,24.85,24.85,24.3901,24.45,3494,0
CRIT.US,D,20220421,000000,24.7,24.7,22.6301,22.7502,15075,0
CRIT.US,D,20220422,000000,22.445,22.445,21.81,21.8321,3119,0
CRIT.US,D,20220425,000000,23,23,20.9497,20.9497,1940,0
CRIT.US,D,20220426,000000,20.33,20.33,20.2512,20.2512,1063,0
CRIT.US,D,20220427,000000,20.925,21.08,20.925,21.05,1235,0
CRIT.US,D,20220428,000000,21.25,21.25,21.2228,21.2228,316,0
CRIT.US,D,20220429,000000,21.492,21.492,21.0119,21.0119,293,0
CRIT.US,D,20220502,000000,20.845,20.8531,20.8,20.8531,807,0
CRIT.US,D,20220503,000000,21.16,21.2,21.159,21.2,1334,0
CRIT.US,D,20220504,000000,21.7076,21.7076,21.7076,21.7076,3,0
CRIT.US,D,20220505,000000,21,21.17,20.9668,21.17,1184,0
CRIT.US,D,20220506,000000,20.81,20.81,20.59,20.65,1935,0
CRIT.US,D,20220509,000000,19.91,19.91,19.366,19.366,823,0
