<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LRGC.US,D,20230921,000000,49.1699,49.17,48.7762,48.7762,353,0
LRGC.US,D,20230922,000000,48.85,48.85,48.7284,48.7284,101,0
LRGC.US,D,20230925,000000,48.8609,48.8609,48.8609,48.8609,4,0
LRGC.US,D,20230926,000000,48.26,48.26,48.215,48.215,3491,0
LRGC.US,D,20230927,000000,48.23,48.26,48.2117,48.2117,388,0
LRGC.US,D,20230928,000000,48.55,48.55,48.4884,48.4884,2222,0
LRGC.US,D,20230929,000000,48.31,48.3583,48.31,48.3583,1104,0
LRGC.US,D,20231002,000000,48.2,48.4144,48.2,48.4144,203,0
LRGC.US,D,20231003,000000,47.75,47.75,47.7225,47.7225,2333,0
LRGC.US,D,20231004,000000,48.12,48.23,48.12,48.23,3941,0
LRGC.US,D,20231005,000000,48.18,48.18,48.1399,48.1399,1194,0
LRGC.US,D,20231006,000000,48.91,48.91,48.7624,48.7624,3213,0
LRGC.US,D,20231009,000000,49,49,48.9521,48.9521,2353,0
LRGC.US,D,20231010,000000,49.29,49.29,49.2334,49.2334,6293,0
LRGC.US,D,20231011,000000,49.41,49.54,49.41,49.54,302919,0
LRGC.US,D,20231012,000000,49.15,49.29,49.15,49.29,15972,0
LRGC.US,D,20231013,000000,49.05,49.15,49.05,49.15,9621,0
LRGC.US,D,20231016,000000,49.66,49.6836,49.66,49.6836,4324,0
LRGC.US,D,20231017,000000,49.56,49.67,49.56,49.67,21375,0
LRGC.US,D,20231018,000000,49.68,49.68,48.9981,48.9981,3825,0
LRGC.US,D,20231019,000000,48.69,48.69,48.666,48.666,13120,0
LRGC.US,D,20231020,000000,48.19,48.2,48.0214,48.0214,4519,0
LRGC.US,D,20231023,000000,48.31,48.31,47.9891,47.9891,3036,0
LRGC.US,D,20231024,000000,48.35,48.4062,48.35,48.4062,2248,0
LRGC.US,D,20231025,000000,47.94,47.94,47.65,47.6546,3195,0
LRGC.US,D,20231026,000000,47.335,47.47,47.17,47.17,4474,0
LRGC.US,D,20231027,000000,47.19,47.19,46.87,47.01,10199,0
LRGC.US,D,20231030,000000,47.66,47.66,47.64,47.64,9710,0
LRGC.US,D,20231031,000000,47.68,47.9265,47.68,47.9265,3302,0
LRGC.US,D,20231101,000000,48.075,48.35,48.075,48.3259,3013,0
LRGC.US,D,20231102,000000,49.16,49.16,49.15,49.1549,3712,0
LRGC.US,D,20231103,000000,49.49,49.74,49.49,49.63,9410,0
LRGC.US,D,20231106,000000,49.76,49.77,49.7088,49.7088,2347,0
LRGC.US,D,20231107,000000,49.99,49.99,49.9245,49.9245,1049,0
LRGC.US,D,20231108,000000,49.95,50.04,49.91,50.04,37850,0
LRGC.US,D,20231109,000000,49.86,49.87,49.6724,49.6724,23646,0
LRGC.US,D,20231110,000000,49.84,50.4262,49.84,50.4262,25990,0
