<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EVUS.US,D,20230203,000000,25.2481,25.2481,25.2481,25.2481,1,0
EVUS.US,D,20230206,000000,25.1401,25.1401,25.1401,25.1401,4,0
EVUS.US,D,20230207,000000,25.3361,25.3361,25.3361,25.3361,1,0
EVUS.US,D,20230208,000000,25.1184,25.1184,25.1184,25.1184,60,0
EVUS.US,D,20230209,000000,24.8735,24.8735,24.8735,24.8735,4,0
EVUS.US,D,20230210,000000,25.1054,25.1054,25.1054,25.1054,1,0
EVUS.US,D,20230214,000000,25.39,25.39,25.2421,25.2421,1,0
EVUS.US,D,20230215,000000,25.2287,25.2287,25.2287,25.2287,60,0
EVUS.US,D,20230216,000000,25.0366,25.0366,25.0366,25.0366,60,0
EVUS.US,D,20230217,000000,24.9079,25.03,24.9079,25.03,524,0
EVUS.US,D,20230221,000000,24.6081,24.6081,24.6081,24.6081,2,0
EVUS.US,D,20230222,000000,24.61,24.68,24.513,24.513,4101,0
EVUS.US,D,20230223,000000,24.616,24.616,24.616,24.616,4,0
EVUS.US,D,20230224,000000,24.4734,24.4734,24.4734,24.4734,10,0
EVUS.US,D,20230227,000000,24.4888,24.4888,24.4888,24.4888,60,0
EVUS.US,D,20230228,000000,24.48,24.5,24.4016,24.4016,4428,0
EVUS.US,D,20230301,000000,24.3752,24.3752,24.3254,24.3254,287,0
EVUS.US,D,20230302,000000,24.4683,24.4683,24.4683,24.4683,60,0
EVUS.US,D,20230303,000000,24.67,24.7422,24.67,24.7422,100,0
EVUS.US,D,20230306,000000,24.68,24.7065,24.68,24.7065,106,0
EVUS.US,D,20230307,000000,24.27,24.2823,24.27,24.2823,100,0
EVUS.US,D,20230308,000000,24.2757,24.2757,24.2757,24.2757,5,0
EVUS.US,D,20230309,000000,23.7775,23.7775,23.7775,23.7775,101,0
EVUS.US,D,20230310,000000,23.43,23.43,23.4299,23.4299,450,0
EVUS.US,D,20230313,000000,23.0701,23.2384,23.07,23.2384,301,0
EVUS.US,D,20230314,000000,23.5074,23.5074,23.5074,23.5074,50,0
EVUS.US,D,20230315,000000,23.1434,23.1434,23.1434,23.1434,50,0
EVUS.US,D,20230316,000000,23.4465,23.4465,23.4465,23.4465,10,0
EVUS.US,D,20230317,000000,23.0539,23.0539,23.0539,23.0539,50,0
EVUS.US,D,20230320,000000,23.3768,23.3768,23.3768,23.3768,242,0
EVUS.US,D,20230321,000000,23.6212,23.6212,23.6212,23.6212,60,0
EVUS.US,D,20230322,000000,23.2136,23.2136,23.2136,23.2136,25,0
EVUS.US,D,20230323,000000,23.1,23.1,23.0186,23.0186,140,0
EVUS.US,D,20230324,000000,22.8,23.1494,22.8,23.1494,1100,0
EVUS.US,D,20230327,000000,23.45,23.45,23.3707,23.3707,102,0
EVUS.US,D,20230328,000000,23.43,23.43,23.3859,23.3859,200,0
EVUS.US,D,20230329,000000,23.5789,23.6746,23.5789,23.6746,100,0
EVUS.US,D,20230330,000000,23.7702,23.7702,23.7702,23.7702,2,0
EVUS.US,D,20230331,000000,24.06,24.06,24.06,24.06,100,0
