<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OFOS.US,D,20240125,000000,25.45,25.78,25.45,25.7283,154601,0
OFOS.US,D,20240126,000000,25.9,25.9,25.8749,25.8749,311,0
OFOS.US,D,20240129,000000,25.76,25.7721,25.52,25.7721,2645,0
OFOS.US,D,20240130,000000,24.3,24.94,24.3,24.7719,96878,0
OFOS.US,D,20240131,000000,24.545,24.545,24.2498,24.2498,812,0
OFOS.US,D,20240201,000000,24.35,24.36,24.1298,24.1902,1540,0
OFOS.US,D,20240202,000000,23.77,23.77,23.709,23.71,2537,0
OFOS.US,D,20240205,000000,23.2463,23.4599,23.2463,23.38,2965,0
OFOS.US,D,20240206,000000,23.83,23.9,23.7014,23.797,3127,0
OFOS.US,D,20240207,000000,23.8,23.84,23.7813,23.7813,4148,0
OFOS.US,D,20240208,000000,24.13,24.165,24.13,24.1305,673,0
OFOS.US,D,20240209,000000,23.94,24.0257,23.9117,24.0257,1267,0
OFOS.US,D,20240212,000000,24.578,24.6,24.42,24.4569,1018,0
OFOS.US,D,20240213,000000,24.1846,24.1846,24.063,24.1,977,0
OFOS.US,D,20240214,000000,24.32,24.32,24.1564,24.1564,723,0
OFOS.US,D,20240215,000000,24.0294,24.3488,24.0294,24.3413,962,0
OFOS.US,D,20240216,000000,24.36,24.36,24.2956,24.2956,2850,0
OFOS.US,D,20240220,000000,24.08,24.08,23.81,23.9464,2798,0
OFOS.US,D,20240221,000000,24.3807,24.506,24.3807,24.4888,788,0
OFOS.US,D,20240222,000000,24.821,24.914,24.821,24.8957,806,0
OFOS.US,D,20240223,000000,24.47,24.67,24.47,24.5687,4258,0
OFOS.US,D,20240226,000000,24.7,24.76,24.56,24.7436,2543,0
OFOS.US,D,20240227,000000,24.76,24.7601,24.66,24.7,4294,0
OFOS.US,D,20240228,000000,24.86,24.86,24.42,24.4356,2318,0
OFOS.US,D,20240229,000000,24.61,24.72,24.544,24.55,3011,0
OFOS.US,D,20240301,000000,25.619,25.619,25.619,25.619,101,0
OFOS.US,D,20240304,000000,25.62,25.62,25.435,25.441,1712,0
OFOS.US,D,20240305,000000,25.69,25.69,25.4348,25.4348,238,0
OFOS.US,D,20240306,000000,25.65,25.65,25.6463,25.6463,137,0
OFOS.US,D,20240307,000000,26.1425,26.24,26.0716,26.1973,4733,0
OFOS.US,D,20240308,000000,26.079,26.1399,25.97,26.1344,1958,0
OFOS.US,D,20240311,000000,26.15,26.5732,26.15,26.5732,1226,0
OFOS.US,D,20240312,000000,26.5581,26.6589,26.52,26.6268,3601,0
OFOS.US,D,20240313,000000,26.98,27.1,26.8836,27.054,792,0
OFOS.US,D,20240314,000000,27.5832,27.5832,27.4884,27.4884,1302,0
