<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BSMC.US,D,20231010,000000,25.5468,25.5468,25.4951,25.4951,1449,0
BSMC.US,D,20231011,000000,25.37,25.4252,25.37,25.4252,142,0
BSMC.US,D,20231012,000000,25.145,25.26,25.01,25.0701,4641,0
BSMC.US,D,20231013,000000,24.97,24.99,24.9378,24.9378,6447,0
BSMC.US,D,20231016,000000,25.12,25.2759,25.12,25.2759,326,0
BSMC.US,D,20231017,000000,25.62,25.62,25.556,25.556,13964,0
BSMC.US,D,20231018,000000,25.329,25.329,25.2218,25.2218,11676,0
BSMC.US,D,20231019,000000,25.1097,25.18,25.005,25.005,22878,0
BSMC.US,D,20231020,000000,24.89,24.89,24.7402,24.7402,12906,0
BSMC.US,D,20231023,000000,24.64,24.68,24.48,24.5028,10416,0
BSMC.US,D,20231024,000000,24.53,24.5875,24.53,24.5875,10647,0
BSMC.US,D,20231025,000000,24.405,24.46,24.3746,24.3746,17366,0
BSMC.US,D,20231026,000000,24.56,24.56,24.44,24.4599,16247,0
BSMC.US,D,20231027,000000,24.4182,24.4182,24.1891,24.1891,11750,0
BSMC.US,D,20231030,000000,24.17,24.295,24.17,24.295,11957,0
BSMC.US,D,20231031,000000,24.425,24.4594,24.4,24.4594,20281,0
BSMC.US,D,20231101,000000,24.56,24.655,24.53,24.655,12634,0
BSMC.US,D,20231102,000000,24.8,24.99,24.8,24.98,18135,0
BSMC.US,D,20231103,000000,25.53,25.61,25.4,25.4809,24280,0
BSMC.US,D,20231106,000000,25.31,25.3252,25.31,25.3252,11231,0
BSMC.US,D,20231107,000000,25.32,25.32,25.245,25.2557,8099,0
BSMC.US,D,20231108,000000,25.11,25.1271,25.11,25.1271,15173,0
BSMC.US,D,20231109,000000,25,25,24.8423,24.8423,22646,0
BSMC.US,D,20231110,000000,24.8,25.0293,24.8,25.0293,19307,0
BSMC.US,D,20231113,000000,24.99,25.04,24.99,25.04,20645,0
BSMC.US,D,20231114,000000,25.71,25.8205,25.71,25.8205,11312,0
BSMC.US,D,20231115,000000,26.13,26.13,25.9886,25.9886,14637,0
BSMC.US,D,20231116,000000,25.74,25.74,25.6501,25.7309,15239,0
BSMC.US,D,20231117,000000,25.8838,25.8838,25.79,25.8558,15938,0
BSMC.US,D,20231120,000000,25.86,25.9501,25.84,25.9501,10992,0
BSMC.US,D,20231121,000000,25.8665,25.8665,25.7897,25.7897,21736,0
BSMC.US,D,20231122,000000,25.96,25.96,25.9291,25.9291,15560,0
BSMC.US,D,20231124,000000,26.06,26.06,26.0215,26.0215,10611,0
BSMC.US,D,20231127,000000,25.96,25.9752,25.95,25.9752,10287,0
BSMC.US,D,20231128,000000,25.95,25.95,25.8484,25.8484,31323,0
BSMC.US,D,20231129,000000,25.96,25.96,25.8635,25.8635,15904,0
BSMC.US,D,20231130,000000,25.972,26.03,25.9601,26.0289,10282,0
