<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BENJ.US,D,20250205,000000,50.0921,50.11,50.08,50.09,166803,0
BENJ.US,D,20250206,000000,50.15,51.59,50.07,50.075,12941,0
BENJ.US,D,20250207,000000,50.08,50.13,50.08,50.1,3527,0
BENJ.US,D,20250210,000000,50.1,50.12,50.09,50.1,12180,0
BENJ.US,D,20250211,000000,50.11,50.4,50.11,50.125,46916,0
BENJ.US,D,20250212,000000,50.12,50.12,50.1,50.1,510,0
BENJ.US,D,20250213,000000,50.13,50.13,50.115,50.115,991,0
BENJ.US,D,20250214,000000,50.14,50.14,50.13,50.13,1449,0
BENJ.US,D,20250218,000000,50.15,50.15,50.14,50.14,1224,0
BENJ.US,D,20250219,000000,50.13,50.14,50.13,50.14,108,0
BENJ.US,D,20250220,000000,50.15,50.15,50.14,50.14,3084,0
BENJ.US,D,20250224,000000,50.18,50.18,50.18,50.18,2923,0
BENJ.US,D,20250225,000000,50.1738,50.18,50.17,50.17,3641,0
BENJ.US,D,20250226,000000,50.19,50.19,50.179,50.18,672,0
BENJ.US,D,20250227,000000,50.17,50.185,50.17,50.185,340,0
BENJ.US,D,20250228,000000,50.19,50.22,50.19,50.205,2528,0
BENJ.US,D,20250303,000000,50.2,50.2,50.18,50.1906,1889,0
BENJ.US,D,20250304,000000,50.21,50.21,50.19,50.19,3792,0
BENJ.US,D,20250307,000000,50.22,50.225,50.22,50.225,2344,0
BENJ.US,D,20250310,000000,50.25,50.25,50.235,50.235,3003,0
BENJ.US,D,20250313,000000,50.27,50.27,50.26,50.26,562,0
BENJ.US,D,20250314,000000,50.3,50.3,50.2852,50.2852,221,0
BENJ.US,D,20250317,000000,50.2526,50.27,50.2526,50.27,1141,0
BENJ.US,D,20250321,000000,50.31,50.32,50.31,50.32,102,0
BENJ.US,D,20250324,000000,50.37,50.37,50.31,50.31,308,0
BENJ.US,D,20250325,000000,50.32,50.32,50.31,50.32,633,0
BENJ.US,D,20250327,000000,50.32,50.3339,50.32,50.33,2239,0
BENJ.US,D,20250328,000000,50.36,50.36,50.35,50.35,1195,0
BENJ.US,D,20250331,000000,50.34,50.36,50.34,50.35,1175,0
BENJ.US,D,20250401,000000,50.38,50.38,50.375,50.375,257,0
BENJ.US,D,20250402,000000,50.3623,50.38,50.3623,50.365,8776,0
BENJ.US,D,20250403,000000,50.35,50.365,50.35,50.365,431,0
BENJ.US,D,20250404,000000,50.35,50.36,50.35,50.36,2774,0
