<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BLCV.US,D,20230524,000000,24.81,24.81,24.6585,24.6585,1025,0
BLCV.US,D,20230525,000000,24.49,24.59,24.449,24.5038,5139,0
BLCV.US,D,20230526,000000,24.6695,24.6695,24.6695,24.6695,101,0
BLCV.US,D,20230530,000000,24.73,24.73,24.5409,24.5409,1775,0
BLCV.US,D,20230531,000000,24.37,24.46,24.3009,24.4107,8204,0
BLCV.US,D,20230601,000000,24.3699,24.56,24.3699,24.4961,4209,0
BLCV.US,D,20230602,000000,24.9349,25.0525,24.9349,25.0352,2203,0
BLCV.US,D,20230605,000000,25.09,25.09,24.9462,24.9786,4703,0
BLCV.US,D,20230606,000000,25.07,25.1079,25.0652,25.1079,274,0
BLCV.US,D,20230607,000000,25.2499,25.2529,25.1767,25.2529,2156,0
BLCV.US,D,20230608,000000,25.15,25.295,25.15,25.295,432,0
BLCV.US,D,20230609,000000,25.2983,25.2983,25.2704,25.2704,217,0
BLCV.US,D,20230612,000000,25.4087,25.4087,25.3801,25.3907,280,0
BLCV.US,D,20230613,000000,25.6638,25.6638,25.6638,25.6638,73,0
BLCV.US,D,20230614,000000,25.7066,25.765,25.602,25.602,1445,0
BLCV.US,D,20230615,000000,25.9734,25.9734,25.9734,25.9734,154,0
BLCV.US,D,20230616,000000,26.0899,26.09,26,26.0373,1671,0
BLCV.US,D,20230620,000000,26.02,26.02,25.87,25.87,1049,0
BLCV.US,D,20230621,000000,25.76,25.8473,25.76,25.8473,276,0
BLCV.US,D,20230622,000000,25.7713,25.7713,25.7713,25.7713,76,0
BLCV.US,D,20230623,000000,25.5595,25.5595,25.5595,25.5595,112,0
BLCV.US,D,20230626,000000,25.5669,25.6745,25.5669,25.6227,607,0
BLCV.US,D,20230627,000000,25.9062,25.9062,25.9062,25.9062,244,0
BLCV.US,D,20230628,000000,25.83,25.8417,25.83,25.8417,255,0
BLCV.US,D,20230629,000000,25.98,26.0437,25.98,26.0437,465,0
BLCV.US,D,20230630,000000,26.3114,26.3114,26.3114,26.3114,92,0
BLCV.US,D,20230703,000000,26.4087,26.4087,26.4087,26.4087,97,0
BLCV.US,D,20230705,000000,26.3847,26.3847,26.3847,26.3847,45,0
BLCV.US,D,20230706,000000,26.1882,26.1882,26.1882,26.1882,111,0
BLCV.US,D,20230707,000000,26.2756,26.2756,26.1859,26.1859,265,0
BLCV.US,D,20230710,000000,26.2712,26.2712,26.2712,26.2712,56,0
BLCV.US,D,20230711,000000,26.44,26.5367,26.44,26.5367,493,0
BLCV.US,D,20230712,000000,26.7,26.7,26.5717,26.5717,1031,0
BLCV.US,D,20230713,000000,26.7232,26.7232,26.7232,26.7232,30,0
BLCV.US,D,20230714,000000,26.5922,26.5922,26.5922,26.5922,136,0
BLCV.US,D,20230717,000000,26.6399,26.65,26.6012,26.6012,1186,0
BLCV.US,D,20230718,000000,26.8083,26.8083,26.8083,26.8083,4,0
BLCV.US,D,20230719,000000,27.0317,27.0317,27.0317,27.0317,84,0
BLCV.US,D,20230720,000000,27.11,27.1394,27.11,27.1394,195,0
BLCV.US,D,20230721,000000,27.16,27.16,27.0702,27.0702,288,0
BLCV.US,D,20230724,000000,27.16,27.17,27.1392,27.1392,645,0
BLCV.US,D,20230725,000000,27.22,27.2402,27.22,27.2402,777,0
BLCV.US,D,20230726,000000,27.2364,27.2364,27.2364,27.2364,143,0
BLCV.US,D,20230727,000000,27.0371,27.0371,27.0371,27.0371,51,0
BLCV.US,D,20230728,000000,27.0729,27.0729,27.0729,27.0729,19,0
BLCV.US,D,20230731,000000,27.1347,27.1347,27.07,27.0932,1961,0
BLCV.US,D,20230801,000000,27.1516,27.1516,27.1516,27.1516,94,0
BLCV.US,D,20230802,000000,26.87,26.96,26.87,26.9144,468,0
BLCV.US,D,20230803,000000,26.9999,26.9999,26.9069,26.9069,149,0
BLCV.US,D,20230804,000000,27.04,27.1,26.8076,26.8076,542,0
BLCV.US,D,20230807,000000,26.97,26.9904,26.97,26.9904,345,0
BLCV.US,D,20230808,000000,26.8333,26.8333,26.8333,26.8333,55,0
BLCV.US,D,20230809,000000,26.73,26.7514,26.73,26.7514,638,0
BLCV.US,D,20230810,000000,26.7018,26.7018,26.7018,26.7018,7,0
BLCV.US,D,20230811,000000,26.71,26.71,26.6881,26.6983,965,0
BLCV.US,D,20230814,000000,26.7091,26.7091,26.7091,26.7091,22,0
BLCV.US,D,20230815,000000,26.4201,26.4201,26.4201,26.4201,26,0
BLCV.US,D,20230816,000000,26.42,26.42,26.229,26.229,510,0
BLCV.US,D,20230817,000000,26.055,26.055,26.055,26.055,18,0
BLCV.US,D,20230818,000000,26.0614,26.0614,26.0614,26.0614,57,0
BLCV.US,D,20230821,000000,26.1389,26.1389,26.1389,26.1389,44,0
BLCV.US,D,20230822,000000,25.9854,25.9854,25.9854,25.9854,8,0
BLCV.US,D,20230823,000000,26.1056,26.1056,26.1056,26.1056,55,0
BLCV.US,D,20230824,000000,26.03,26.03,25.9486,25.9486,100,0
BLCV.US,D,20230825,000000,25.81,26.0037,25.81,26.0037,250,0
BLCV.US,D,20230828,000000,26.2294,26.2299,26.2049,26.2294,569,0
BLCV.US,D,20230829,000000,26.4455,26.4455,26.4455,26.4455,24,0
BLCV.US,D,20230830,000000,26.4997,26.4997,26.4997,26.4997,11,0
BLCV.US,D,20230831,000000,26.5392,26.5392,26.4511,26.4511,405,0
BLCV.US,D,20230901,000000,26.55,26.55,26.44,26.5027,303,0
BLCV.US,D,20230905,000000,26.2492,26.2492,26.2492,26.2492,3,0
BLCV.US,D,20230906,000000,26.1975,26.1975,26.1975,26.1975,51,0
BLCV.US,D,20230907,000000,26.1124,26.1124,26.1124,26.1124,22,0
BLCV.US,D,20230908,000000,26.2049,26.2049,26.2049,26.2049,10,0
BLCV.US,D,20230911,000000,26.2658,26.2658,26.2658,26.2658,50,0
BLCV.US,D,20230912,000000,26.36,26.3614,26.3229,26.3229,820,0
BLCV.US,D,20230913,000000,26.23,26.2985,26.23,26.2985,1000,0
BLCV.US,D,20230914,000000,26.5466,26.5466,26.5466,26.5466,101,0
BLCV.US,D,20230915,000000,26.3654,26.3654,26.3654,26.3654,14,0
BLCV.US,D,20230918,000000,26.42,26.43,26.3731,26.3731,1439,0
BLCV.US,D,20230919,000000,26.3993,26.3993,26.3993,26.3993,6,0
BLCV.US,D,20230920,000000,26.3004,26.3004,26.3004,26.3004,19,0
BLCV.US,D,20230921,000000,25.9276,25.9276,25.9276,25.9276,16,0
BLCV.US,D,20230922,000000,25.797,25.797,25.797,25.797,116,0
BLCV.US,D,20230925,000000,25.8847,25.8847,25.8847,25.8847,27,0
BLCV.US,D,20230926,000000,25.5,25.5014,25.4133,25.4133,436,0
BLCV.US,D,20230927,000000,25.46,25.46,25.4564,25.4564,124,0
BLCV.US,D,20230928,000000,25.5384,25.5384,25.5384,25.5384,10,0
BLCV.US,D,20230929,000000,25.4987,25.5099,25.4694,25.4694,3921,0
BLCV.US,D,20231002,000000,25.236,25.236,25.236,25.236,2,0
BLCV.US,D,20231003,000000,24.9306,24.9306,24.9306,24.9306,53,0
BLCV.US,D,20231004,000000,25.0639,25.0639,25.0639,25.0639,114,0
BLCV.US,D,20231005,000000,24.9878,24.9878,24.9878,24.9878,201,0
BLCV.US,D,20231006,000000,25.1376,25.1376,25.1376,25.1376,3,0
BLCV.US,D,20231009,000000,25.1749,25.3608,25.1749,25.3608,116,0
BLCV.US,D,20231010,000000,25.5253,25.5253,25.5253,25.5253,1,0
BLCV.US,D,20231011,000000,25.455,25.541,25.43,25.541,512,0
BLCV.US,D,20231012,000000,25.38,25.38,25.2292,25.2292,750,0
BLCV.US,D,20231013,000000,25.37,25.3955,25.3491,25.3491,312,0
BLCV.US,D,20231016,000000,25.697,25.697,25.697,25.697,3,0
BLCV.US,D,20231017,000000,25.8417,25.8417,25.8417,25.8417,2,0
BLCV.US,D,20231018,000000,25.5947,25.5947,25.5947,25.5947,86,0
BLCV.US,D,20231019,000000,25.45,25.5001,25.3774,25.3774,600,0
BLCV.US,D,20231020,000000,25.1215,25.1215,25.1215,25.1215,10,0
BLCV.US,D,20231023,000000,25.13,25.13,24.9312,24.9312,322,0
