<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PSDM.US,D,20230807,000000,50.3,50.3,50.27,50.27,1482,0
PSDM.US,D,20230808,000000,50.27,50.27,50.27,50.27,1,0
PSDM.US,D,20230814,000000,50.205,50.205,50.205,50.205,1,0
PSDM.US,D,20230815,000000,50.225,50.225,50.225,50.225,1,0
PSDM.US,D,20230816,000000,50.185,50.185,50.185,50.185,1,0
PSDM.US,D,20230817,000000,50.21,50.21,50.21,50.21,1,0
PSDM.US,D,20230818,000000,50.215,50.215,50.215,50.215,2,0
PSDM.US,D,20230821,000000,50.21,50.21,50.21,50.21,40,0
PSDM.US,D,20230822,000000,50.1802,50.1802,50.1802,50.1802,1,0
PSDM.US,D,20230823,000000,50.2802,50.2802,50.2802,50.2802,1,0
PSDM.US,D,20230824,000000,50.2505,50.2505,50.2505,50.2505,1,0
PSDM.US,D,20230825,000000,50.24,50.24,50.24,50.24,1,0
PSDM.US,D,20230828,000000,50.2907,50.2907,50.2907,50.2907,2,0
PSDM.US,D,20230829,000000,50.4,50.4,50.4,50.4,1,0
PSDM.US,D,20230830,000000,50.4309,50.4309,50.4309,50.4309,1,0
PSDM.US,D,20230831,000000,50.437,50.437,50.437,50.437,1,0
PSDM.US,D,20230901,000000,50.21,50.21,50.165,50.165,500,0
PSDM.US,D,20230905,000000,50.08,50.08,50.08,50.08,2,0
PSDM.US,D,20230906,000000,50.0454,50.0454,50.0454,50.0454,1,0
PSDM.US,D,20230907,000000,50.1052,50.1052,50.1052,50.1052,1,0
PSDM.US,D,20230908,000000,50.11,50.11,50.11,50.11,1,0
PSDM.US,D,20230911,000000,50.14,50.14,50.14,50.14,3,0
PSDM.US,D,20230912,000000,50.11,50.11,50.11,50.11,1,0
PSDM.US,D,20230913,000000,50.145,50.145,50.145,50.145,1,0
PSDM.US,D,20230914,000000,50.1334,50.1334,50.1334,50.1334,1,0
PSDM.US,D,20230915,000000,50.145,50.145,50.145,50.145,2,0
PSDM.US,D,20230918,000000,50.1644,50.1644,50.15,50.15,399,0
PSDM.US,D,20230919,000000,50.12,50.12,50.12,50.12,129,0
PSDM.US,D,20230920,000000,50.095,50.095,50.0849,50.0849,100,0
PSDM.US,D,20230921,000000,50.08,50.08,50.0705,50.0705,399,0
PSDM.US,D,20230922,000000,50.108,50.108,50.108,50.108,2,0
PSDM.US,D,20230925,000000,50.09,50.09,50.0807,50.0807,157,0
PSDM.US,D,20230926,000000,50.1,50.1,50.0648,50.0648,137,0
PSDM.US,D,20230927,000000,50.0011,50.0011,50.0011,50.0011,9,0
PSDM.US,D,20230928,000000,50.1072,50.1072,50.1072,50.1072,2,0
PSDM.US,D,20230929,000000,50.0961,50.0961,50.0961,50.0961,1,0
PSDM.US,D,20231002,000000,49.8,49.8,49.7552,49.7552,1049,0
PSDM.US,D,20231003,000000,49.685,49.685,49.685,49.685,21,0
PSDM.US,D,20231004,000000,49.7802,49.7802,49.7802,49.7802,1,0
PSDM.US,D,20231005,000000,49.82,49.82,49.82,49.82,47,0
PSDM.US,D,20231006,000000,49.7947,49.7947,49.7947,49.7947,47,0
PSDM.US,D,20231009,000000,49.8948,49.8948,49.8948,49.8948,1,0
PSDM.US,D,20231010,000000,49.91,49.91,49.91,49.91,22,0
PSDM.US,D,20231011,000000,49.8952,49.8952,49.8952,49.8952,22,0
PSDM.US,D,20231012,000000,49.825,49.825,49.825,49.825,1,0
PSDM.US,D,20231013,000000,49.84,49.84,49.84,49.84,22,0
PSDM.US,D,20231016,000000,49.8448,49.8448,49.8448,49.8448,22,0
PSDM.US,D,20231017,000000,49.7586,49.7586,49.7586,49.7586,22,0
PSDM.US,D,20231018,000000,49.7142,49.7142,49.7142,49.7142,22,0
PSDM.US,D,20231019,000000,49.772,49.772,49.772,49.772,1,0
PSDM.US,D,20231020,000000,49.7972,49.7972,49.7972,49.7972,22,0
PSDM.US,D,20231023,000000,49.8315,49.8315,49.8315,49.8315,22,0
PSDM.US,D,20231024,000000,49.84,49.84,49.84,49.84,22,0
PSDM.US,D,20231025,000000,49.8,49.8,49.8,49.8,22,0
PSDM.US,D,20231026,000000,49.87,49.87,49.87,49.87,1,0
PSDM.US,D,20231027,000000,49.897,49.897,49.897,49.897,22,0
PSDM.US,D,20231030,000000,49.92,49.92,49.9,49.9,235,0
PSDM.US,D,20231031,000000,49.8998,49.8998,49.8998,49.8998,11,0
PSDM.US,D,20231101,000000,49.79,49.79,49.79,49.79,22,0
PSDM.US,D,20231102,000000,49.88,49.88,49.88,49.88,22,0
PSDM.US,D,20231103,000000,50.0501,50.0501,50.0501,50.0501,1,0
PSDM.US,D,20231106,000000,49.95,49.95,49.95,49.95,22,0
PSDM.US,D,20231107,000000,49.9795,49.9795,49.9795,49.9795,22,0
PSDM.US,D,20231108,000000,49.9999,49.9999,49.9999,49.9999,1,0
PSDM.US,D,20231109,000000,49.92,49.92,49.92,49.92,1,0
PSDM.US,D,20231110,000000,49.97,49.97,49.94,49.94,709,0
PSDM.US,D,20231113,000000,50,50,49.9947,49.9947,172,0
PSDM.US,D,20231114,000000,50.28,50.28,50.27,50.27,909,0
PSDM.US,D,20231115,000000,50.17,50.17,50.16,50.16,473,0
PSDM.US,D,20231116,000000,50.25,50.25,50.23,50.23,1920,0
PSDM.US,D,20231117,000000,50.25,50.265,50.2497,50.265,1201,0
PSDM.US,D,20231120,000000,50.28,50.29,50.28,50.29,504,0
PSDM.US,D,20231121,000000,50.3,50.3,50.3,50.3,1,0
PSDM.US,D,20231122,000000,50.34,50.34,50.33,50.33,2562,0
PSDM.US,D,20231124,000000,50.33,50.33,50.3293,50.3293,161,0
PSDM.US,D,20231127,000000,50.35,50.38,50.35,50.38,218,0
PSDM.US,D,20231128,000000,50.49,50.49,50.49,50.49,1,0
PSDM.US,D,20231129,000000,50.61,50.61,50.61,50.61,1,0
PSDM.US,D,20231130,000000,50.6,50.6,50.5701,50.5701,1097,0
PSDM.US,D,20231201,000000,50.54,50.54,50.54,50.54,24,0
PSDM.US,D,20231204,000000,50.49,50.49,50.49,50.49,107,0
PSDM.US,D,20231205,000000,50.56,50.56,50.56,50.56,3711,0
PSDM.US,D,20231206,000000,50.59,50.6,50.57,50.57,4359,0
PSDM.US,D,20231207,000000,50.575,50.595,50.575,50.595,2084,0
PSDM.US,D,20231208,000000,50.515,50.53,50.5,50.5,2103,0
PSDM.US,D,20231211,000000,50.5082,50.53,50.5082,50.52,16289,0
PSDM.US,D,20231212,000000,50.58,50.58,50.58,50.58,801,0
PSDM.US,D,20231213,000000,50.75,50.85,50.75,50.8302,2344,0
PSDM.US,D,20231214,000000,51.05,51.05,51.02,51.0476,435,0
PSDM.US,D,20231215,000000,50.9433,50.9433,50.89,50.915,964,0
PSDM.US,D,20231218,000000,50.925,50.93,50.9,50.915,1141,0
PSDM.US,D,20231219,000000,50.96,50.98,50.95,50.98,1100,0
PSDM.US,D,20231220,000000,51.025,51.025,51.025,51.025,1,0
PSDM.US,D,20231221,000000,51.09,51.0999,51.06,51.08,2689,0
PSDM.US,D,20231222,000000,51.11,51.11,51.11,51.11,1187,0
PSDM.US,D,20231226,000000,51.13,51.13,51.13,51.13,1,0
PSDM.US,D,20231227,000000,50.7246,50.75,50.7246,50.73,1233,0
PSDM.US,D,20231228,000000,50.68,50.68,50.66,50.665,697,0
PSDM.US,D,20231229,000000,50.68,50.68,50.68,50.68,1040,0
PSDM.US,D,20240102,000000,50.6,50.6,50.59,50.59,50454,0
PSDM.US,D,20240103,000000,50.5982,50.62,50.5982,50.61,27165,0
PSDM.US,D,20240104,000000,50.5726,50.5726,50.5646,50.5646,18289,0
PSDM.US,D,20240105,000000,50.55,50.55,50.55,50.55,90,0
PSDM.US,D,20240108,000000,50.63,50.63,50.63,50.63,3,0
PSDM.US,D,20240109,000000,50.65,50.6598,50.64,50.65,2035,0
PSDM.US,D,20240110,000000,50.68,50.68,50.67,50.67,528,0
PSDM.US,D,20240111,000000,50.73,50.793,50.73,50.793,786,0
PSDM.US,D,20240112,000000,50.89,50.89,50.87,50.8704,5565,0
PSDM.US,D,20240116,000000,50.78,50.81,50.78,50.7948,608,0
PSDM.US,D,20240117,000000,50.7398,50.7398,50.7398,50.7398,49,0
PSDM.US,D,20240118,000000,50.7238,50.75,50.7238,50.75,726,0
PSDM.US,D,20240119,000000,50.7456,50.764,50.7456,50.764,573,0
PSDM.US,D,20240122,000000,50.7978,50.81,50.7978,50.8003,978,0
PSDM.US,D,20240123,000000,50.75,50.7541,50.75,50.7541,108,0
PSDM.US,D,20240124,000000,50.82,50.82,50.78,50.78,3247,0
PSDM.US,D,20240125,000000,50.804,50.87,50.804,50.8634,589,0
PSDM.US,D,20240126,000000,50.875,50.875,50.875,50.875,92,0
PSDM.US,D,20240129,000000,50.9278,50.9278,50.9278,50.9278,2,0
PSDM.US,D,20240130,000000,50.875,50.91,50.875,50.9056,2076,0
PSDM.US,D,20240131,000000,50.99,50.99,50.96,50.9612,412,0
PSDM.US,D,20240201,000000,50.85,50.85,50.831,50.831,59893,0
PSDM.US,D,20240202,000000,50.6573,50.6573,50.6573,50.6573,6,0
PSDM.US,D,20240205,000000,50.56,50.58,50.56,50.5612,643,0
PSDM.US,D,20240206,000000,50.675,50.69,50.675,50.69,1203,0
PSDM.US,D,20240207,000000,50.685,50.685,50.61,50.65,2776,0
PSDM.US,D,20240208,000000,50.6301,50.6301,50.6301,50.6301,107,0
PSDM.US,D,20240209,000000,50.6,50.6356,50.6,50.6356,878,0
PSDM.US,D,20240212,000000,50.66,50.66,50.6447,50.6447,663,0
PSDM.US,D,20240213,000000,50.485,50.485,50.4807,50.4807,109,0
PSDM.US,D,20240214,000000,50.56,50.56,50.56,50.56,87,0
PSDM.US,D,20240215,000000,50.62,50.6302,50.62,50.6302,1993,0
PSDM.US,D,20240216,000000,50.56,50.5791,50.56,50.5649,2439,0
PSDM.US,D,20240220,000000,50.6209,50.6209,50.6209,50.6209,290,0
PSDM.US,D,20240221,000000,50.585,50.585,50.5725,50.5725,940,0
PSDM.US,D,20240222,000000,50.56,50.5992,50.56,50.5801,724,0
PSDM.US,D,20240223,000000,50.61,50.63,50.6005,50.6147,2161,0
PSDM.US,D,20240226,000000,50.58,50.59,50.5662,50.5807,3620,0
PSDM.US,D,20240227,000000,50.585,50.59,50.545,50.545,1338,0
PSDM.US,D,20240228,000000,50.63,50.64,50.6292,50.6292,1397,0
PSDM.US,D,20240229,000000,50.6355,50.6355,50.6355,50.6355,74,0
PSDM.US,D,20240301,000000,50.4757,50.4981,50.47,50.4825,10283,0
PSDM.US,D,20240304,000000,50.484,50.5,50.484,50.4882,704,0
PSDM.US,D,20240305,000000,50.535,50.61,50.535,50.59,2937,0
PSDM.US,D,20240306,000000,50.5452,50.5452,50.5452,50.5452,49,0
PSDM.US,D,20240307,000000,50.6,50.63,50.6,50.63,5953,0
PSDM.US,D,20240308,000000,50.7,50.7,50.675,50.675,650,0
PSDM.US,D,20240311,000000,50.6,50.6208,50.6,50.62,1894,0
PSDM.US,D,20240312,000000,50.58,50.59,50.58,50.59,487,0
PSDM.US,D,20240313,000000,50.6032,50.6032,50.6032,50.6032,20,0
PSDM.US,D,20240314,000000,50.54,50.54,50.52,50.5325,10183,0
PSDM.US,D,20240315,000000,50.52,50.52,50.52,50.52,1198,0
PSDM.US,D,20240318,000000,50.51,50.515,50.51,50.515,1946,0
PSDM.US,D,20240319,000000,50.54,50.6,50.54,50.5731,1203,0
PSDM.US,D,20240320,000000,50.65,50.6755,50.65,50.6755,1134,0
PSDM.US,D,20240321,000000,50.6828,50.69,50.6828,50.69,714,0
PSDM.US,D,20240322,000000,50.71,50.715,50.71,50.715,2222,0
PSDM.US,D,20240325,000000,50.71,50.728,50.71,50.71,886,0
PSDM.US,D,20240326,000000,50.66,50.7009,50.66,50.7009,206,0
PSDM.US,D,20240327,000000,50.715,50.75,50.715,50.75,267,0
PSDM.US,D,20240328,000000,50.705,50.705,50.705,50.705,1,0
PSDM.US,D,20240401,000000,50.38,50.4191,50.3724,50.3724,1608,0
PSDM.US,D,20240402,000000,50.4299,50.4299,50.41,50.42,4934,0
PSDM.US,D,20240403,000000,50.44,50.47,50.4136,50.4612,2922,0
PSDM.US,D,20240404,000000,50.49,50.5071,50.49,50.5071,1030,0
PSDM.US,D,20240405,000000,50.4681,50.4681,50.4168,50.4168,1116,0
PSDM.US,D,20240408,000000,50.3907,50.4124,50.3907,50.4124,441,0
PSDM.US,D,20240409,000000,50.4667,50.4667,50.4667,50.4667,200,0
PSDM.US,D,20240410,000000,50.21,50.21,50.2091,50.2091,622,0
PSDM.US,D,20240411,000000,50.2169,50.2611,50.2169,50.2611,238,0
PSDM.US,D,20240412,000000,50.31,50.32,50.3,50.3,760,0
PSDM.US,D,20240415,000000,50.24,50.24,50.2375,50.2375,1039,0
PSDM.US,D,20240416,000000,50.19,50.19,50.1747,50.1747,303,0
PSDM.US,D,20240417,000000,50.2503,50.2503,50.2503,50.2503,67,0
PSDM.US,D,20240418,000000,50.2387,50.2387,50.21,50.21,667,0
PSDM.US,D,20240419,000000,50.235,50.235,50.235,50.235,20,0
PSDM.US,D,20240422,000000,50.26,50.26,50.255,50.255,300,0
PSDM.US,D,20240423,000000,50.35,50.355,50.35,50.355,1785,0
