<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ITDE.US,D,20231024,000000,24.3291,24.3291,24.3291,24.3291,259,0
ITDE.US,D,20231025,000000,24.1,24.11,24.0001,24.0001,1097,0
ITDE.US,D,20231026,000000,23.91,23.91,23.8611,23.8611,256,0
ITDE.US,D,20231027,000000,23.81,23.81,23.7324,23.7324,402,0
ITDE.US,D,20231030,000000,23.96,23.9891,23.9515,23.9891,901,0
ITDE.US,D,20231031,000000,24.092,24.092,24.092,24.092,234,0
ITDE.US,D,20231101,000000,24.23,24.34,24.23,24.3362,1184,0
ITDE.US,D,20231102,000000,24.7563,24.8103,24.7563,24.8103,388,0
ITDE.US,D,20231103,000000,25.1788,25.1788,25.114,25.114,523,0
ITDE.US,D,20231106,000000,25.17,25.17,25.0505,25.0652,2209,0
ITDE.US,D,20231107,000000,25,25.11,25,25.073,1104,0
ITDE.US,D,20231108,000000,25.1099,25.1099,25.0499,25.0821,1280,0
ITDE.US,D,20231109,000000,25.21,25.21,24.8941,24.8941,2654,0
ITDE.US,D,20231110,000000,24.9889,25.1563,24.9889,25.1563,2672,0
ITDE.US,D,20231113,000000,25.0479,25.2,25.0479,25.155,4924,0
ITDE.US,D,20231114,000000,25.62,25.81,25.62,25.7534,3877,0
ITDE.US,D,20231115,000000,25.88,25.88,25.7795,25.7795,2647,0
ITDE.US,D,20231116,000000,25.77,25.77,25.68,25.7562,1869,0
ITDE.US,D,20231117,000000,25.85,25.8882,25.85,25.8882,488,0
ITDE.US,D,20231120,000000,25.9621,26.0999,25.9621,26.0553,1872,0
ITDE.US,D,20231121,000000,26.02,26.02,25.9643,25.99,3371,0
ITDE.US,D,20231122,000000,26.09,26.09,26.05,26.059,1479,0
ITDE.US,D,20231124,000000,26.08,26.1056,26.08,26.1056,2109,0
ITDE.US,D,20231127,000000,26.07,26.0877,26.07,26.0877,400,0
ITDE.US,D,20231128,000000,26.0599,26.1399,26.0599,26.1359,443,0
ITDE.US,D,20231129,000000,26.215,26.215,26.1692,26.1692,330,0
ITDE.US,D,20231130,000000,26.15,26.2257,26.1499,26.2257,905,0
ITDE.US,D,20231201,000000,26.4843,26.4843,26.4843,26.4843,203,0
ITDE.US,D,20231204,000000,26.3899,26.39,26.3499,26.3552,1119,0
ITDE.US,D,20231205,000000,26.3043,26.3043,26.3043,26.3043,299,0
ITDE.US,D,20231206,000000,26.39,26.39,26.2746,26.2746,535,0
ITDE.US,D,20231207,000000,26.37,26.4353,26.3699,26.4353,1539,0
ITDE.US,D,20231208,000000,26.37,26.4872,26.37,26.4872,532,0
ITDE.US,D,20231211,000000,26.53,26.57,26.48,26.57,9873,0
ITDE.US,D,20231212,000000,26.4822,26.636,26.4822,26.636,1192,0
ITDE.US,D,20231213,000000,26.65,27.0642,26.65,27.0642,13266,0
ITDE.US,D,20231214,000000,27.29,27.38,27.2799,27.3105,11629,0
ITDE.US,D,20231215,000000,27.28,27.31,27.1924,27.2207,10825,0
ITDE.US,D,20231218,000000,27.29,27.29,27.2402,27.28,8812,0
ITDE.US,D,20231219,000000,27.44,27.47,27.43,27.47,3074,0
ITDE.US,D,20231220,000000,27.46,27.49,27.17,27.17,9676,0
ITDE.US,D,20231221,000000,27.4,27.45,27.29,27.45,28849,0
ITDE.US,D,20231222,000000,27.32,27.32,27.2347,27.2347,1055,0
ITDE.US,D,20231226,000000,27.3065,27.3702,27.3,27.3702,2544,0
ITDE.US,D,20231227,000000,27.43,27.464,27.4027,27.464,23168,0
ITDE.US,D,20231228,000000,27.5194,27.5599,27.4792,27.4792,1868,0
ITDE.US,D,20231229,000000,27.5046,27.52,27.3786,27.4041,3224,0
ITDE.US,D,20240102,000000,27.25,27.2537,27.18,27.1971,7926,0
ITDE.US,D,20240103,000000,26.98,27,26.9305,26.9802,8505,0
