<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FESM.US,D,20231121,000000,24.58,24.92,24.58,24.8229,17129,0
FESM.US,D,20231122,000000,24.61,25.2,24.61,24.9379,14853,0
FESM.US,D,20231124,000000,24.66,25.15,24.66,25.0873,9057,0
FESM.US,D,20231127,000000,24.79,25.0155,24.79,24.9899,37500,0
FESM.US,D,20231128,000000,25.05,25.05,24.81,24.8237,12072,0
FESM.US,D,20231129,000000,24.84,25.2499,24.84,24.9286,48562,0
FESM.US,D,20231130,000000,24.96,25.105,24.91,24.97,23112,0
FESM.US,D,20231201,000000,24.83,25.6506,24.7,25.6506,87212,0
FESM.US,D,20231204,000000,25.41,26,25.41,25.9325,66931,0
FESM.US,D,20231205,000000,25.87,25.95,25.56,25.59,34085,0
FESM.US,D,20231206,000000,25.68,25.99,25.5307,25.5307,21811,0
FESM.US,D,20231207,000000,25.51,25.74,25.49,25.74,12131,0
FESM.US,D,20231208,000000,25.57,25.99,25.57,25.9105,47700,0
FESM.US,D,20231211,000000,25.77,26.01,25.77,25.93,51945,0
FESM.US,D,20231212,000000,25.93,26.0396,25.78,25.9452,39792,0
FESM.US,D,20231213,000000,25.86,26.7781,25.81,26.7781,34054,0
FESM.US,D,20231214,000000,27.13,27.685,27.13,27.46,248922,0
FESM.US,D,20231215,000000,27.39,27.5299,27.1878,27.3019,38584,0
FESM.US,D,20231218,000000,27.34,27.5019,27.3,27.42,33913,0
FESM.US,D,20231219,000000,27.48,28.03,27.48,27.9812,58334,0
FESM.US,D,20231220,000000,27.86,28.27,27.4981,27.4981,47581,0
FESM.US,D,20231221,000000,27.7,27.9651,27.69,27.9651,46000,0
FESM.US,D,20231222,000000,28.2,28.31,28,28.14,26751,0
FESM.US,D,20231226,000000,28.3,28.58,28.21,28.55,37647,0
FESM.US,D,20231227,000000,28.67,28.6799,28.44,28.6,68457,0
FESM.US,D,20231228,000000,28.57,28.64,28.3104,28.52,48385,0
FESM.US,D,20231229,000000,28.56,28.56,28.12,28.15,24969,0
