<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BAMO.US,D,20231013,000000,25.32,25.32,25.22,25.2445,1047,0
BAMO.US,D,20231017,000000,25.38,25.3852,25.38,25.3852,976,0
BAMO.US,D,20231018,000000,25.2064,25.2064,25.2064,25.2064,31,0
BAMO.US,D,20231019,000000,25.09,25.0994,25.09,25.0994,576,0
BAMO.US,D,20231020,000000,24.96,24.96,24.922,24.922,600,0
BAMO.US,D,20231023,000000,24.99,24.99,24.8922,24.8922,53389,0
BAMO.US,D,20231024,000000,25.0039,25.02,25.0039,25.0154,200367,0
BAMO.US,D,20231025,000000,24.8502,24.8503,24.8037,24.8037,690,0
BAMO.US,D,20231026,000000,24.69,24.69,24.6247,24.6247,1470,0
BAMO.US,D,20231027,000000,24.53,24.5571,24.53,24.5571,537,0
BAMO.US,D,20231030,000000,24.77,24.77,24.7592,24.7592,769,0
BAMO.US,D,20231031,000000,24.81,24.83,24.81,24.8275,3202,0
BAMO.US,D,20231101,000000,24.97,25.02,24.97,25.0002,1444,0
BAMO.US,D,20231102,000000,25.24,25.26,25.24,25.2589,466,0
BAMO.US,D,20231103,000000,25.42,25.4342,25.3993,25.3993,2092,0
BAMO.US,D,20231106,000000,25.4023,25.4217,25.4023,25.4217,2106,0
BAMO.US,D,20231107,000000,25.54,25.54,25.52,25.52,253,0
BAMO.US,D,20231108,000000,25.53,25.54,25.47,25.4864,116610,0
BAMO.US,D,20231109,000000,25.51,25.51,25.39,25.3981,208320,0
BAMO.US,D,20231110,000000,25.62,25.65,25.62,25.6498,221853,0
BAMO.US,D,20231113,000000,25.64,25.66,25.636,25.636,5812,0
BAMO.US,D,20231114,000000,25.76,25.96,25.76,25.9134,35885,0
BAMO.US,D,20231115,000000,25.94,25.98,25.94,25.9606,9031,0
BAMO.US,D,20231116,000000,25.9275,25.9673,25.9275,25.9673,2839,0
BAMO.US,D,20231117,000000,25.95,25.99,25.95,25.9861,16636,0
BAMO.US,D,20231120,000000,26.13,26.145,26.1112,26.1112,207553,0
BAMO.US,D,20231121,000000,26.05,26.08,26.0171,26.0675,5967,0
BAMO.US,D,20231122,000000,26.09,26.1505,26.09,26.1454,6564,0
BAMO.US,D,20231124,000000,26.14,26.1488,26.1333,26.1488,1329,0
BAMO.US,D,20231127,000000,26.14,26.1799,26.12,26.1307,29372,0
BAMO.US,D,20231128,000000,26.1,26.1635,26.1,26.1635,1638,0
BAMO.US,D,20231129,000000,26.1602,26.2,26.14,26.1509,4107,0
BAMO.US,D,20231130,000000,26.17,26.2421,26.1503,26.2421,2304,0
BAMO.US,D,20231201,000000,26.32,26.34,26.3,26.337,1433,0
BAMO.US,D,20231204,000000,26.2098,26.2517,26.2098,26.2517,2288,0
BAMO.US,D,20231205,000000,26.2392,26.25,26.2392,26.2418,1910,0
BAMO.US,D,20231206,000000,26.25,26.2501,26.18,26.18,9826,0
BAMO.US,D,20231207,000000,26.3,26.3299,26.3,26.3228,2813,0
BAMO.US,D,20231208,000000,26.3089,26.3997,26.3089,26.36,4387,0
BAMO.US,D,20231211,000000,26.3966,26.4616,26.3966,26.4616,3905,0
BAMO.US,D,20231212,000000,26.5,26.56,26.5,26.5534,29322,0
BAMO.US,D,20231213,000000,26.49,26.7612,26.49,26.7612,4245,0
BAMO.US,D,20231214,000000,26.79,26.8,26.7,26.7805,17285,0
BAMO.US,D,20231215,000000,26.8568,26.87,26.81,26.8633,18311,0
BAMO.US,D,20231218,000000,26.895,26.94,26.895,26.923,1543,0
BAMO.US,D,20231219,000000,26.98,27.0062,26.98,27.0062,1992,0
BAMO.US,D,20231220,000000,26.9,27,26.802,26.802,4085,0
BAMO.US,D,20231221,000000,26.91,26.9564,26.83,26.9564,7343,0
BAMO.US,D,20231222,000000,27.01,27.01,26.9703,26.9703,1147,0
BAMO.US,D,20231226,000000,26.93,26.96,26.93,26.9345,2796,0
BAMO.US,D,20231227,000000,26.94,26.9516,26.93,26.9516,2789,0
BAMO.US,D,20231228,000000,27.01,27.01,26.9723,26.9723,6726,0
BAMO.US,D,20231229,000000,26.94,26.94,26.9282,26.9282,1030,0
BAMO.US,D,20240102,000000,26.7852,26.8032,26.74,26.8032,2866,0
BAMO.US,D,20240103,000000,26.72,26.72,26.66,26.6725,2852,0
BAMO.US,D,20240104,000000,26.65,26.69,26.6338,26.6338,1523,0
BAMO.US,D,20240105,000000,26.6,26.653,26.6,26.653,3488,0
BAMO.US,D,20240108,000000,26.7247,26.8649,26.7247,26.8649,5451,0
BAMO.US,D,20240109,000000,26.67,26.8465,26.67,26.8465,3104,0
BAMO.US,D,20240110,000000,26.87,26.94,26.87,26.9234,1740,0
BAMO.US,D,20240111,000000,27.08,27.08,26.93,26.957,4311,0
BAMO.US,D,20240112,000000,26.9,26.98,26.9,26.9453,5821,0
BAMO.US,D,20240116,000000,26.82,26.8759,26.82,26.8759,1456,0
BAMO.US,D,20240117,000000,26.79,26.8238,26.74,26.8238,7329,0
BAMO.US,D,20240118,000000,26.87,26.9806,26.87,26.9806,1635,0
BAMO.US,D,20240119,000000,26.95,27.229,26.95,27.2148,1593,0
BAMO.US,D,20240122,000000,27.2418,27.2612,27.2418,27.2612,541,0
BAMO.US,D,20240123,000000,27.29,27.3,27.26,27.2872,2363,0
BAMO.US,D,20240124,000000,27.4,27.4001,27.3093,27.3093,3226,0
BAMO.US,D,20240125,000000,27.36,27.3711,27.34,27.3711,6540,0
BAMO.US,D,20240126,000000,27.32,27.355,27.32,27.355,5769,0
BAMO.US,D,20240129,000000,27.4673,27.49,27.4673,27.4792,3034,0
BAMO.US,D,20240130,000000,27.465,27.47,27.46,27.4619,7413,0
BAMO.US,D,20240131,000000,27.33,27.35,27.23,27.2363,3837,0
BAMO.US,D,20240201,000000,27.36,27.4002,27.3501,27.4002,7541,0
BAMO.US,D,20240202,000000,27.61,27.64,27.6023,27.6023,3186,0
BAMO.US,D,20240205,000000,27.5,27.55,27.5,27.5381,20866,0
BAMO.US,D,20240206,000000,27.5,27.5417,27.5,27.5417,22018,0
BAMO.US,D,20240207,000000,27.67,27.69,27.67,27.6783,69547,0
BAMO.US,D,20240208,000000,27.69,27.72,27.69,27.6986,5023,0
BAMO.US,D,20240209,000000,27.63,27.83,27.63,27.7871,4606,0
BAMO.US,D,20240212,000000,27.78,27.78,27.7775,27.7775,5417,0
BAMO.US,D,20240213,000000,27.43,27.5261,27.41,27.5261,6331,0
BAMO.US,D,20240214,000000,27.61,27.6739,27.61,27.6739,5288,0
BAMO.US,D,20240215,000000,27.78,27.79,27.77,27.7865,6802,0
BAMO.US,D,20240216,000000,27.72,27.7259,27.6866,27.6866,985,0
BAMO.US,D,20240220,000000,27.59,27.6,27.53,27.585,10155,0
BAMO.US,D,20240221,000000,27.54,27.5853,27.46,27.5853,7688,0
BAMO.US,D,20240222,000000,27.9453,27.97,27.94,27.9625,7055,0
BAMO.US,D,20240223,000000,27.95,27.98,27.94,27.962,5558,0
BAMO.US,D,20240226,000000,27.93,27.97,27.9227,27.9227,6001,0
BAMO.US,D,20240227,000000,27.9001,27.94,27.9,27.9262,11311,0
BAMO.US,D,20240228,000000,27.85,27.87,27.84,27.8641,3295,0
BAMO.US,D,20240229,000000,27.93,27.9894,27.93,27.9894,1971,0
BAMO.US,D,20240301,000000,28.05,28.14,28.05,28.1248,3236,0
BAMO.US,D,20240304,000000,28.1,28.1218,28.06,28.06,4941,0
BAMO.US,D,20240305,000000,27.92,27.92,27.76,27.8451,11724,0
BAMO.US,D,20240306,000000,27.92,27.9331,27.89,27.9331,2638,0
BAMO.US,D,20240307,000000,28.12,28.14,28.08,28.1139,27353,0
