<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PHEQ.US,D,20231020,000000,24.55,24.55,24.47,24.47,248,0
PHEQ.US,D,20231023,000000,24.52,24.56,24.45,24.45,1276,0
PHEQ.US,D,20231024,000000,24.58,24.59,24.55,24.59,4203,0
PHEQ.US,D,20231025,000000,24.51,24.51,24.33,24.33,1158,0
PHEQ.US,D,20231026,000000,24.4,24.4,24.13,24.13,550,0
PHEQ.US,D,20231027,000000,24.2125,24.2125,24.0713,24.0713,500,0
PHEQ.US,D,20231030,000000,24.275,24.275,24.275,24.275,638,0
PHEQ.US,D,20231031,000000,24.26,24.342,24.26,24.342,118,0
PHEQ.US,D,20231101,000000,24.49,24.51,24.49,24.51,619,0
PHEQ.US,D,20231102,000000,24.6401,24.82,24.6401,24.82,361,0
PHEQ.US,D,20231103,000000,24.985,24.985,24.985,24.985,125,0
PHEQ.US,D,20231106,000000,24.9874,24.9874,24.9874,24.9874,25,0
PHEQ.US,D,20231107,000000,25.0841,25.0841,25.0841,25.0841,19,0
PHEQ.US,D,20231108,000000,25.115,25.115,25.115,25.115,13,0
PHEQ.US,D,20231109,000000,25.1361,25.1361,24.93,24.996,1664,0
PHEQ.US,D,20231110,000000,25.2301,25.2301,25.2301,25.2301,4,0
PHEQ.US,D,20231113,000000,25.23,25.23,25.23,25.23,84,0
PHEQ.US,D,20231114,000000,25.53,25.53,25.53,25.53,4,0
PHEQ.US,D,20231115,000000,25.5451,25.5451,25.5451,25.5451,62,0
PHEQ.US,D,20231116,000000,25.555,25.555,25.555,25.555,4,0
PHEQ.US,D,20231117,000000,25.5796,25.5796,25.5796,25.5796,1,0
PHEQ.US,D,20231120,000000,25.75,25.75,25.75,25.75,4,0
PHEQ.US,D,20231121,000000,25.715,25.715,25.715,25.715,1,0
PHEQ.US,D,20231122,000000,25.7782,25.7782,25.7782,25.7782,7,0
PHEQ.US,D,20231124,000000,25.7852,25.7852,25.7852,25.7852,1,0
PHEQ.US,D,20231127,000000,25.807,25.807,25.807,25.807,2,0
PHEQ.US,D,20231128,000000,25.83,25.83,25.83,25.83,1,0
PHEQ.US,D,20231129,000000,25.9,25.9,25.82,25.82,304,0
PHEQ.US,D,20231130,000000,25.8,25.8649,25.79,25.8649,501,0
PHEQ.US,D,20231201,000000,25.9823,25.99,25.9823,25.99,1008,0
PHEQ.US,D,20231204,000000,25.86,25.86,25.86,25.86,100,0
PHEQ.US,D,20231205,000000,25.9151,25.9151,25.9151,25.9151,1,0
PHEQ.US,D,20231206,000000,25.84,25.84,25.84,25.84,116,0
