<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MSTI.US,D,20230907,000000,20.02,20.02,20.02,20.02,15,0
MSTI.US,D,20230908,000000,20.06,20.06,20.02,20.02,250120,0
MSTI.US,D,20230911,000000,20.01,20.01,20.01,20.01,19,0
MSTI.US,D,20230912,000000,20.015,20.015,20.015,20.015,1,0
MSTI.US,D,20230913,000000,20.04,20.05,20.035,20.035,500556,0
MSTI.US,D,20230914,000000,20.05,20.05,20.035,20.035,101,0
MSTI.US,D,20230915,000000,20.04,20.04,20.02,20.02,575024,0
MSTI.US,D,20230918,000000,20.02,20.02,20.02,20.02,10,0
MSTI.US,D,20230919,000000,19.99,19.99,19.99,19.99,5,0
MSTI.US,D,20230920,000000,20.04,20.04,20.005,20.005,122,0
MSTI.US,D,20230921,000000,19.96,19.96,19.9399,19.9399,100101,0
MSTI.US,D,20230922,000000,20,20,19.97,19.97,175009,0
MSTI.US,D,20230925,000000,19.97,19.97,19.946,19.946,925001,0
MSTI.US,D,20230926,000000,19.89,19.89,19.89,19.89,9,0
MSTI.US,D,20230927,000000,19.85,19.85,19.85,19.85,75,0
MSTI.US,D,20230928,000000,19.89,19.89,19.89,19.89,1,0
MSTI.US,D,20230929,000000,19.8919,19.8919,19.8919,19.8919,9,0
MSTI.US,D,20231002,000000,19.8274,19.8274,19.8274,19.8274,18,0
MSTI.US,D,20231003,000000,19.75,19.75,19.75,19.75,25,0
MSTI.US,D,20231004,000000,19.8191,19.8191,19.8191,19.8191,25,0
MSTI.US,D,20231005,000000,19.85,19.85,19.83,19.83,50001,0
MSTI.US,D,20231006,000000,19.83,19.83,19.83,19.83,25,0
MSTI.US,D,20231009,000000,19.91,19.91,19.91,19.91,25,0
MSTI.US,D,20231010,000000,19.905,19.91,19.905,19.91,1916,0
MSTI.US,D,20231011,000000,19.915,19.915,19.915,19.915,25,0
MSTI.US,D,20231012,000000,19.86,19.865,19.86,19.865,151,0
MSTI.US,D,20231013,000000,19.89,19.89,19.875,19.875,25170,0
MSTI.US,D,20231016,000000,19.87,19.87,19.8427,19.8427,14651,0
MSTI.US,D,20231017,000000,19.77,19.77,19.77,19.77,25,0
MSTI.US,D,20231018,000000,19.715,19.715,19.715,19.715,1,0
MSTI.US,D,20231019,000000,19.73,19.73,19.7148,19.7148,201,0
MSTI.US,D,20231020,000000,19.7581,19.7581,19.7581,19.7581,25,0
MSTI.US,D,20231023,000000,19.7965,19.7965,19.7965,19.7965,25,0
MSTI.US,D,20231024,000000,19.82,19.82,19.82,19.82,25,0
MSTI.US,D,20231025,000000,19.775,19.775,19.775,19.775,25,0
MSTI.US,D,20231026,000000,19.74,19.74,19.74,19.74,25,0
MSTI.US,D,20231027,000000,19.74,19.74,19.74,19.74,25,0
MSTI.US,D,20231030,000000,19.73,19.73,19.73,19.73,1,0
MSTI.US,D,20231031,000000,19.75,19.75,19.75,19.75,1,0
MSTI.US,D,20231101,000000,19.84,19.84,19.84,19.84,9,0
MSTI.US,D,20231102,000000,19.9146,19.9146,19.9146,19.9146,2,0
MSTI.US,D,20231103,000000,20.004,20.004,20.004,20.004,2,0
MSTI.US,D,20231106,000000,19.96,19.96,19.96,19.96,2,0
MSTI.US,D,20231107,000000,19.99,19.99,19.99,19.99,4,0
MSTI.US,D,20231108,000000,20.0001,20.0001,20.0001,20.0001,4,0
MSTI.US,D,20231109,000000,19.999,20,19.94,19.94,3898,0
MSTI.US,D,20231110,000000,19.9796,19.9796,19.9796,19.9796,4,0
MSTI.US,D,20231113,000000,19.97,19.98,19.97,19.98,250,0
MSTI.US,D,20231114,000000,20.11,20.11,20.11,20.11,1,0
MSTI.US,D,20231115,000000,20.09,20.09,20.07,20.07,149,0
MSTI.US,D,20231116,000000,20.1187,20.1187,20.1187,20.1187,1,0
MSTI.US,D,20231117,000000,20.12,20.12,20.12,20.12,1,0
MSTI.US,D,20231120,000000,20.1499,20.1499,20.14,20.14,251,0
MSTI.US,D,20231121,000000,20.1696,20.1696,20.1696,20.1696,1,0
MSTI.US,D,20231122,000000,20.19,20.19,20.19,20.19,2,0
MSTI.US,D,20231124,000000,20.17,20.17,20.17,20.17,1,0
MSTI.US,D,20231127,000000,20.1131,20.1131,20.1131,20.1131,1,0
MSTI.US,D,20231128,000000,20.11,20.18,20.11,20.1761,758,0
MSTI.US,D,20231129,000000,20.2299,20.2299,20.2299,20.2299,3,0
MSTI.US,D,20231130,000000,20.2,20.2,20.2,20.2,1,0
MSTI.US,D,20231201,000000,20.2899,20.2899,20.2899,20.2899,6,0
MSTI.US,D,20231204,000000,20.27,20.27,20.2607,20.2607,105,0
MSTI.US,D,20231205,000000,20.2901,20.2901,20.2901,20.2901,2,0
MSTI.US,D,20231206,000000,20.2902,20.2902,20.2902,20.2902,2,0
MSTI.US,D,20231207,000000,20.3145,20.3145,20.3145,20.3145,2,0
MSTI.US,D,20231208,000000,20.26,20.26,20.26,20.26,2,0
MSTI.US,D,20231211,000000,20.255,20.255,20.255,20.255,2,0
MSTI.US,D,20231212,000000,20.285,20.285,20.285,20.285,73,0
MSTI.US,D,20231213,000000,20.34,20.4489,20.34,20.4489,150,0
MSTI.US,D,20231214,000000,20.5159,20.5159,20.5159,20.5159,21,0
MSTI.US,D,20231215,000000,20.4883,20.4883,20.4883,20.4883,40,0
MSTI.US,D,20231218,000000,20.487,20.487,20.487,20.487,1,0
MSTI.US,D,20231219,000000,20.5066,20.5066,20.5066,20.5066,44,0
MSTI.US,D,20231220,000000,20.5391,20.5391,20.5391,20.5391,3,0
MSTI.US,D,20231221,000000,20.56,20.56,20.56,20.56,41,0
MSTI.US,D,20231222,000000,20.59,20.59,20.57,20.57,255,0
MSTI.US,D,20231226,000000,20.4507,20.4507,20.4507,20.4507,8,0
MSTI.US,D,20231227,000000,20.5,20.53,20.481,20.53,600,0
MSTI.US,D,20231228,000000,20.5,20.5,20.5,20.5,1,0
MSTI.US,D,20231229,000000,20.5,20.5,20.5,20.5,1,0
MSTI.US,D,20240102,000000,20.44,20.44,20.44,20.44,9,0
MSTI.US,D,20240103,000000,20.43,20.43,20.43,20.43,5,0
MSTI.US,D,20240104,000000,20.405,20.4598,20.4018,20.4018,3555,0
MSTI.US,D,20240105,000000,20.42,20.44,20.4162,20.4162,1325,0
MSTI.US,D,20240108,000000,20.45,20.48,20.4424,20.4424,307,0
MSTI.US,D,20240109,000000,20.445,20.45,20.445,20.45,1236,0
MSTI.US,D,20240110,000000,20.45,20.45,20.45,20.45,1,0
MSTI.US,D,20240111,000000,20.54,20.54,20.532,20.532,216,0
MSTI.US,D,20240112,000000,20.56,20.63,20.56,20.57,1518,0
MSTI.US,D,20240116,000000,20.52,20.52,20.5047,20.5047,138,0
MSTI.US,D,20240117,000000,20.4543,20.4543,20.4543,20.4543,16,0
MSTI.US,D,20240118,000000,20.46,20.46,20.46,20.46,16,0
MSTI.US,D,20240119,000000,20.46,20.46,20.46,20.46,16,0
MSTI.US,D,20240122,000000,20.475,20.475,20.475,20.475,16,0
MSTI.US,D,20240123,000000,20.4701,20.4701,20.4701,20.4701,16,0
MSTI.US,D,20240124,000000,20.46,20.46,20.46,20.46,16,0
MSTI.US,D,20240125,000000,20.5377,20.5377,20.52,20.52,522,0
MSTI.US,D,20240126,000000,20.4697,20.4697,20.43,20.43,534,0
MSTI.US,D,20240129,000000,20.46,20.46,20.46,20.46,30,0
MSTI.US,D,20240130,000000,20.47,20.47,20.464,20.464,462,0
MSTI.US,D,20240131,000000,20.49,20.49,20.4808,20.4808,124,0
MSTI.US,D,20240201,000000,20.55,20.57,20.54,20.54,1259,0
MSTI.US,D,20240202,000000,20.46,20.46,20.46,20.46,7,0
MSTI.US,D,20240205,000000,20.4063,20.4063,20.4063,20.4063,1,0
MSTI.US,D,20240206,000000,20.45,20.45,20.45,20.45,3,0
MSTI.US,D,20240207,000000,20.44,20.44,20.44,20.44,3,0
