<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KBUF.US,D,20240212,000000,25.19,25.19,25.1303,25.1303,512,0
KBUF.US,D,20240213,000000,25,25,24.8065,24.8065,10763,0
KBUF.US,D,20240214,000000,25.02,25.02,24.99,25,2125,0
KBUF.US,D,20240215,000000,25.24,25.24,25.24,25.24,591,0
KBUF.US,D,20240216,000000,25.44,25.44,25.2264,25.2264,639,0
KBUF.US,D,20240220,000000,25.15,25.15,25.0754,25.0754,1022,0
KBUF.US,D,20240221,000000,25.3099,25.3099,25.2604,25.2604,201,0
KBUF.US,D,20240222,000000,25.3,25.34,25.3,25.3304,338,0
KBUF.US,D,20240223,000000,25.3916,25.3916,25.3916,25.3916,81,0
KBUF.US,D,20240226,000000,25.45,25.45,25.346,25.3653,913,0
KBUF.US,D,20240227,000000,25.54,25.58,25.488,25.488,321,0
KBUF.US,D,20240228,000000,25.2149,25.2149,25.2149,25.2149,110,0
KBUF.US,D,20240229,000000,25.3,25.3,25.2603,25.2603,852,0
KBUF.US,D,20240301,000000,25.5405,25.5405,25.5405,25.5405,180,0
KBUF.US,D,20240304,000000,25.2,25.26,25.2,25.245,535,0
KBUF.US,D,20240305,000000,24.95,25,24.945,24.945,550,0
KBUF.US,D,20240306,000000,25,25.33,25,25.1499,1760,0
KBUF.US,D,20240307,000000,25.21,25.21,25.0553,25.0553,211,0
KBUF.US,D,20240308,000000,25.1253,25.1253,25.1253,25.1253,160,0
KBUF.US,D,20240311,000000,25.4902,25.4902,25.4146,25.4146,210,0
KBUF.US,D,20240312,000000,25.7753,25.7753,25.7753,25.7753,50,0
KBUF.US,D,20240313,000000,25.9764,25.9764,25.9764,25.9764,25,0
KBUF.US,D,20240314,000000,25.6499,25.6499,25.6499,25.6499,144,0
KBUF.US,D,20240315,000000,25.5999,25.5999,25.5999,25.5999,44,0
KBUF.US,D,20240318,000000,25.77,25.77,25.7004,25.7004,100,0
KBUF.US,D,20240319,000000,25.7253,25.7253,25.7253,25.7253,57,0
KBUF.US,D,20240320,000000,26.0051,26.03,26.0051,26.018,2938,0
KBUF.US,D,20240321,000000,25.8749,25.8749,25.8749,25.8749,40,0
KBUF.US,D,20240322,000000,25.68,25.68,25.6514,25.6514,504,0
KBUF.US,D,20240325,000000,25.74,25.75,25.6624,25.6624,255,0
KBUF.US,D,20240326,000000,25.6363,25.6363,25.6363,25.6363,89,0
KBUF.US,D,20240327,000000,25.49,25.67,25.3901,25.3901,2179,0
KBUF.US,D,20240328,000000,25.64,25.85,25.56,25.7,1126,0
KBUF.US,D,20240401,000000,26.06,26.06,25.9149,25.9149,131,0
KBUF.US,D,20240402,000000,26.05,26.06,25.9025,25.9873,3234,0
KBUF.US,D,20240403,000000,25.93,25.95,25.905,25.905,3784,0
