<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CSMD.US,D,20230823,000000,25.3767,25.3767,25.3767,25.3767,11,0
CSMD.US,D,20230824,000000,25.24,25.24,25.0471,25.0471,110,0
CSMD.US,D,20230825,000000,25.14,25.2562,25.14,25.2562,375,0
CSMD.US,D,20230828,000000,25.3899,25.3899,25.3899,25.3899,1,0
CSMD.US,D,20230829,000000,25.8449,25.8449,25.8449,25.8449,21,0
CSMD.US,D,20230830,000000,25.9989,25.9989,25.9989,25.9989,64,0
CSMD.US,D,20230831,000000,25.9757,25.9757,25.9757,25.9757,39,0
CSMD.US,D,20230901,000000,26.0882,26.0882,26.0882,26.0882,21,0
CSMD.US,D,20230905,000000,25.7133,25.7133,25.7133,25.7133,21,0
CSMD.US,D,20230906,000000,25.6666,25.6666,25.6666,25.6666,21,0
CSMD.US,D,20230907,000000,25.4645,25.4645,25.4645,25.4645,21,0
CSMD.US,D,20230908,000000,25.271,25.271,25.271,25.271,10,0
CSMD.US,D,20230911,000000,25.3622,25.3622,25.3622,25.3622,8,0
CSMD.US,D,20230912,000000,25.2113,25.2113,25.2113,25.2113,2,0
CSMD.US,D,20230913,000000,25.1704,25.1704,25.1704,25.1704,2,0
CSMD.US,D,20230914,000000,25.3707,25.3707,25.3707,25.3707,2,0
CSMD.US,D,20230915,000000,25.05,25.07,25.04,25.062,2001,0
CSMD.US,D,20230918,000000,25.07,25.07,25.0491,25.0491,1340,0
CSMD.US,D,20230919,000000,24.8069,24.8069,24.8069,24.8069,2,0
CSMD.US,D,20230920,000000,24.71,24.72,24.69,24.69,200,0
CSMD.US,D,20230921,000000,24.1481,24.1481,24.1481,24.1481,25,0
CSMD.US,D,20230922,000000,24.165,24.165,24.165,24.165,1,0
CSMD.US,D,20230925,000000,24.3134,24.3134,24.3134,24.3134,50,0
CSMD.US,D,20230926,000000,24.0672,24.0672,24.0672,24.0672,50,0
CSMD.US,D,20230927,000000,24.2192,24.2192,24.2192,24.2192,50,0
CSMD.US,D,20230928,000000,24.4131,24.4131,24.4131,24.4131,50,0
CSMD.US,D,20230929,000000,24.2523,24.2523,24.2523,24.2523,50,0
CSMD.US,D,20231002,000000,24.17,24.17,24.0713,24.0713,400,0
CSMD.US,D,20231003,000000,23.68,23.72,23.68,23.7179,16372,0
CSMD.US,D,20231004,000000,23.8387,23.8387,23.8387,23.8387,50,0
CSMD.US,D,20231005,000000,23.7171,23.7171,23.7171,23.7171,50,0
CSMD.US,D,20231006,000000,23.71,24.0579,23.71,24.0579,102,0
CSMD.US,D,20231009,000000,24.1,24.27,24.09,24.2598,7479,0
CSMD.US,D,20231010,000000,24.52,24.52,24.38,24.3835,4579,0
CSMD.US,D,20231011,000000,24.36,24.3839,24.31,24.3839,585,0
CSMD.US,D,20231012,000000,24.21,24.25,23.99,24.0036,10974,0
CSMD.US,D,20231013,000000,24.13,24.13,23.88,23.9025,7790,0
CSMD.US,D,20231016,000000,24.2417,24.2417,24.2357,24.2357,156,0
CSMD.US,D,20231017,000000,24.12,24.52,24.12,24.4159,39257,0
CSMD.US,D,20231018,000000,24.11,24.11,23.9419,23.9419,30741,0
CSMD.US,D,20231019,000000,23.78,23.91,23.57,23.6238,64864,0
CSMD.US,D,20231020,000000,23.4,23.47,23.3972,23.3972,33400,0
CSMD.US,D,20231023,000000,23.315,23.49,23.2656,23.2656,31268,0
CSMD.US,D,20231024,000000,23.57,23.57,23.47,23.4962,26294,0
CSMD.US,D,20231025,000000,23.06,23.2,22.9519,22.9519,196603,0
CSMD.US,D,20231026,000000,22.8575,22.8575,22.7091,22.7091,40829,0
CSMD.US,D,20231027,000000,22.48,22.69,22.4757,22.4757,23091,0
CSMD.US,D,20231030,000000,22.42,22.6019,22.4,22.6019,36734,0
CSMD.US,D,20231031,000000,22.5583,22.6891,22.5583,22.6891,57922,0
CSMD.US,D,20231101,000000,22.54,22.5491,22.3,22.5491,32597,0
CSMD.US,D,20231102,000000,22.7,22.8638,22.7,22.8638,46423,0
CSMD.US,D,20231103,000000,23.19,23.4,23.1809,23.3502,53377,0
CSMD.US,D,20231106,000000,23.22,23.22,23.1601,23.2016,30761,0
CSMD.US,D,20231107,000000,23.1634,23.39,23.1634,23.3185,75368,0
CSMD.US,D,20231108,000000,23.23,23.24,23.1543,23.1543,111017,0
CSMD.US,D,20231109,000000,23.104,23.16,22.9357,22.9357,62600,0
CSMD.US,D,20231110,000000,22.9299,23.19,22.9299,23.17,51546,0
CSMD.US,D,20231113,000000,23.21,23.3,23.21,23.2542,57962,0
CSMD.US,D,20231114,000000,24.16,24.2636,24.16,24.2535,31557,0
CSMD.US,D,20231115,000000,24.59,24.59,24.266,24.266,242588,0
