<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NRGU.US,D,20250220,000000,26.1206,26.1206,25,26.1206,3258,0
NRGU.US,D,20250221,000000,25.6,25.88,24.1,24.15,5885,0
NRGU.US,D,20250224,000000,24.15,24.239,23.78,24.15,5278,0
NRGU.US,D,20250225,000000,23.28,23.28,23.09,23.09,1200,0
NRGU.US,D,20250226,000000,22.31,22.5,22.033,22.5,2166,0
NRGU.US,D,20250227,000000,22.81,23.15,22.75,22.9259,2593,0
NRGU.US,D,20250228,000000,22,23.4903,22,23.4903,14332,0
NRGU.US,D,20250303,000000,22.609,22.7626,20.5164,20.5164,2735,0
NRGU.US,D,20250304,000000,20,20.38,18.92,19.9271,13837,0
NRGU.US,D,20250305,000000,19.16,19.16,17.8936,18.16,4830,0
NRGU.US,D,20250306,000000,18.5,19.2811,18.5,19.2811,1000,0
NRGU.US,D,20250307,000000,20.3505,20.73,20.01,20.3906,4196,0
NRGU.US,D,20250310,000000,20.7,21.19,20.31,20.7737,10325,0
NRGU.US,D,20250311,000000,21.19,21.2,19.8968,20.0075,2746,0
NRGU.US,D,20250312,000000,19.93,20.67,19.88,20.3647,2220,0
NRGU.US,D,20250313,000000,20.6101,20.6101,19.77,19.8765,2094,0
NRGU.US,D,20250314,000000,20.569,21.6103,20.23,21.6103,3060,0
NRGU.US,D,20250317,000000,22.369,22.8323,22.2,22.68,7995,0
NRGU.US,D,20250318,000000,22.91,22.92,22.515,22.8652,3710,0
NRGU.US,D,20250319,000000,23.25,23.9628,23.25,23.9628,2215,0
NRGU.US,D,20250320,000000,23.78,24.2567,23.78,24.2567,1515,0
NRGU.US,D,20250321,000000,23.68,24,23.45,23.5741,2201,0
NRGU.US,D,20250324,000000,24.21,24.21,23.86,24.0796,1634,0
NRGU.US,D,20250325,000000,24.32,24.32,24.15,24.225,1367,0
NRGU.US,D,20250326,000000,26,26,25.09,25.1534,8364,0
NRGU.US,D,20250327,000000,24.44,24.99,24.18,24.4098,2551,0
NRGU.US,D,20250328,000000,24.25,24.25,23.28,23.6004,4094,0
NRGU.US,D,20250331,000000,23.6,24.71,23.6,24.4329,4601,0
NRGU.US,D,20250401,000000,24.5,24.7775,23.7,24.7775,3230,0
NRGU.US,D,20250402,000000,24.27,24.8006,24.27,24.8006,627,0
NRGU.US,D,20250403,000000,20.77,21.67,17.2737,17.2737,34095,0
NRGU.US,D,20250404,000000,15.775,17,12.75,12.8263,73517,0
