<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AVEE.US,D,20231113,000000,50.04,50.1968,50.04,50.1968,681,0
AVEE.US,D,20231114,000000,51.655,51.7288,51.6139,51.6139,2788,0
AVEE.US,D,20231115,000000,51.9981,52.23,51.97,52,3221,0
AVEE.US,D,20231116,000000,51.46,51.48,51.386,51.386,1268,0
AVEE.US,D,20231117,000000,51.69,51.859,51.69,51.8191,2696,0
AVEE.US,D,20231120,000000,52.372,52.83,52.372,52.73,4073,0
AVEE.US,D,20231121,000000,52.26,52.2789,52.2374,52.2374,17094,0
AVEE.US,D,20231122,000000,52.2,52.2,52.1277,52.1277,244,0
AVEE.US,D,20231124,000000,52.48,52.48,52.4101,52.4101,533,0
AVEE.US,D,20231127,000000,52.102,52.32,52.0879,52.1928,14500,0
AVEE.US,D,20231128,000000,52.72,52.72,52.635,52.7197,1157,0
AVEE.US,D,20231129,000000,52.33,52.37,52.2707,52.2707,1429,0
AVEE.US,D,20231130,000000,52.19,52.19,52.1803,52.1803,196,0
AVEE.US,D,20231201,000000,52.78,52.7835,52.77,52.7835,715,0
AVEE.US,D,20231204,000000,52.26,52.26,51.885,51.9308,5571,0
AVEE.US,D,20231205,000000,51.699,51.7215,51.6145,51.7215,961,0
AVEE.US,D,20231206,000000,51.6666,51.6666,51.6666,51.6666,49,0
AVEE.US,D,20231207,000000,51.6,51.9,51.6,51.8247,5587,0
AVEE.US,D,20231208,000000,51.51,51.57,51.4435,51.4576,656,0
AVEE.US,D,20231211,000000,51.547,51.6399,51.5446,51.6171,1339,0
AVEE.US,D,20231212,000000,51.6,51.6997,51.5599,51.6885,1297,0
AVEE.US,D,20231213,000000,51.23,52.1442,51.1111,52.1442,1467,0
AVEE.US,D,20231214,000000,53.08,53.08,52.95,52.9729,2059,0
AVEE.US,D,20231215,000000,52.47,52.49,52.4124,52.4124,1652,0
AVEE.US,D,20231218,000000,52.108,52.25,52.108,52.1217,3632,0
AVEE.US,D,20231219,000000,52.2803,52.4144,52.2803,52.3987,1368,0
AVEE.US,D,20231220,000000,52.2353,52.2353,51.72,51.92,50393,0
AVEE.US,D,20231221,000000,52.56,52.7305,52.42,52.7305,10141,0
AVEE.US,D,20231222,000000,52.55,52.55,52.44,52.5066,1771,0
AVEE.US,D,20231226,000000,52.66,52.73,52.545,52.6302,7251,0
AVEE.US,D,20231227,000000,52.99,52.99,52.895,52.9018,1420,0
AVEE.US,D,20231228,000000,53.47,53.48,53.265,53.265,3162,0
AVEE.US,D,20231229,000000,53.62,53.635,53.43,53.4446,1642,0
AVEE.US,D,20240102,000000,53.02,53.02,52.615,52.6569,7158,0
AVEE.US,D,20240103,000000,52.5667,52.5667,52.5667,52.5667,143,0
AVEE.US,D,20240104,000000,52.3,52.45,52.2055,52.2055,2478,0
AVEE.US,D,20240105,000000,52.741,52.741,52.395,52.4518,2770,0
AVEE.US,D,20240108,000000,52.24,52.6277,52.185,52.6277,2913,0
AVEE.US,D,20240109,000000,52.04,52.04,51.9144,51.9144,3635,0
AVEE.US,D,20240110,000000,51.7343,51.7501,51.73,51.7501,710,0
AVEE.US,D,20240111,000000,52.035,52.035,51.7844,51.9399,3410,0
AVEE.US,D,20240112,000000,52.17,52.17,52.0424,52.0424,528,0
AVEE.US,D,20240116,000000,51.39,51.39,50.9136,50.9726,19491,0
AVEE.US,D,20240117,000000,50.13,50.13,50.045,50.0516,1509,0
AVEE.US,D,20240118,000000,49.9554,50.1207,49.9554,50.1207,1058,0
AVEE.US,D,20240119,000000,49.96,50.5117,49.96,50.5117,1557,0
AVEE.US,D,20240122,000000,50.17,50.17,50.075,50.075,523,0
AVEE.US,D,20240123,000000,50.41,50.5774,50.33,50.5774,1887,0
AVEE.US,D,20240124,000000,51.5,51.5,51.14,51.1439,1742,0
AVEE.US,D,20240125,000000,51.1281,51.1281,51.0582,51.0582,1306,0
AVEE.US,D,20240126,000000,51.13,51.1616,51.0634,51.0634,1420,0
AVEE.US,D,20240129,000000,50.8,50.974,50.8,50.974,474,0
AVEE.US,D,20240130,000000,50.66,50.7499,50.66,50.7417,554,0
AVEE.US,D,20240131,000000,50.93,50.99,50.4462,50.4462,3541,0
AVEE.US,D,20240201,000000,50.8,50.9836,50.8,50.9836,433,0
AVEE.US,D,20240202,000000,50.54,50.54,50.47,50.47,557,0
AVEE.US,D,20240205,000000,50.155,50.3134,50.155,50.3134,515,0
AVEE.US,D,20240206,000000,51.3885,51.45,51.35,51.4338,1170,0
AVEE.US,D,20240207,000000,51.24,51.29,51.22,51.285,4156,0
AVEE.US,D,20240208,000000,51.11,51.17,51.08,51.08,761,0
AVEE.US,D,20240209,000000,51.04,51.24,51.04,51.24,2154,0
AVEE.US,D,20240212,000000,51.9316,51.97,51.73,51.73,778,0
AVEE.US,D,20240213,000000,50.9,50.9,50.62,50.66,1058,0
AVEE.US,D,20240214,000000,51.25,51.37,51.2,51.22,1325,0
AVEE.US,D,20240215,000000,51.56,51.6485,51.49,51.5761,1087,0
AVEE.US,D,20240216,000000,52.07,52.16,52.0178,52.0178,5047,0
AVEE.US,D,20240220,000000,52.31,52.31,52.198,52.2544,1011,0
AVEE.US,D,20240221,000000,52.42,52.5165,52.42,52.516,2017,0
AVEE.US,D,20240222,000000,52.85,52.96,52.85,52.8878,1330,0
AVEE.US,D,20240223,000000,52.8248,52.85,52.8094,52.8094,911,0
AVEE.US,D,20240226,000000,52.8508,52.89,52.69,52.69,3613,0
AVEE.US,D,20240227,000000,52.85,52.88,52.7835,52.8307,7126,0
AVEE.US,D,20240228,000000,52.1784,52.1784,52.0918,52.0918,1618,0
AVEE.US,D,20240229,000000,52.265,52.35,52.265,52.305,1121,0
AVEE.US,D,20240301,000000,52.77,52.9812,52.77,52.9343,1529,0
AVEE.US,D,20240304,000000,52.6464,52.6464,52.6464,52.6464,88,0
AVEE.US,D,20240305,000000,52.37,52.37,52.2864,52.2864,441,0
AVEE.US,D,20240306,000000,52.72,52.72,52.65,52.72,2255,0
AVEE.US,D,20240307,000000,52.54,52.71,52.54,52.67,1879,0
AVEE.US,D,20240308,000000,52.5062,52.5062,52.5062,52.5062,139,0
AVEE.US,D,20240311,000000,52.43,52.72,52.43,52.626,6876,0
AVEE.US,D,20240312,000000,52.73,52.87,52.67,52.8158,1759,0
AVEE.US,D,20240313,000000,52.13,52.1544,52.13,52.1544,395,0
AVEE.US,D,20240314,000000,52.37,52.37,52.1038,52.1038,1995,0
AVEE.US,D,20240315,000000,52.28,52.3399,52.07,52.07,1198,0
AVEE.US,D,20240318,000000,52.45,52.45,52.2697,52.2697,2979,0
AVEE.US,D,20240319,000000,52.1,52.3228,51.98,52.18,2387,0
AVEE.US,D,20240320,000000,52.4099,52.9099,52.35,52.75,1446,0
AVEE.US,D,20240321,000000,53.0589,53.0589,52.9502,52.9502,2491,0
AVEE.US,D,20240322,000000,52.79,52.7976,52.79,52.7976,13498,0
AVEE.US,D,20240325,000000,52.99,53,52.8906,52.8906,868,0
AVEE.US,D,20240326,000000,52.49,52.49,52.49,52.49,406,0
AVEE.US,D,20240327,000000,52.8,52.8544,52.8,52.8544,358,0
AVEE.US,D,20240328,000000,52.96,52.96,52.9542,52.9542,511,0
AVEE.US,D,20240401,000000,53.68,53.68,53.21,53.3219,1970,0
AVEE.US,D,20240402,000000,53.58,53.6096,53.55,53.574,3909,0
AVEE.US,D,20240403,000000,53.7,54,53.7,53.8655,7802,0
AVEE.US,D,20240404,000000,54.34,54.35,53.695,53.711,2703,0
AVEE.US,D,20240405,000000,53.59,53.7078,53.515,53.7078,943,0
AVEE.US,D,20240408,000000,53.9175,53.9461,53.9175,53.9461,199,0
AVEE.US,D,20240409,000000,54.19,54.36,54.19,54.3531,1530,0
AVEE.US,D,20240410,000000,53.73,53.73,53.5426,53.5426,969,0
AVEE.US,D,20240411,000000,53.8,53.8,53.8,53.8,295,0
AVEE.US,D,20240412,000000,53.27,53.27,52.915,52.9342,9092,0
AVEE.US,D,20240415,000000,52.86,52.894,52.359,52.359,3183,0
AVEE.US,D,20240416,000000,51.62,51.89,51.62,51.66,1839,0
AVEE.US,D,20240417,000000,52.0435,52.0435,52.0435,52.0435,225,0
AVEE.US,D,20240418,000000,52.36,52.36,52.2326,52.2326,516,0
AVEE.US,D,20240419,000000,52,52.11,52,52.045,1077,0
AVEE.US,D,20240422,000000,52.18,52.3811,52.08,52.3811,9291,0
AVEE.US,D,20240423,000000,52.5501,52.76,52.5501,52.76,6545,0
AVEE.US,D,20240424,000000,52.915,52.9193,52.915,52.9193,257,0
AVEE.US,D,20240425,000000,52.65,53.3094,52.65,53.1839,6455,0
AVEE.US,D,20240426,000000,53.68,53.7002,53.5826,53.7002,781,0
AVEE.US,D,20240429,000000,54.23,54.43,54.23,54.3953,1620,0
AVEE.US,D,20240430,000000,54.22,54.22,53.8197,53.8197,358,0
AVEE.US,D,20240501,000000,53.9,54.43,53.9,53.9313,1288,0
AVEE.US,D,20240502,000000,54.66,55.28,54.66,55.2754,1822,0
AVEE.US,D,20240503,000000,55.39,55.5744,55.39,55.5744,369,0
AVEE.US,D,20240506,000000,55.57,55.57,55.4646,55.4646,1526,0
AVEE.US,D,20240507,000000,55.38,55.38,55.165,55.2316,3434,0
AVEE.US,D,20240508,000000,55.065,55.24,55.065,55.1704,678,0
AVEE.US,D,20240509,000000,55.17,55.3,55.17,55.3,528,0
AVEE.US,D,20240510,000000,55.39,55.39,55.18,55.2348,4803,0
AVEE.US,D,20240513,000000,55.6,55.6,55.46,55.4829,378,0
AVEE.US,D,20240514,000000,55.86,55.9125,55.86,55.9125,289,0
AVEE.US,D,20240515,000000,56.5787,56.5787,56.5787,56.5787,139,0
AVEE.US,D,20240516,000000,56.53,56.74,56.53,56.6976,19237,0
AVEE.US,D,20240517,000000,56.86,56.99,56.86,56.99,357,0
AVEE.US,D,20240520,000000,56.83,56.9299,56.75,56.91,21935,0
AVEE.US,D,20240521,000000,56.82,56.91,56.5,56.6029,25094,0
AVEE.US,D,20240522,000000,56.56,56.69,56.4796,56.4796,2573,0
AVEE.US,D,20240523,000000,56.02,56.03,55.7103,55.7103,9539,0
AVEE.US,D,20240524,000000,56.06,56.2,56.06,56.0956,2727,0
AVEE.US,D,20240528,000000,56.52,56.52,56.1376,56.1376,3826,0
AVEE.US,D,20240529,000000,55.6875,55.85,55.6875,55.7742,14562,0
AVEE.US,D,20240530,000000,55.63,55.8,55.6,55.6592,6678,0
AVEE.US,D,20240531,000000,55.14,55.3469,55.14,55.3469,859,0
AVEE.US,D,20240603,000000,55.58,55.64,55.1501,55.5823,18663,0
AVEE.US,D,20240604,000000,54.69,54.69,54.46,54.675,1957,0
